Aafrika	アフリカ
Windows Media Video	Windows Media Video
McHenry maakond (Põhja-Dakota)	マクヘンリー郡 (ノースダコタ州)
Jermaine Jones	ジャーメイン・ジョーンズ
George VI	ジョージ6世 (イギリス王)
Rock	ロック
Harri Kirvesniemi	ハッリ・キルヴェスニエミ
Küljejoon	側線
Hülgvara	アバンダンウェア
Korjakid	コリャーク人
Orav (perekond)	リス属
Jean Gerson	ジャン・ジェルソン
Olivier' salat	オリヴィエ・サラダ
Valguskartus	羞明
Jules Bianchi	ジュール・ビアンキ
SPC	SPC
Põhja-masksäälik	カオグロアメリカムシクイ
California hoovus	カリフォルニア海流
Raskekaal	ヘビー級
Vaikeväärtus	デフォルト (コンピュータ)
Inabe	いなべ市
2006. aasta Malaisia Grand Prix	2006年マレーシアグランプリ
Assignaat	アッシニア
Petit	プチ
Demokraatlik Partei (Serbia)	民主党 (セルビア)
Seesütlev	内格
Bananal	バナナル島
Ad hoc-hüpotees	アドホックな仮説
Big Bang (Lõuna-Korea bänd)	BIGBANG
Glioblastoom	膠芽腫
Bibliomantia	書物占い
Kvaalid	クオリア
Dracula tütar	女ドラキュラ
Vladimir Solovjov	ウラジーミル・ソロヴィヨフ (哲学者)
Teise maailmasõja kronoloogia	第二次世界大戦の会談・会議
BOPE	特殊警察作戦大隊 (ブラジル)
Juhitav tankitõrjeraketisüsteem	対戦車ミサイル
Siena toomkirik	シエナ大聖堂
György Gedó	ジェルジ・ゲドー
3DMLW	3DMLW
Trent Reznor	トレント・レズナー
Frangi mets	フランケンヴァルト
The Hollies	ホリーズ
1927. aasta põhja suusaalade maailmameistrivõistlused	1927年ノルディックスキー世界選手権
Esteban Granero	エステバン・グラネロ・モリナ
Universität der Bundeswehr München	ミュンヘン連邦軍大学
James Moriarty	ジェームズ・モリアーティ
Nikola I Petrović	ニコラ1世 (モンテネグロ王)
Kõrvalfirma	スピンオフ
Frangi kuningate loend	フランク王の一覧
P53	P53遺伝子
Legnano lahing	レニャーノの戦い
Keskkonnapõgenikud	環境難民
C4-taimed	C4型光合成
Cis-trans-isomeeria	幾何異性体
Nicholase maakond	ニコラス郡 (ウェストバージニア州)
F-moll	ヘ短調
Cis-moll	嬰ハ短調
Haris Seferović	ハリス・セフェロヴィッチ
Mayday	メーデー (遭難信号)
Btrfs	Btrfs
Ext4	Ext4
Edvard Radzinski	エドワード・ラジンスキー
Dis-moll	嬰ニ短調
E-moll	ホ短調
Friedrich Schmidt	フリードリッヒ・カール・シュミット
B-moll	変ロ短調
G-moll	ト短調
D-moll	ニ短調
Fis-moll	嬰ヘ短調
Dikhili piirkond	ディキル州
Gesico	ジェージコ
Carol Gilligan	キャロル・ギリガン
H-moll	ロ短調
2022. aasta jalgpalli maailmameistrivõistlused	2022 FIFAワールドカップ
Fisheri kosmosepastakas	スペースペン
FK Jelgava	FKイェルガヴァ
Kristalliseerumine	結晶化
Nihat Kahveci	ニハト・カフヴェジ
N-terminaalne ots	N末端
Avignoni sild	サン・ベネゼ橋
Ortacesus	オルタチェーズス
Pimentel	ピメンテル
Saastaärastus	除染
Turneri auhind	ターナー賞
Jason Bateman	ジェイソン・ベイトマン
Mainzi kuurvürstkond	マインツ大司教
IP-kood	電気機械器具の外郭による保護等級
Samatzai	サマッツァーイ
Puto	プット
Universaalne isehäälestumine	Universal Plug and Play
P-aminobensoehape	4-アミノ安息香酸
Selegas	セーレガス
Suelli	スエッリ
Lumelauasõit 2006. aasta taliolümpiamängudel	トリノオリンピックにおけるスノーボード競技
Kõrvalusikas	耳掻き
Iluuisutamise maailmameistrivõistlused	世界フィギュアスケート選手権
Jõestik	水系
Hashima saar	端島 (長崎県)
Midori	Midori (ウェブブラウザ)
Thalese teoreem	タレスの定理
Publius Cornelius Scipio Nasica Serapio	プブリウス・コルネリウス・スキピオ・ナシカ・セラピオ
Etemenanki	エ・テメン・アン・キ
Henry seadus	ヘンリーの法則
Summaarne sündimuskordaja	合計特殊出生率
Jacob Ellehammer	ヤコブ・エレハマー
Akustiline muusika	アンプラグド
Rolling Stone'i kõigi aegade 500 parema laulu loend	ローリング・ストーンの選ぶオールタイム・グレイテスト・ソング500
Henrique Rosa	エンリケ・ロザ
Judo 2004. aasta suveolümpiamängudel	アテネオリンピック (2004年) における柔道競技
Medeia (näidend)	メディア (ギリシア悲劇)
Émile Reynaud	シャルル・エミール・レイノー
Elektrėnai	エレクトレナイ
Hiromi Kawakami	川上弘美
Põhjatsiitsitaja	カシラダカ
ABC	ABC
DOCOMOMO International	DOCOMOMO
N-bromosuksiinimiid	N-ブロモスクシンイミド
ABC-transportvalgud	ABC輸送体
P-rühm	P-群
Eri Kawai	河井英里
ABC (ansambel)	ABC (バンド)
‘Abbās II (Pärsia)	アッバース2世
Joyce Hatto	ジョイス・ハット
Orthomyxoviridae	オルトミクソウイルス科
Ressursside allokatsioon	リソース割り当て
Ais-moll	嬰イ短調
Maatia Toafa	マアティア・トアファ
Hondurase riigipeade loend	ホンジュラスの大統領
Jan Saudek	ヤン・ソーデック
Koulikoro piirkond	クリコロ州
Carl Reiner	カール・ライナー
Jason Donovan	ジェイソン・ドノヴァン
Éric-Emmanuel Schmitt	エリック＝エマニュエル・シュミット
Katalüütiline tsükkel	触媒サイクル
AC4	AC4. (バンド)
Streetrace	走り屋
Óscar de la Renta	オスカー・デ・ラ・レンタ
Võimatu missioon III	ミッション:インポッシブル3
Serramanna	セッラマンナ
Magneesiumsulfaat	硫酸マグネシウム
Durandi liin	デュアランド・ライン
William Thomas Stead	ウィリアム・トーマス・ステッド
Cm	CM (曖昧さ回避)
Süsinikdioksiidimaks	炭素税
Nõudetrükk	オンデマンド印刷
Oka (Siber)	オカ川 (シベリア)
Sapporo (õlu)	サッポロビール
Jaakko Hintikka	ヤーッコ・ヒンティッカ
Tiksotroopia	チキソトロピー
Agnostitsism	不可知論
Koto	箏
Bernadette Lafont	ベルナデット・ラフォン
Kiiruisutamine 2006. aasta taliolümpiamängudel	トリノオリンピックにおけるスピードスケート競技
Étienne-Jules Marey	エティエンヌ＝ジュール・マレー
Andreas Küttel	アンドレアス・キュッテル
Ajaloolaste loend	歴史家の一覧
Burkina Faso riigipeade loend	ブルキナファソの大統領一覧
Majanduskriis	恐慌
Maolukuti	幽門
Stanley Schachter	スタンレー・シャクター
Kommeliinilaadsed	ツユクサ目
Polüfenoolid	ポリフェノール
ADSR	ADSR
Zorni lemma	ツォルンの補題
Níki Xánthou	ニキ・クサンスー
AEC Armoured Car	AEC装甲車
Bad Emstali vald	バート・エムスタール
Aleksandr Jegorov	アレクサンドル・エゴロフ
Sylvie Kinigi	シルヴィ・キニギ
Erna Solberg	エルナ・ソルベルグ
Ordžonikidze	オルジョニキーゼ
Gigi	ジジ
AFI	AFI (バンド)
Annette Funicello	アネット・ファニセロ
Kate Millett	ケイト・ミレット
Theodóra (Kreeka ja Taani printsess)	セオドラ・ティス・エラザス (1983-)
Ré	レ島
Konfiguratsioon	コンフィギュレーション
Oléron	オレロン島
Twm	Twm
Sophie Dahl	ソフィー・ダール
Maria Theresia von Paradis	マリア・テレジア・フォン・パラディス
Óscar Berger Perdomo	オスカル・ベルシェ
Svetlana Issakova	スヴェトラーナ・イサコワ
Megyn Kelly	メジン・ケリー
Waldenburg	ヴァルデンブルク
SSL	SSL
Positiivsus	ポジティブ
Draco	ドラコ (曖昧さ回避)
AIDA Cruises	アイーダ・クルーズ
AIDAdiva	アイーダディーヴァ
Odr	オーズ
Suur-Hingan	大興安嶺山脈
Minna Kauppi	ミンナ・カウッピ
Gheorghe Gheorghiu-Dej	ゲオルゲ・ゲオルギュ＝デジ
Michael Psellos	ミカエル・プセルロス
Lautréamont	ロートレアモン伯爵
David Arquette	デヴィッド・アークエット
Dirk Kuijt	ディルク・カイト
Avalik sektor	官業
Trofim Lõssenko	トロフィム・ルイセンコ
Arrigo Sacchi	アリゴ・サッキ
Wāw	و
AKV riigid	アフリカ・カリブ海・太平洋諸国
Aleksei Rõkov	アレクセイ・ルイコフ
Emmanuel-Joseph Sieyès	エマニュエル＝ジョゼフ・シエイエス
Warren Christopher	ウォーレン・クリストファー
RR	RR
Alfa (terrorismivastane eriüksus)	アルファ部隊
Thomas Cromwell	トマス・クロムウェル
Avalik ruum	パブリックスペース
Mihai Ghimpu	ミハイ・ギンプ
Jean-François de La Pérouse	ラ・ペルーズ伯ジャン＝フランソワ・ド・ガロー
Laibach	ライバッハ
Oneida maakond	オナイダ郡
Masutatsu Ōyama	大山倍達
Fergie	ファーギー
Henryk Górecki	ヘンリク・グレツキ
Gustave Le Bon	ギュスターヴ・ル・ボン
Avalikkus Vägivalla Vastu	暴力に反対する公衆
AM	AM
Duarte	ドゥアルテ1世 (ポルトガル王)
Clifford D. Simak	クリフォード・D・シマック
Stalin (täpsustus)	スターリン (曖昧さ回避)
Martin Landau	マーティン・ランドー
Mads Mikkelsen	マッツ・ミケルセン
Kadett	カデット (曖昧さ回避)
Aleksandr Popov (ujuja)	アレクサンドル・ポポフ (競泳選手)
Birori	ビーロリ
Václav Svěrkoš	ヴァーツラフ・スヴェルコシュ
Wilfred Bouma	ヴィルフレート・ボウマ
Tom Stoppard	トム・ストッパード
Robert Smith	ロバート・スミス
Dualchi	ドゥアルキ
Nõid Siimon	シモン・マグス
César Azpilicueta	セサル・アスピリクエタ
Galtellì	ガルテッリ
Irgoli	イルゴリ
Armando Teixeira	アルマンド・テイシェイラ
Viktor Kassai	カッシャイ・ヴィクトル
Athlon 64	Athlon 64
David Caruso	デヴィッド・カルーソ
Athenaios	アテナイオス
AMD Bulldozer	Bulldozer (マイクロアーキテクチャ)
ATI CrossFireX	CrossFireX
Duron	Duron
Ökofeminism	エコフェミニズム
AMD APU	AMD Fusion
Mohamed Ould Abdel Aziz	ムハンマド・ウルド・アブデルアズィーズ
Fernando de la Rúa	フェルナンド・デ・ラ・ルア
John Searle	ジョン・サール
Manuel Pinto da Costa	マヌエル・ピント・ダ・コスタ
Terry Fox	テリー・フォックス
Phenom II	AMD Phenom II
Aaron Spelling	アーロン・スペリング
Radeon	AMD Radeon
Claude Lelouch	クロード・ルルーシュ
Corey Taylor	コリィ・テイラー
Lei	レーイ
Loculi	ロークリ
Joel Schumacher	ジョエル・シュマッカー
Rosen Plevneliev	ロセン・プレヴネリエフ
Lodine	ロディーネ
Sextus Pompeius	セクストゥス・ポンペイウス
Noragugume	ノラグーグメ
Lennox Lewis	レノックス・ルイス
Clyde Drexler	クライド・ドレクスラー
Jaromír Jágr	ヤロミール・ヤーガー
Ben Wallace	ベン・ウォーレス
Onanì	オナニ
John Higgins	ジョン・ヒギンズ
Onifai	オニファーイ
George Edward Moore	ジョージ・エドワード・ムーア
Roger Zelazny	ロジャー・ゼラズニイ
Orani	オラーニ
Frank Darabont	フランク・ダラボン
Mart Poom	マルト・ポーム
Ökoregioon	エコリージョン
Ökoasum	エコビレッジ
Laurentius (vastupaavst)	ラウレンティウス (対立教皇)
Carlos Gamarra	カルロス・ガマーラ
Joseph Campbell	ジョーゼフ・キャンベル
Tayshaun Prince	テイショーン・プリンス
Eduard Limonov	エドワルド・リモノフ
Osidda	オジッダ
VPN	VPN (曖昧さ回避)
Sarule	サルーレ
Alessandro Baricco	アレッサンドロ・バリッコ
Victor Moses	ビクター・モーゼス
Edward Rydz-Śmigły	エドヴァルト・リッツ＝シミグウィ
Dzeržinski	ジェルジンスキー
Bengt Samuelsson	ベンクト・サミュエルソン
César Cielo Filho	セザール・シエロフィリョ
Keskkonnamaks	環境税
Paul Claudel	ポール・クローデル
Jean-Pierre Léaud	ジャン＝ピエール・レオ
Taro (täpsustus)	タロ
Saint-Sulpice'i kirik	サン＝シュルピス教会
Afonso III	アフォンソ3世 (ポルトガル王)
Nicolás Massú	ニコラス・マスー
Ökosüsteemsed teenused	生態系サービス
Ernests Gulbis	エルネスツ・ガルビス
Vágner Love	ヴァグネル・ラヴ
Tom Hooper	トム・フーパー
Inigo Jones	イニゴー・ジョーンズ
Samuel Richardson	サミュエル・リチャードソン
Tiepolo	ティエポロ
George Herbert Mead	ジョージ・ハーバート・ミード
Sport (täpsustus)	スポーツ (曖昧さ回避)
Alfred Molina	アルフレッド・モリーナ
Philip Zimbardo	フィリップ・ジンバルドー
Independence	インディペンデンス
Klement Gottwald	クレメント・ゴットワルト
Alex Haley	アレックス・ヘイリー
Jules Grévy	ジュール・グレヴィ
Dumas	デュマ
Saar (täpsustus)	ザール
Abe	ABE
APL	APL
Vittorio Alfieri	ヴィットーリオ・アルフィエーリ
Imre Lakatos	ラカトシュ・イムレ
George Pólya	ポーヤ・ジェルジ
Maurice Greene	モーリス・グリーン (陸上選手)
Kim Philby	キム・フィルビー
Demba Ba	デンバ・バ
Abahai	ホンタイジ
Jussi Jääskeläinen	ユッシ・ヤースケライネン
Ryan Bertrand	ライアン・バートランド
Lamar Odom	ラマー・オドム
Jermaine Pennant	ジャーメイン・ペナント
Theódoros Zagorákis	テオドロス・ザゴラキス
Jesper Grønkjær	イェスパー・グレンケア
Afonso II	アフォンソ2世 (ポルトガル王)
Dado Pršo	ダド・プルショ
László Papp	ラズロ・パップ
Ökotüüp	エコタイプ
Jon Lovitz	ジョン・ロヴィッツ
Blake Clark	ブレイク・クラーク
Vladimir Zworykin	ウラジミール・ツヴォルキン
Frank Welker	フランク・ウェルカー
Are (täpsustus)	ARE
Cyrus Vance	サイラス・ヴァンス
Ezequiel Garay	エセキエル・ガライ
Miguel de la Madrid	ミゲル・デ・ラ・マドリ・ウルタード
Costa-Gavras	コスタ＝ガヴラス
Lázaro Cárdenas	ラサロ・カルデナス
Tony Bennett	トニー・ベネット
Enrique Peña Nieto	エンリケ・ペーニャ・ニエト
Carlos Ruiz Zafón	カルロス・ルイス・サフォン
Arhitektuur (täpsustus)	アーキテクチャ
Sa‘d al-Ḩarīrī	サード・ハリーリー
Mark Harmon	マーク・ハーモン
John Howard (täpsustus)	ジョン・ハワード (曖昧さ回避)
Tōgō Heihachirō	東郷平八郎
Kim Peek	キム・ピーク
Ferenc Molnár	モルナール・フェレンツ
SFC	SFC
MES	メス
Õlipuu (perekond)	オリーブ属
James Spader	ジェームズ・スペイダー
Antanas Smetona	アンターナス・スメトナ
Õlivärv	油絵具
Rolandas Paksas	ロランダス・パクサス
Tim Krul	ティム・クルル
Ahmat Kadõrov	アフマド・カディロフ
Georgi Lvov	ゲオルギー・リヴォフ
Jermak	イェルマーク
Ise	伊勢
Frederick Chiluba	フレデリック・チルバ
Moritz	モーリッツ
Brian Joubert	ブライアン・ジュベール
Semjon Uhke	セミョーン (モスクワ大公)
Villimardiklased	ツチハンミョウ
Hipólito Yrigoyen	イポリト・イリゴージェン
Mikalojus Konstantinas Čiurlionis	ミカロユス・チュルリョーニス
Tyson Chandler	タイソン・チャンドラー
Bam Margera	バム・マージェラ
ASA	ASA
Kerry King	ケリー・キング
Kevin Love	ケビン・ラブ
Clint Mansell	クリント・マンセル
PLN	PLN
David Moyes	デイヴィッド・モイーズ
Richard Hammond	リチャード・ハモンド
Juan II (Kastiilia)	フアン2世 (カスティーリャ王)
Prodikos	プロディコス
Ur-Namma	ウル・ナンム
Grégory Lemarchal	グレゴリー・ルマルシャル
Philippa Foot	フィリッパ・フット
Leoninus	レオニヌス
Ting (täpsustus)	ティン
Roberto Bolaño Ávalos	ロベルト・ボラーニョ
Dan Simmons	ダン・シモンズ
Ömürbek Tekebajev	オムルベク・テケバエフ
MCP	MCP
Nemanja Matić	ネマニャ・マティッチ
Hassan Gouled Aptidon	ハッサン・グレド・アプティドン
Önoloogia	ワイン学
Nathalie Sarraute	ナタリー・サロート
Appius Claudius Caecus	アッピウス・クラウディウス・カエクス
EME	EME
Željko Komšić	ジェリコ・コムシッチ
Rick Ross	リック・ロス
Friedrich V	フリードリヒ5世
Elisabeth Rehn	エリザベス・レーン
Sundi sild	オーレスン・リンク
Athenagoras (täpsustus)	アシナゴラス
Maumoon Abdul Gayoom	マウムーン・アブドル・ガユーム
Jigme Dorji Wangchuck	ジグミ・ドルジ・ワンチュク
Davíð Oddsson	ダビッド・オッドソン
Lesja Ukrajinka	レーシャ・ウクライーンカ
Arvid Carlsson	アルビド・カールソン
Yang Guifei	楊貴妃
Surayud Chulanont	スラユット・チュラーノン
Somchai Wongsawat	ソムチャーイ・ウォンサワット
ISR	ISR (曖昧さ回避)
Öræfajökull	エーライヴァヨークトル
LTU	LTU
AUS	AUS
Rebiya Kadeer	ラビア・カーディル
René-Robert Cavelier, Sieur de La Salle	ロベール＝カブリエ・ド・ラ・サール
Gaius Caesar	ガイウス・カエサル
Simone Veil	シモーヌ・ヴェイユ (政治家)
Rob Zombie	ロブ・ゾンビ
Mitrovica	ミトロヴィツァ
Tim Rice	ティム・ライス
Thomas Keneally	トマス・キニーリー
Ray Kurzweil	レイ・カーツワイル
Tannenbergi lahing	タンネンベルクの戦い
Frankenberg	フランケンベルク
Jakov Sverdlov	ヤーコフ・スヴェルドロフ
Bradley Manning	チェルシー・マニング
Rahm Emanuel	ラーム・エマニュエル
Deron Williams	デロン・ウィリアムス
Saul Kripke	ソール・クリプキ
Weißenborn	ヴァイセンボルン
Chauncey Billups	チャンシー・ビラップス
MRI	MRI (曖昧さ回避)
Stéphane Lambiel	ステファン・ランビエール
EEG	EEG (曖昧さ回避)
Kate	KATE
Agrippa I	アグリッパ1世
David Spade	デヴィッド・スペード
Method Man	メソッド・マン
Promised Land	約束の地 (曖昧さ回避)
Francis Peyton Rous	ペイトン・ラウス
Pieter van den Hoogenband	ピーター・ファン・デン・ホーヘンバンド
John Zorn	ジョン・ゾーン
Austria Eurovisiooni lauluvõistlusel	オーストリアのユーロビジョン・ソング・コンテスト
E8	E8
Ursinus (vastupaavst)	ウルシヌス (対立教皇)
Morgenstern (täpsustus)	モルゲンシュテルン
Santiago Carrillo	サンティアゴ・カリーリョ
Gaston Leroux	ガストン・ルルー
Billy Connolly	ビリー・コノリー
Delta Force	デルタフォース (曖昧さ回避)
Paolo Bettini	パオロ・ベッティーニ
Reason	リーズン
Claude Berri	クロード・ベリ
Lothar II (Lotring)	ロタール2世
Bert van Marwijk	ベルト・ファン・マルワイク
John Nance Garner	ジョン・N・ガーナー
Levi P. Morton	リーヴァイ・モートン
Thomas R. Marshall	トーマス・R・マーシャル
Ronald Venetiaan	ロナルト・フェネティアーン
Konstantinoopoli kirikukogu	コンスタンティノポリス公会議
Konstantin Päts	コンスタンティン・パッツ
Jeff Hanneman	ジェフ・ハンネマン
Chamillionaire	カミリオネア
Mainland	メインランド島
Javier Marías	ハビエル・マリアス
Victoriano Huerta	ビクトリアーノ・ウエルタ
Michael Sata	マイケル・サタ
Aaron Sorkin	アーロン・ソーキン
Joshua A. Norton	ジョシュア・ノートン
Evan Lysacek	エヴァン・ライサチェク
Brad Jones	ブラッドリー・ジョーンズ
Geórgios Seitarídis	ゲオルギオス・セイタリディス
Seydou Doumbia	ドゥンビア・セイドゥ
Tom Kenny	トム・ケニー
Avidius Cassius	ガイウス・アウィディウス・カッシウス
Peter MacNicol	ピーター・マクニコル
Karl von Habsburg	カール・フォン・エスターライヒ
Eric Dane	エリック・デイン
Viktor Sanejev	ヴィクトル・サネイエフ
Wilson Palacios	ウィルソン・パラシオス
Przemysław Tytoń	プジェミスワフ・ティトン
Mizan Zainal Abidin	ミザン・ザイナル・アビディン
Silverton	シルバートン
Nūr Moḩammad Tarakī	ヌール・ムハンマド・タラキー
William Henry Fox Talbot	ウィリアム・ヘンリー・フォックス・タルボット
Rémi Gaillard	レミ・ガイヤール
Piero di Cosimo de' Medici	ピエロ・ディ・コジモ・デ・メディチ
Louis Vierne	ルイ・ヴィエルヌ
Bartolomeo Rastrelli	バルトロメオ・ラストレッリ
Theodor Gebre Selassie	テオドール・ゲブレ・セラシェ
UAE	UAE
Halford John Mackinder	ハルフォード・マッキンダー
Positsioon	ポジション
ATPaasid	ATPアーゼ
ATX	ATX
Parem elu	明日を継ぐために
A Broken Frame	ア・ブロークン・フレイム
Zhong Acheng	阿城 (作家)
Kordeballett (film)	コーラスライン (映画)
A Flock of Seagulls	フロック・オブ・シーガルズ
Praadimine	フライ (料理)
A Whiter Shade of Pale	青い影
A posteriori	アポステリオリ
Aa jõgi (Prantsusmaa)	アー川
Aacheni kongress (1818)	アーヘン会議 (1818年)
X.400	X.400
IPhone 4	IPhone 4
C standardteek	標準Cライブラリ
Elektrooniline sport	エレクトロニック・スポーツ
AirBaltic	エア・バルティック
Põhja-nahkhiir	キタクビワコウモリ
Von	フォン (前置詞)
Happesusindikaator	酸塩基指示薬
Atlandi tuur	バルチックチョウザメ
Levodopa	レボドパ
Aardman Animations	アードマン・アニメーションズ
Erechtheus	エレクテウス
Århusi konventsioon	オーフス条約
Aarne	アールネ
Muinasjututüüp	アールネ・トンプソンのタイプ・インデックス
Usuline tagakiusamine	宗教的迫害
Korea seedermänd	チョウセンゴヨウ
Kriitiline teooria	批判理論
Stefan Filipović	ステファン・フィリポヴィッチ
Vöör	船首
Salve Regina	サルヴェ・レジーナ
Laskmine 1896. aasta suveolümpiamängudel	アテネオリンピック (1896年) における射撃競技
Johan Vonlanthen	ヨハン・フォンランテン
Aaron Paul	アーロン・ポール
Mandoliin	マンドリン
Tour Nabemba	ナベンバ・タワー
Adua lahing	アドワの戦い
Aaron Rodgers	アーロン・ロジャース
Kaitseatašee	駐在武官
George Evelyn Hutchinson	ジョージ・イヴリン・ハッチンソン
Aaron Swartz	アーロン・スワーツ
Aaron T. Beck	アーロン・ベック
Lincolni maakond (Oregon)	リンカーン郡 (オレゴン州)
Ngũgĩ wa Thiong'o	グギ・ワ・ジオンゴ
1974. aasta autoralli maailmameistrivõistlused	1974年の世界ラリー選手権
Ōsaka metroo	大阪市営地下鉄
IS-1	IS-1
Ricky Nelson	リッキー・ネルソン
Nelson Évora	ネルソン・エボラ
Hermafrodiit	雌雄同体
Frigiidsus	不感症
Semois	スモワ川
Raisamardiklased	シデムシ
Dosimeeter	線量計
Príncipe de Asturias	プリンシペ・デ・アストゥリアス (空母)
Virbel	糸巻き (弦楽器)
Aavasaksa	アーバサクサ
Elektrilaengu jäävuse seadus	電荷保存則
Audrey Tautou	オドレイ・トトゥ
GEG	GEG
Rahvuslik Koonderakond	国民連合党
Ngawa maakond	アバ県
Hemipleegia	片麻痺
Hiina Autonoomne Õigeusu Kirik	中国正教会
Washingtoni maakond (Indiana)	ワシントン郡 (インディアナ州)
Normandie	ノルマンディー (客船)
Radiesteesia	ダウジング
Abaiang	アベイアン
GML	GML
Lääne-Logone	ロゴン・オクシデンタル州
1939. aasta Euroopa meistrivõistlused korvpallis	1939年バスケットボール男子欧州選手権
Nenad Krstić	ネナド・クリスティッチ
Lendluudpall	クィディッチ
Abashiri	網走市
‘Abā'ah	アバヤ
Bensopüreen	ベンゾピレン
GNU nano	Nano (テキストエディタ)
Múm	ムーム
Channel Islands	チャンネル諸島 (カリフォルニア州)
ISCSI	ISCSI
Abhe	アッベ湖
IPod Classic	IPod classic
Abbeville'i maakond	アベビル郡 (サウスカロライナ州)
John O'Shea	ジョン・オシェイ
Abbey Theatre	アベイ座
Beetalagunemine	ベータ崩壊
Abhaasi ANSV	アブハズ自治ソビエト社会主義共和国
Ida filosoofia	東洋哲学
‘Abd al-Kūrī	アブドゥルクーリー島
‘Abd al-Fattāḩ Khalīl as-Sīsī	アブドルファッターフ・アッ＝シーシー
Abdelilah Benkirane	アブデルイラーフ・ベン・キーラーン
Abdi İpekçi Arena	アブディ・イペクチ・アリーナ
Abduktsioon	アブダクション
Nikkel-metallhüdriidaku	ニッケル・水素充電池
Lothlórien	ロスローリエン
Nazgulid	指輪の幽鬼
Sõjajumal (film)	ロード・オブ・ウォー
Vägi	ゴブリン
James Gandolfini	ジェームズ・ギャンドルフィーニ
Miraaž	蜃気楼
Virslīga	ヴィルスリーガ
Achtung Baby	アクトン・ベイビー
Théoden	セオデン
Jean-Claude Van Damme	ジャン＝クロード・ヴァン・ダム
Misogüünia	ミソジニー
Anonüümsus	匿名
Māzandarān	マーザンダラーン州
London Aquatics Centre	アクアティクス・センター (ロンドン)
Euroopa Liidu eesistujariik	欧州連合理事会議長国
Rahvusvaheline Lenini rahupreemia	レーニン平和賞
Dreadnought (1906)	ドレッドノート (戦艦)
Kodanluse diskreetne võlu	ブルジョワジーの秘かな愉しみ
Antiloobikanjon	アンテロープ・キャニオン
Call of Duty 3	コール オブ デューティ3
San Francisco Giants	サンフランシスコ・ジャイアンツ
Vahamaal	エンカウスティーク
Silikageel	シリカゲル
Lamatis	褥瘡
Boston Legal	ボストン・リーガル
Guajaana kosmodroom	ギアナ宇宙センター
Sevilla metroo	セビリア・メトロ
Autarkia	閉鎖経済
Laiakereline lennuk	ワイドボディ機
Peegelneuron	ミラーニューロン
Alstom	アルストム
Churchi tees	チャーチ＝チューリングのテーゼ
Taani Eurovisiooni lauluvõistlusel	デンマークのユーロビジョン・ソング・コンテスト
Northwest Airlines	ノースウエスト航空
Kagera piirkond	カゲラ州
Ülisuure ulatusega pildistamine	ハイダイナミックレンジイメージ
Mauretaania	マウレタニア
Gröönimaa rahvuspark	北東グリーンランド国立公園
Isolatsionism	孤立主義
Lindi piirkond	リンディ州
Khān Yūnis	ハーンユーニス
Iringa piirkond	イリンガ州
Liid	リー族
Võll	ドライブシャフト
Coelophysis	コエロフィシス
Klahvinuhk	キーロガー
Hõljuklennuk	エクラノプラン
US Boulogne	USブローニュ
Apaatia	アパシー
Johann Ambrosius Bach	ヨハン・アンブロジウス・バッハ
Al-Ubayyiḑ	オベイド
T-test	T検定
César Pelli	シーザー・ペリ
Martin Freeman	マーティン・フリーマン
Krokodill	クロコダイル属
Masi Oka	マシ・オカ
Harilik rohutirts	ヒナバッタ
Jeremy Lin	ジェレミー・リン
Greg Grunberg	グレッグ・グランバーグ
Papiss Cissé	パピス・シセ
Beau Bridges	ボー・ブリッジス
Charles Ives	チャールズ・アイヴズ
Granville Stanley Hall	スタンレー・ホール
Alfred de Vigny	アルフレッド・ド・ヴィニー
Thomas Arne	トマス・アーン
Vincenzo Scamozzi	ヴィンチェンツォ・スカモッツィ
Edward Lear	エドワード・リア
Edward Lee Thorndike	エドワード・ソーンダイク
Athenagoras	アテネのアテナゴラス
Blake Griffin	ブレイク・グリフィン
Emilio Salgari	エミリオ・サルガーリ
Don Johnson	ドン・ジョンソン
Ken Wilber	ケン・ウィルバー
Timothy Olyphant	ティモシー・オリファント
Layne Staley	レイン・ステイリー
Francis Gary Powers	フランシス・ゲーリー・パワーズ
Joseph de Maistre	ジョゼフ・ド・メーストル
Niels Kaj Jerne	ニールス・イェルネ
Xueshani tunnel	雪山トンネル
Peter Gallagher	ピーター・ギャラガー
Lemmy Kilmister	レミー・キルミスター
Guido Spoletost	グイード・ダ・スポレート
Ice-T	アイス-T
Wilson Kipketer	ウィルソン・キプケテル
Jean Giraudoux	ジャン・ジロドゥ
C-moll	ハ短調
Joseph Greenberg	ジョーゼフ・グリーンバーグ
Ash-Shabāb	アル・シャバブ (ソマリア)
Hans Christian Gram	ハンス・クリスチャン・グラム
Roman Šebrle	ロマン・セブルレ
Linford Christie	リンフォード・クリスティ
Cristiano Lucarelli	クリスティアーノ・ルカレッリ
Emmanuel Frimpong	エマニュエル・フリンポン
Peter Mandelson	ピーター・マンデルソン
Crispin Glover	クリスピン・グローヴァー
James Earl Ray	ジェームズ・アール・レイ
Carl Woese	カール・ウーズ
Ulpianus	ドミティウス・ウルピアーヌス
Maksim Litvinov	マクシム・リトヴィノフ
Põhja-Hartum	アル・ハルツーム・バフリ
Al-Baḩr al-Aḩmari provints	紅海州
Nicholas Liverpool	ニコラス・リヴァプール
Nebojša Radmanović	ネボイシャ・ラドマノヴィッチ
