Աֆրիկա	アフリカ
190 (թիվ)	190
Մուրոս (քաղաք)	ムーロス (スペイン)
Ոսկի աքլորիկը	金鶏
Վլադիմիր Սպիվակով	ウラディーミル・スピヴァコフ
(2375) Ռադեկ	ラデック (小惑星)
Էքսպոնենցիալ ֆունկցիաների ինտեգրալների ցանկ	指数関数の原始関数の一覧
Սոյուզ (տիեզերանավ)	ソユーズ
Գաոհու	高胡
Լոգարիթմական ֆունկցիաների ինտեգրալների ցանկ	対数関数の原始関数の一覧
Ալդեա դել Ռեյ (քաղաք)	アルデア・デル・レイ
Ֆունկցիոնալ	汎函数
Ուկրաինայի նախագահ	ウクライナの大統領
Հիրոշի Մորի	森弘
Light My Fire	ハートに火をつけて
Կարա Կարաև	カラ・カラーエフ
Սանկտում	サンクタム
Ինդեքս	索引 (データベース)
Մինեստրոնե	ミネストローネ
Բոլոնիայի հռչակագիր (էսպերանտո)	ブローニュ宣言
Գլաքար	巨礫
(2349) Կուրչենկո	クルチェンコ (小惑星)
(3000) Լեոնարդո	レオナルド (小惑星)
Ռոուզ Բոուլ մարզադաշտ	ローズボウル (競技場)
(810) Ատոսսա	アトッサ (小惑星)
Բրեցլավի շրջան	ブジェツラフ郡
(9446) Սիսերո	キケロ (小惑星)
(5792) Ունստրուտ	ウンシュトルト (小惑星)
(4180) Անաքսագորաս	アナクサゴラス (小惑星)
(6469) Արմսթրոնգ	アームストロング (小惑星)
(359) Գեորգիա	ジョージア (小惑星)
Եվրոպական Հարևանության Քաղաքականություն	欧州近隣政策
Ամուրյան նրբաձկնիկ	モツゴ
Էյչվալդե	アイヒヴァルデ
(2140) Կեմերովո	ケメロヴォ (小惑星)
Հանքային յուղեր	鉱油
Լունար օրբիտեր (ծրագիր)	ルナ・オービター計画
Ջիբրալթարի ֆուտբոլի ազգային հավաքական	サッカージブラルタル代表
(9908) Այու	アウエ (小惑星)
(2622) Բոլզանո	ボルツァーノ (小惑星)
(6433) Էնյա	エンヤ (小惑星)
(7853) Կոնֆուցիուս	孔子 (小惑星)
(3665) Ֆիցջերալդ	フィッツジェラルド (小惑星)
Տեխնիկական բույսեր	工芸作物
Ֆրանկ (այլ կիրառումներ)	フランク
(2519) Աննագերման	アンナ・ゲルマン (小惑星)
Միկա (ֆուտբոլային ակումբ)	FCミカ
59-րդ հյուսիսային զուգահեռական	北緯59度線
Բեմի լույսերը	ライムライト (映画)
Տարմո Կինկ	タルモ・キンク
(3081) Մարտինուբոհ	マルティヌーボフ (小惑星)
Գործունակություն	意思能力・行為能力
Բոցասնկեր	スギタケ属
Արժեքի աշխատանքային տեսություն	労働価値説
Պամփիլիա	パンフィリア
Գենետիկական բազմազանություն	遺伝的多様性
(2739) Տագուասիպա	タグァシパ (小惑星)
Օսունա	オスナ
Տիտանների գրոհը	進撃の巨人
Ոսկե Գլոբուս լավագույն ռեժիսորի համար	ゴールデングローブ賞 監督賞
Կապիտոլիումի տաճար	ユピテル・オプティムス・マキシムス、ユーノー、ミネルウァ神殿
71 (թիվ)	71
(8000) Իսահակ Նյուտոն	アイザック・ニュートン (小惑星)
Վալդենյան դարձում	ヴァルデン反転
Դոմինիկ Հովարդ	ドミニク・ハワード
Զելով	ゼーロウ
Ռիք Ռուբին	リック・ルービン
Կիրենգա	キレンガ川
28 (թիվ)	28
(6876) Բեպեֆորտի	ベッペ・フォルティ (小惑星)
(4626) Պլիսետսկայա	プリセツカヤ (小惑星)
Սիրետ (քաղաք)	シレト
Նատալի Հորլեր	ナタリー・ホーラー
Սյուել (Չիլի)	スウェル
Տիկնիկային թատրոն	人形劇
2001 թ. NBA դրաֆթ	2001年のNBAドラフト
(8236) Գեյնսբորո	ゲインズバラ (小惑星)
(5026) Մարտես	マルテス (小惑星)
Մայքլ Ռայմոնդ-Ջեյմս	マイケル・レイモンド＝ジェームズ
Իտալուհին Ալժիրում	アルジェのイタリア女
Ֆոնտանկա (գետ)	フォンタンカ川
Բարբարեսկո	バルバレスコ (ワイン)
152 (թիվ)	152
Էստոնիայի ռազմաօդային ուժեր	エストニア空軍
Ամուրին (ֆիլմ, 1999)	プロポーズ (1999年の映画)
Կինեմատոգրաֆիա	撮影
ՖԻՖԱ Աշխարհի առաջնություն 2014 (Ընտրական փուլ, ՈՒԵՖԱ) D խումբ	2014 FIFAワールドカップ・ヨーロッパ予選グループD
(5881) Ակաշի	明石 (小惑星)
Սալջարդ	脳挫傷
Նովովոլինսկ (քաղաք, Ուկրաինա)	ノヴォヴォルィーンシク
(6865) Դանկերլի	ダンカーリー (小惑星)
(2489) Սուվորով	スヴォーロフ (小惑星)
Arrows A6	アロウズ・A6
Կիթ Պիկի ազգային աստղադիտարան	キットピーク国立天文台
(3198) Վալոնիա	ワロニア (小惑星)
Ազատ մամուլի համաշխարհային օր	世界報道自由デー
Պլանկի զանգված	プランク質量
(6867) Կուվանո	桑野 (小惑星)
59 (թիվ)	59
Կոնցերտին	コンサーティーナ
Ալկոբասա վանք	アルコバッサ修道院
Բրաշով (ֆուտբոլային ակումբ)	FCブラショヴ
Ռեյնե	レーヌ
Ծովը ներսում	海を飛ぶ夢
Գաուդա (պանիր)	ゴーダチーズ
62 (թիվ)	62
Ոստիկանական պատմություն	ポリス・ストーリー/香港国際警察
Լիսաժուի պատկերներ	リサジュー図形
Նելսոն շրջան (Կենտուկի)	ネルソン郡 (ケンタッキー州)
95 (թիվ)	95
(4571) Գրումիու	グリュミオー (小惑星)
Երգող հեղափոխություն	歌う革命
Կաալի (խառնարան)	カーリ・クレーター
Օուքենի օրենք	オークンの法則
Շանհայան ասպետները	シャンハイ・ナイト
Նեգատիվ	ネガフィルム
Mercedes-Benz CLK-դաս	メルセデス・ベンツ CLKクラス
Աստղային համակարգ	恒星系
2005թ. NBA դրաֆթ	2005年のNBAドラフト
(2248) Կանդա	神田 (小惑星)
(2250) Ստաինգարդ	スターリングラード (小惑星)
Շառաչող օձեր	マムシ亜科
Աղածաղիկ	エキノドルス
ԱՄՆ նախագահական ընտրություններ 1944	1944年アメリカ合衆国大統領選挙
Թյուրքական խորհուրդ	テュルク評議会
(4628) Լափլաս	ラプラス (小惑星)
Ալիա (եզր)	アリーヤー
Keep Yourself Alive	炎のロックンロール
Ֆրանսիան Եվրատեսիլ երգի մրցույթում	フランスのユーロビジョン・ソング・コンテスト
Ռեժիսորներ ըստ այբբենական ցանկի	映画監督一覧
Կանեյդիան	カナディアン川
Տեղակալման կանոնը արոմատիկ օղակում	芳香族求電子置換反応
Քաղցրիկը	ダンス・レボリューション
(7905) Ջազոիտամի	伊丹十三 (小惑星)
(2422) Պերովսկայա	ペロフスカヤ (小惑星)
Ամիտոզ	無糸分裂
Միխայել Ցորկ	ミヒャエル・ツォルク
Դառնափուշ	オナモミ属
Մոնաշի համալսարան	モナシュ大学
(4000) Հիպպարխուս	ヒッパルコス (小惑星)
Սպորտային համար	背番号
Մեծ օպերա	グランド・オペラ
Ամերիկյան բոլոր ժամանակների 10 լավագույն ֆիլմեր ըստ 10 ժանրերի	10ジャンルのトップ10
Անտոնինո Ռոկա	アントニオ・ロッカ
CPython	CPython
Հաջողակը (ֆիլմ, 2012)	一枚のめぐり逢い
Ցնդած պրոֆեսորը 2. Քլամփների ընտանիքը	ナッティ・プロフェッサー2 クランプ家の面々
(6023) Ցույաշիմա	艶島 (小惑星)
Պենիկի (գյուղ, Լոմոնոսովսկի շրջան)	ペニキ
Վիրահատություն	手術
Թրոյ (Նյու Յորք)	トロイ (ニューヨーク州)
Սլովակիայի ազգային հեռուստաընկերություն	スロバキアテレビ
Canal 13 (Չիլի)	チャンネル13 (チリ)
38 (թիվ)	38
Օվերբեյթուվե	オーファーベートゥヴェ
Կասամա (Զամբիա)	カサマ
(3054) Ստրուգացկիա	ストルガツキア
(8730) Իիդիսան	飯豊山 (小惑星)
(842) Կերստին	ケルスティン (小惑星)
Անհնարին պատկեր	不可能図形
Առևտուր	取引
Միխայիլ Գնեսին	ミハイル・グネーシン
Կուալեդրո (քաղաք)	クアレドロ
75 (թիվ)	75
Բիգ Ի	エットレ・ユエン
ՖԻՖԱ Աշխարհի առաջնություն 2014 (Ընտրական փուլ, ՈՒԵՖԱ) B խումբ	2014 FIFAワールドカップ・ヨーロッパ予選グループB
Բրոքհաուսի և Եփրոնի հանրագիտական բառարան	ブロックハウス・エフロン百科事典
Մախորկա	ニコチアナ・ルスティカ
Պիկոլո հոբոյ	ミュゼット
Մորենի	キイチゴ属
Կյուրոս (այլ կիրառումներ)	キュロス
(1942) Յաբլունկա	ヤブルンカ (小惑星)
Դասախոսություն	講義
ՈՒԵՖԱ սուպերգավաթ 2013	2013 UEFAスーパーカップ
(9745) Շինկենվադա	和田信賢 (小惑星)
Մադլեն (թխվածքաբլիթ)	マドレーヌ
(5052) Նենսիռութ	ナンシー・ルース (小惑星)
Պերշոտրավենսկ (քաղաք, Ուկրաինա)	ペルショトラーヴェンシク (ドニプロペトローウシク州)
109 (թիվ)	109
Մարաղա (քաղաք)	マラーゲ
Աստղացուցակ	天体カタログ
Արդյո՞ք անդրոիդները էլեկտրական ոչխարների մասին են երազում	アンドロイドは電気羊の夢を見るか?
Պամպանեիրա	パンパネイラ
Օֆիոլիթ	オフィオライト
Ժոաո Կառլոս	ジョアン・カルロス・ピント・チャヴェス
Ասիա (դիցաբանություն)	アシアー
Ուիլկսի երկիր	ウィルクスランド
Խրոտեխաստ (համայնք)	フローテハスト
(2770) Ցվետ	ツヴェット (小惑星)
Սիդնեյ Չապլին	シドニー・チャップリン (1885年生)
103 (թիվ)	103
Անտոնիոս և Կլեոպատրա (ողբերգություն)	アントニーとクレオパトラ
Էքսպոնոմետր	露出計
Տհուկպա	トゥクパ
Կիռիկլա (գյուղ, Կեռնու շրջան)	牧師館
Սա վերջն է (ֆիլմ, 2013)	ディス・イズ・ジ・エンド 俺たちハリウッドスターの最凶最期の日
(6557) Յոկոնոմուրա	野村陽子 (小惑星)
Կոնդենսատոր (այլ կիրառություններ)	復水器
Իռացիոնալ թիվ	無理数
Օդային բանտ	コン・エアー
Լյուպեն 3: Քալիոստորո դղյակը	ルパン三世 カリオストロの城
Ուլուգբեկի աստղադիտարան	ウルグ・ベク天文台
(5960) Վականաի	稚内 (小惑星)
Մաքսվել (չափման միավոր)	マクスウェル (単位)
Մենք ենք, մեր սարերը (կոթող)	我らの山
Շտետլ	シュテットル
(9884) Պրիբրամ	プシーブラム (小惑星)
Գուլիստան (Ուզբեկստան)	グリスタン
Ժուլիեն	繊切り
55-րդ հյուսիսային զուգահեռական	北緯55度線
Ռուսիա	ルーシ (地名)
(2784) Դոմեյկո	ドメイコ (小惑星)
199 (թիվ)	199
Դեյլի էքսպրես (օրաթերթ)	デイリー・エクスプレス
(8072) Յոջիկոնդո	近藤陽次 (小惑星)
Համակարգ չիպի վրա	System-on-a-chip
(4573) Պիեստանի	ピエシュチャニ (小惑星)
(7176) Կունիջի	くにじ (小惑星)
79-րդ հարավային զուգահեռական	南緯79度線
Մարգանեց (քաղաք, Ուկրաինա)	マールハネツィ
(5532) Իչինոհե	一戸 (小惑星)
Պեիթո	ペイトー
Պինոս Պուենտե	ピノス・プエンテ
Արյունահոսական նախատրամադրվածություն	出血傾向
Միներալային բամբակ	ロックウール
201 (թիվ)	201
Բրեկչիա	砕屑岩
Ալեքսեյ Վերստովսկի	アレクセイ・ヴェルストフスキー
Արևային հյուսակ	みぞおち
Քեփթն Ջեք	キャプテン・ジャック
Սերժ Սարգսյան	セルジ・サルキシャン
Հունական խաչ	ギリシャ十字
Լևոն Տեր-Պետրոսյան	レヴォン・テル＝ペトロシャン
Կոնիդիումներ	分生子
Ռոբերտ Քոչարյան	ロベルト・コチャリャン
Նարտյան էպոս	ナルト叙事詩
Բեքքի Շարփ	虚栄の市 (1935年の映画)
(8892) Կակոգավա	加古川 (小惑星)
(3286) Անատոլիա	アナトーリヤ (小惑星)
Էքսպրեսիոնիզմը երաժշտության մեջ	表現主義音楽
Միխաելիս-Մենթենի հավասարում	ミカエリス・メンテン式
Դաուվեն (համայնք)	ダイフェン
Սպառողական կոոպերացիա	生活協同組合
Դեղատուն	薬学
Լիկովներ (ճգնավորներ)	ルイコフ一家
Սղոցողներ	ハバチ亜目
(3256) Դագուերե	ダゲール (小惑星)
Թին վիսլ	ティン・ホイッスル
Տնտեսական արդյունավետություն	効率性
Պոպեայի թագադրությունը	ポッペーアの戴冠
Սանտա Ֆե (Գրանադա)	サンタ・フェ (グラナダ県)
Սևամարմիններ	ゴミムシダマシ科
ԿՈՆԿԱԿԱՖ-ի առաջնություն 1985	1985 CONCACAF選手権
Սկեգուեյ շրջան (Ալյասկա)	スカグウェイ (アラスカ州)
(5666) Ռեբելայս	ラブレー (小惑星)
Կազեմիրո	カルロス・エンリケ・カジミーロ
Շարտրի դպրոց	シャルトル学派
Սիրաքյուսի համալսարան	シラキュース大学
Աֆամեա	アパメア
Ճարմանդ	カフリンクス
Խնձորի հյութ	リンゴジュース
Բաքվի բյուրեղյա սրահ	バクー・クリスタル・ホール
Արջեր (ենթամշակույթ)	熊系
«Ապոլլո» թատրոն	アポロ・シアター
(6416) Նյուկասայամա	入笠山 (小惑星)
(6434) Ջուիտ	ジューイット (小惑星)
Տիբուրսիո Կարիաս Անդինո մարզադաշտ	エスタディオ・ティブルシオ・カリアス・アンディーノ
Օրենջ բոուլ մարզադաշտ	マイアミ・オレンジボウル
Չերոկի շրջան (Հարավային Կարոլինա)	チェロキー郡 (サウスカロライナ州)
Էլեկտրոնային նեյտրինո	電子ニュートリノ
Հեյնիկեն համերգասրահ	ハイネケン・ミュージックホール
Կաթողիկոս	カトリコス
(6501) Իսոնզո	イゾンツォ (小惑星)
Մահագիտություն	死生学
Գյորեմե ազգային այգի	ギョレメ国立公園
Դեիզմ	理神論
Կայուն ամուսնության խնդիր	安定結婚問題
Դերսիմի նահանգ	トゥンジェリ県
Ապպելի ռեակցիա	アッペル反応
Լիդիա	リュディア
Թեիզմ	有神論
Կիլիկիա	キリキア
Աբխազիայի վարչական բաժանում	アブハジアの行政区画
Սուխումի մունիցիպալիտետ	スフミ地区
Ապերցեպցիա	統覚
Fortune Global 500	フォーチュン・グローバル500
Մարիների հովիտներ	マリネリス峡谷
(6550) Պարլեր	パルレーシュ (小惑星)
Իրբենյան նեղուց	イルベ海峡
Կանիցարոյի ռեակցիա	カニッツァーロ反応
Ինգլվուդ (Կալիֆորնիա)	イングルウッド (カリフォルニア州)
Պոնտոս	ポントス
Կողքավիզ կրիաներ	曲頸亜目
Պալոս դե լա Ֆրոնտերա (քաղաք)	パロス・デ・ラ・フロンテーラ
Ջրու Հոլիդեյ	ジュルー・ホリデー
Գեյլ (խառնարան)	ゲール (クレーター)
Դեմիան Լիլարդ	デイミアン・リラード
Սան Սեբաստիանի կինոփառատոն	サン・セバスティアン国際映画祭
Գիշերային ակումբ	ナイトクラブ
Պտոզ (վերին կոպ)	眼瞼下垂
Աստծո ձեռքը	神の手 (サッカー)
NBA դրաֆթ	NBAドラフト
Արտոնյալ բաժնետոմս	優先株式
Հինգ շաբաթ օդապարիկով	気球に乗って五週間
Սան Դիեգոյի համալսարան	カリフォルニア大学サンディエゴ校
Ծակոտկենություն	気孔 (材料工学)
Մայոլիկա	マヨリカ焼き
Աստերիսկ (ԱՀԿ)	Asterisk (PBX)
Էլեկտրաէներգիայի հաշվիչ	電力量計
Պահապանների լեգենդը. Գահուլի բուերը	ガフールの伝説
Պողպատե մարդը	マン・オブ・スティール
Սեյու	声優
Կլաստերիկ վերլուծություն	データ・クラスタリング
(9999) Վիլես	ワイルズ (小惑星)
Դեվիանտ վարք	逸脱
Սեղանաձև լեռներ	メサ
Աքվինկում	アクインクム
Ջղաշուշան	ギボウシ
Խաբեբայություն (ֆիլմ)	ウワサの真相/ワグ・ザ・ドッグ
Դիֆֆի-Հելլմանի բանալու փոխանակում	ディフィー・ヘルマン鍵共有
Silicon Graphics	シリコングラフィックス
Ռոտոնդա	ロタンダ
Զոլոչև (քաղաք, Ուկրաինա)	ゾーロチウ (リヴィウ州)
Քրոմատիդներ	染色分体
Սոցիալական վերահսկողություն	社会的制裁
Մուս	ムース (食品)
ԱՄՆ-ի ազգային պատմական հուշարձաններ	アメリカ合衆国国定歴史建造物
Իմպրինտինգ	刷り込み
Կոնտակտային օղակներ	スリップリング
Բուֆոնադ	スラップスティック・コメディ映画
Համացանցային գովազդ	インターネット広告
Ջի Չանգ Ուկ	チ・チャンウク
Կարստ (սարավանդ)	クラス地方
Մազահանում	脱毛 (美容)
Կայպիրինյա	カイピリーニャ
Անհաս երեխա	早産
Խոտան (գետ)	ホータン川
Պայմանական եղանակ	条件法
Քաստարդ	カスタード
Սեյի օրենք	セイの法則
Զանգ	グロッケンシュピール
Հալանդ	ハッランド地方
Սոդերմանլանդ	セーデルマンランド地方
Սեվեններ	セヴェンヌ山脈
Հիպերոններ	ハイペロン
Խայտաթևավորներ	ミバエ
Ռյոշտի	レシュティ
Գործահոսք	ワークフロー
Ռյոկինգեն	レッキンゲン
Հովերլա	ホヴェールラ山
Պոմերսֆելդեն	ポンマースフェルデン
Մոնոպլան	単葉機
Շտայնգադեն	シュタインガーデン
Կոլոն	コロン (パナマ)
45 (թիվ)	45
Դեզամինացում	脱アミノ
Autodesk	オートデスク
Առաքելությունն անիրագործելի է. Ֆանտոմ պրոտակոլը	ミッション:インポッシブル/ゴースト・プロトコル
Հերիդեն	ヘリーデン
Պրեմիեր Լիգա 1998-99 (Անգլիա)	FAプレミアリーグ1998-1999
Լեռնական հրեաներ	山岳ユダヤ人
Սպիտակաձյունիկը. Թզուկների վրեժը	白雪姫と鏡の女王
Մեղքի հույզ	罪悪感
Հայլիգենշտադտ (Վերին Ֆրանկոնիա)	ハイリゲンシュタット・イン・オーバーフランケン
Յուրաքանչյուրին իր սեփականը	各人に各人のものを
Շահույթով ընկերներ (ֆիլմ)	ステイ・フレンズ
Medieval II: Total War	メディーバル2:トータルウォー
Բողոքի ակցիաներ Պետական Դումայի ընտրությունների կեղծավորման դեմ (2011)	2011年ロシア反政府運動
ԿՈՆԿԱԿԱՖ-ի ոսկե գավաթ 2011	2011 CONCACAFゴールドカップ
Լեոնիդ Կուչմա	レオニード・クチマ
(3785) Կիտամի	北見 (小惑星)
Զբոսաշրջիկ (ֆիլմ)	ツーリスト (映画)
(3769) Արտուրմիլլեր	アーサー・ミラー (小惑星)
(8237) Կոնստեբլ	コンスタブル (小惑星)
Լեանդրո Պարեդես	レアンドロ・パレデス
Լիխտենաու (Միջին Ֆրանկոնիա)	リヒテナウ (ミッテルフランケン)
Մետր (երաժշտական)	拍子
Մոնպարնաս կայարան	モンパルナス駅
Դրամագիտություն	貨幣学
(7206) Շիկի	子規 (小惑星)
(3282) Սփենսեր Ջոնս	スペンサー＝ジョーンズ (小惑星)
Ֆեդչենկոյի սառցադաշտ	フェドチェンコ氷河
Ռուս-թուրքական պատերազմ (1568-1570)	露土戦争 (1568年-1570年)
(3074) Պոպով	ポポフ (小惑星)
Բերտրանի պոստուլատ	ベルトランの仮説
Սեն-Վենանի սկզբունք	サンブナンの原理
Հիշիր ինձ	リメンバー・ミー (2010年の映画)
Գետնանոճազգիներ	スギ科
(6808) Պլանկին	プランタン (小惑星)
(7707) Ես	イエス (小惑星)
Դասալքություն	敵前逃亡
Արչիբալդ Մաքլիշ	アーチボルト・マクリッシュ
(4712) Իվայզումի	岩泉 (小惑星)
VIA Technologies	VIA Technologies
Մարին (Պոնտեվեդրա)	マリン (スペイン)
Սմոքինգ (ֆիլմ)	タキシード (2002年の映画)
(7291) Հիյակուտակե	百武 (小惑星)
Հիշել ամենը (ֆիլմ, 2012)	トータル・リコール (2012年の映画)
Մաքսվելի բաշխում	マクスウェル分布
(6562) Տակոյակի	たこやき (小惑星)
(6565) Ռեյջի	零士 (小惑星)
(4963) Կանրոկու	観勒 (小惑星)
(3432) Կոբուչիզավա	小淵沢 (小惑星)
Վատերզոյ	ワーテルゾーイ
Յոթ կյանք	7つの贈り物
Կայքային հասանելիություն	Web Accessibility Initiative
Դոն Բենիտո	ドン・ベニート
Կիսթ	キスト
Երկրաջերմային գրադիենտ	地温勾配
(5431) Մաքսինհելին	マキシン・ヘリン (小惑星)
Ամպլուա	ストックキャラクター
Լորենցո դի Բոնավենտուրա	ロレンツォ・ディ・ボナヴェンチュラ
Ոսկե կողմնացույց (ֆիլմ, 2007)	ライラの冒険 黄金の羅針盤
(8084) Դալաս	ダラス (小惑星)
Սեռ (այլ կիրառումներ)	属
Էթնիկ ազգայնականություն	民族主義
(8353) Մեգրյան	メグ・ライアン (小惑星)
Տափօղակ	座金
Կրակաամուր և կրակակայուն համաձուլվածքներ	超合金
Շախմատային օլիմպիադա 2008	ドレスデン・チェス・オリンピアード
Աստվածների կործանումը (ֆիլմ)	地獄に堕ちた勇者ども
Փոքրիկը զբոսնելիս	赤ちゃんのおでかけ
Մոներ	モン族 (Mon)
Ֆաբրիկային մեթոդ (նախագծման ձևանմուշ)	Factory Method パターン
Հարվարդի աստղադիտարան	ハーバード大学天文台
ԿՈՆԿԱԿԱՖ-ի ոսկե գավաթ 2009	2009 CONCACAFゴールドカップ
SideJacking	セッションハイジャック
(6594) Տասման	タスマン (小惑星)
Սեյշելյան կղզիների ֆուտբոլի ազգային հավաքական	サッカーセーシェル代表
Ալկալա լա Ռեալ (քաղաք)	アルカラ・ラ・レアル
Արպեջիոնե	アルペジョーネ
Խերսոնես Տավրիկյան	ケルソネソス
(6612) Հաչիոջի	八王子 (小惑星)
Իսահակ Դունաևսկի	イサーク・ドゥナエフスキー
(9995) Ալուետե	アルエット (小惑星)
Ատլանտիկ դիվիզիոն (ԲԱԱ)	アトランティック・ディビジョン (NBA)
Ժյոլտիե Վոդի (քաղաք, Ուկրաինա)	ジョーウチ・ヴォーディ
Մոնդարիս (քաղաք)	モンダリス
Վերխնեդնեպրովսկ (քաղաք, Ուկրաինա)	ヴェルフニョドニプローシク
Պոդգորոդնոե (քաղաք, Ուկրաինա)	ピドホロードネ (ドニプロペトローウシク州)
Օրջոնիկիձե (քաղաք, Ուկրաինա)	オルジョニキーゼ (ドニプロペトローウシク州)
Պերեյասլավ-Խմելնիցկի (քաղաք, Ուկրաինա)	ペレヤースラウ＝フメリヌィーツィクィイ
Իստրիա	イストリア半島
Հարավարևելյան դիվիզիոն (ԲԱԱ)	サウスイースト・ディビジョン (NBA)
Կեսոն (ճարտարապետություն)	格間
(9253) Օբերթ	オーベルト (小惑星)
Նադերի և Սիմինի ամուսնալուծությունը	別離 (2011年の映画)
Պյատիխատկի (քաղաք, Ուկրաինա)	プヤティハートキ (プヤティハートキ地区)
Նովոմոսկովսկ (քաղաք, Ուկրաինա)	ノヴォモスコーウシク
Զելենոդոլսկ (քաղաք, Ուկրաինա)	ゼレノドーリシク
Ցզյաոցզի	餃子
Սինելնիկովո (քաղաք, Ուկրաինա)	スィネーリヌィコヴェ (ドニプロペトローウシク州)
Սերվոմոտոր	サーボ機構
Կերուլեն	ヘルレン川
Արմորիկա	アルモリカ
Վիվերո (քաղաք)	ビベイロ
Ընդերքի պահպանություն	保全生態学
(1957) Անգարա	アンガラ (小惑星)
Միաս (գետ)	ミアス川
Բանքեթինգ հաուս	バンケティング・ハウス
Կալաոռա	カラオラ
Արնեդո	アルネド
Հայրենիք	祖国
Մաշոնաներ	ショナ人
Range Rover Evoque	ランドローバー・レンジローバーイヴォーク
(6866) Կուկաի	空海 (小惑星)
(8933) Կուրոբե	黒部 (小惑星)
Նացիոնալե մարզադաշտ (Հռոմ)	スタディオ・ナツィオナーレPNF
Նետուրեյ կարտո	ナートーレー＝カルター
Ավստրալիայի արևելյան ափի անձրևային անտառներ	オーストラリアのゴンドワナ多雨林群
Սիոնի Բոլնիս (ֆուտբոլային ակումբ)	FCシオニ・ボルニシ
(5490) Բարբրիջ	バービッジ (小惑星)
(3214) Մակարենկո	マカレンコ (小惑星)
Խոտ	草本
Rai 3	Rai Tre
Մշուշ	煙霧
Nissan Skyline	日産・スカイライン
Կարմրակտուց ճայ	ベニハシガラス
(5780) Լաֆոնտեյն	ラ・フォンテーヌ (小惑星)
Կարշի	カルシ
Մոտիվացիա	動機づけ
150 (թիվ)	150
Ռիվաս Վասիամադրիդ	リバス＝バシアマドリード
Ինքնաթիռային սպորտ	スカイスポーツ (競技)
Հիդրավլիկական տուրբին	発電用水車
Շահութահարկ	法人税
65 (թիվ)	65
174 (թիվ)	174
Դազինգ	ダージング
ՈՒԵՖԱ Չեմպիոնների Լիգայի եզրափակիչ 2008	UEFAチャンピオンズリーグ 2007-08 決勝
Օպերացիա (ռազմագործողություն)	作戦
Reprise Records	リプリーズ・レコード
Թանջուրահ (երկրամաս)	タジュラ州
Մանիտոբա (լիճ)	マニトバ湖
Սինուհեթի պատմությունը	シヌヘの物語
Չինաստանի մշակույթ	中国文明
Քյուբիվանո	キュビワノ族
Կենսագրական ֆիլմ	伝記映画
Տուժողի հոգեբանություն	被害者学
Լոբի դասական գրադարան	ローブ・クラシカルライブラリー
Օփենմոկո	OpenMoko
Բրիտանական թագավորական ընտանիք	イギリス王室
Սոցիալական համեմատության տեսություն	社会的比較理論
Ուրիշ աշխարհ. Էվոլյուցիա	アンダーワールド: エボリューション
Լիակատար ընկերակցություն	合名会社
Ֆայյումյան դիմանկար	ミイラ肖像画
Միռնի	ミールヌイ基地
Փիքի թեորեմ	ピックの定理
Սանտո Դոմինգո դե լա Կալսադա	サント・ドミンゴ・デ・ラ・カルサーダ
Ստրուհալի թիվ	ストローハル数
Հայրենասերը (ֆիլմ, 2000)	パトリオット (2000年の映画)
Դենիա (քաղաք)	デニア
Դեսանտ	上陸戦
Մակեդոնիայի Հանրապետության վարչական բաժանում	マケドニア共和国の基礎自治体
Մրցարշավ «Թնդանոթային միջուկ» 2	キャノンボール2
Հնէակոնտակտ	古代宇宙飛行士説
(2522) Տրիգլավ	トリグラフ (小惑星)
Տափակաձկներ	カレイ
Արյունախխում	喀血
Պալեստրա	パライストラ
Շըրնաքի նահանգ	シュルナク県
(2438) Օլեշկո	オレシコ (小惑星)
Նիդերլանդները Եվրատեսիլ երգի մրցույթում	オランダのユーロビジョン・ソング・コンテスト
Արածանիի ճակատամարտ	アルタクサタの戦い
Ալժիրի ֆուտբոլի ֆեդերացիա	アルジェリアサッカー連盟
Դիվերտիսմենտ	ディヴェルティメント
Խուզարկություն	押収
Տերահերցային ալիքներ	テラヘルツ波
(3127) Բագրատիոն	バグラチオン (小惑星)
Անկատար սնկեր	不完全菌
(8238) Կուրբետ	クールベ (小惑星)
(3895) Էրհարտ	イアハート (小惑星)
Ալի Բուջսաիմ	アリ・ブジサイム
Կրակովյակ	クラコヴィアク
Գողություն իտալական ձևով	ミニミニ大作戦 (2003年の映画)
Ժայռային դրախտապան	イワバホオジロ
(2523) Ռիբա	リバ (小惑星)
Սենթ Դեյվիդս	セント・デイビッズ
Մալթան Եվրատեսիլ երգի մրցույթում	マルタのユーロビジョン・ソング・コンテスト
Մարտին շրջան (Ֆլորիդա)	マーティン郡 (フロリダ州)
Հետարտադրություն	ポストプロダクション
Լույսի ճնշում	放射圧
Մելքիոր	白銅
Տրոգ	U字谷
Ձուլաթերթավորներ	合弁花類
180 (թիվ)	180
Տեսսը Դէրբերվիլների տոհմից	ダーバヴィル家のテス
Սամարա (Վոլգայի վտակ)	サマーラ川
Սիկատիվներ	乾燥促進剤
Rádio e Televisão de Portugal	ポルトガル国営放送
(2160) Սպիտցեր	スピッツァー (小惑星)
(2326) Տոլոլո	トロロ (小惑星)
(4932) Տեքստապա	テクスタパ (小惑星)
Լա Կարոլինա (քաղաք)	ラ・カロリナ
Ոզնագլխիկ	ヒゴタイ属
