აფრიკა	アフリカ
ტომ ჰიდლსტონი	トム・ヒドルストン
პედრუ I (პორტუგალია)	ペドロ1世 (ポルトガル王)
სენ-სულპისის ეკლესია	サン＝シュルピス教会
აფონსუ III (პორტუგალია)	アフォンソ3世 (ポルトガル王)
ანზაკის დღე	ANZACの日
ედგარ მიჩელი	エドガー・ミッチェル
ავსტრალიის, ახალი ზელანდიისა და აშშ-ის დაცვის ხელშეკრულება	太平洋安全保障条約
კლაუდიო ლოპესი	クラウディオ・ロペス
ტომ ჰუპერი (რეჟისორი)	トム・フーパー
ინიგოუ ჯოუნზი	イニゴー・ジョーンズ
ტერენს ტაო	テレンス・タオ
მოჩვენება (მრავალმნიშვნელოვანი)	ゴースト
ნიკოლა ჟან დე დიე სულტი	ニコラ＝ジャン・ド・デュ・スールト
ალფრედ მოლინა	アルフレッド・モリーナ
შობის კუნძული	クリスマス島
გამბიტი (მრავალმნიშვნელოვანი)	ガンビット
დიუმა	デュマ
ლისანდრო ლოპესი	リサンドロ・ロペス
აბე	ABE
ჯონ კაზალე	ジョン・カザール
მაურისიო ისლა	マウリシオ・イスラ
პარმენიონი	パルメニオン
ტუპაკ ამარუ I	トゥパク・アマル (初代)
ტიგლათფილესერ I	ティグラト・ピレセル1世
დევიდ მორსი	デヴィッド・モース
აფონსუ II (პორტუგალია)	アフォンソ2世 (ポルトガル王)
კორი მონტითი	コリー・モンティス
All That You Can't Leave Behind	オール・ザット・ユー・キャント・リーヴ・ビハインド
ჯეისონ რობარდსი	ジェイソン・ロバーズ
მიგელ დე ლა მადრიდი	ミゲル・デ・ラ・マドリ・ウルタード
კოსტა-გავრასი	コスタ＝ガヴラス
ენრიკე პენია ნიეტო	エンリケ・ペーニャ・ニエト
ტოგო ჰეიჰაჩირო	東郷平八郎
დინო დე ლაურენტისი	ディノ・デ・ラウレンティス
ბერნარდ ჰერმანი	バーナード・ハーマン
მანსინი	アレッサンドロ・マンシーニ
აროსი	AROS Research Operating System
ბოდუენ IV იერუსალიმელი	ボードゥアン4世
მავსოლე	マウソロス
ფერდინანდ I დიდი	フェルナンド1世 (カスティーリャ王)
ბარი გიბი	バリー・ギブ
მორის გიბი	モーリス・ギブ
ჯო პანტოლიანო	ジョー・パントリアーノ
ზეთისხილი	オリーブ属
ჯეიმზ სპეიდერი	ジェームズ・スペイダー
ანტანას სმეტონა	アンターナス・スメトナ
როლანდას პაქსასი	ロランダス・パクサス
ტიმ კრული	ティム・クルル
ახმად კადიროვი	アフマド・カディロフ
გიორგი ლვოვი	ゲオルギー・リヴォフ
კუაუტემოკი	クアウテモック
ფრედერიკ ჩილუბა	フレデリック・チルバ
ოლჯაითუ-ყაენი	オルジェイトゥ
ჯეკ ჯონსონი (მუსიკოსი)	ジャック・ジョンソン (ミュージシャン)
სიმეონ ამაყი	セミョーン (モスクワ大公)
სამწიფარასებრნი	ツチハンミョウ
იპოლიტო ირიგოიენი	イポリト・イリゴージェン
ტაისონ ჩენდლერი	タイソン・チャンドラー
გაიუს გრაკქუსი	ガイウス・グラックス
ვალდემარ I დიდი	ヴァルデマー1世 (デンマーク王)
ვაცლავ სიერპინსკი	ヴァツワフ・シェルピニスキ
დეივიდ მოიესი	デイヴィッド・モイーズ
ვენეგი	ウェネグ
ხუან II (კასტილია)	フアン2世 (カスティーリャ王)
ნიკიტა ქონიატე	ニケタス・コニアテス
დრაგან ჯაიჩი	ドラガン・ジャイッチ
ურ-ნამუ	ウル・ナンム
გრეგორი ლემარშალი	グレゴリー・ルマルシャル
ნარამსუენი	ナラム・シン
დენ სიმონსი	ダン・シモンズ
ლეოპოლდ სტოკოვსკი	レオポルド・ストコフスキー
ხათუსილი III	ハットゥシリ3世
საიონძი კიმოტი	西園寺公望
ჰასან გულედ აპტიდონი	ハッサン・グレド・アプティドン
ენოლოგია	ワイン学
სენედი	セネド
წმინდა მარინე	アンティオキアのマルガリタ
კრის პენი	クリス・ペン
ნატალი საროტი	ナタリー・サロート
აპიუს კლავდიუსი ბრმა	アッピウス・クラウディウス・カエクス
ფრანსუა ტომბალბაი	フランソワ・トンバルバイ
ერესუნის ხიდი	オーレスン・リンク
ლესია უკრაინკა	レーシャ・ウクライーンカ
ადოლფო ბიოი კასარესი	アドルフォ・ビオイ＝カサーレス
სუიკო	推古天皇
ერნესტო სედილიო	エルネスト・セディージョ
ლუციუს ემილიუს პაულუსი	ルキウス・アエミリウス・パウルス・マケドニクス
ემანუელ შრიკი	エマニュエル・シュリーキー
ვარნა (მრავალმნიშვნელოვანი)	ヴァルナ
კენეთ I (შოტლანდია)	ケネス1世 (スコットランド王)
მაიკლ შინი	マイケル・シーン
როდრიგო ტადეი	ロドリゴ・タッデイ
ანტონ ფერდინანდი	アントン・ファーディナンド
ლინდზი ანდერსონი	リンゼイ・アンダーソン
გრეისონ ჩენსი	グレイソン・チャンス
ჯეფრი დამერი	ジェフリー・ダーマー
გარეტ ჰედლანდი	ギャレット・ヘドランド
იაკობ სვერდლოვი	ヤーコフ・スヴェルドロフ
ნოელ კაუარდი	ノエル・カワード
ალენ-ფურნიე	アラン＝フルニエ
უმარ II	ウマル2世 (ウマイヤ朝)
თამაზ I	タフマースブ1世
სოკოლუ მეჰმედ-ფაშა	ソコルル・メフメト・パシャ
ნიზამ ალ-მულქი	ニザームルムルク
რეინალდო ბინიონე	レイナルド・ビニョーネ
კვადვო ასამოა	クワドォー・アサモア
სიმონ პოულსენი	シモン・ポウルセン
უილიამ კვისტი	ウィリアム・クヴィスト
აიზეი თომასი	アイザイア・トーマス
სოლ კრიპკე	ソール・クリプキ
ჯონი ლოგანი	ジョニー・ローガン
მარვან I	マルワーン1世
პიერ ჟანსენი	ピエール・ジャンサン
არისტიდიშ პერეირა	アリスティデス・ペレイラ
აჰმადუ აჰიჯო	アマドゥ・アヒジョ
ჯონ ზორნი	ジョン・ゾーン
ჟაკ მაკდონალდი	ジャック・マクドナル
ალფონსო XI	アルフォンソ11世 (カスティーリャ王)
ფილიპ II (ბურგუნდია)	フィリップ2世 (ブルゴーニュ公)
უილიამ კინგი	ウィリアム・キング
ჯონ გარნერი	ジョン・N・ガーナー
ლევი მორტონი	リーヴァイ・モートン
ტომას მარშალი	トーマス・R・マーシャル
ზალმან შაზარი	ザルマン・シャザール
კონსტანტინ პიატსი	コンスタンティン・パッツ
აფონსუ V (პორტუგალია)	アフォンソ5世 (ポルトガル王)
ემილ კონსტანტინესკუ	エミル・コンスタンティネスク
ალფონსო II (არაგონი)	アルフォンソ2世 (アラゴン王)
მაიკლ სატა	マイケル・サタ
აარონ სორკინი	アーロン・ソーキン
იუდა ჰალევი	イェフダ・ハレヴィ
შაბთაი ცვი	シャブタイ・ツヴィ
ავიდიუს კასიუსი	ガイウス・アウィディウス・カッシウス
ლოს-ალტოსი	ロスアルトス
მარიო ლანცა	マリオ・ランツァ
ტონი ადამსი	トニー・アダムス
კარლო პონტი	カルロ・ポンティ
კირონ დაიერი	キーロン・ダイアー
ვიქტორ სანეევი	ヴィクトル・サネイエフ
აშურბალიტ I	アッシュール・ウバリト1世
ხათუსილი I	ハットゥシリ1世
აგის IV	アギス4世
სტეფან ანდერსენი	ステファン・アンデルセン
ალიატესი	アリュアッテス
ნურ მუჰამედ თარაქი	ヌール・ムハンマド・タラキー
ლეონ მბა	レオン・ムバ
ჟუან V (პორტუგალია)	ジョアン5世 (ポルトガル王)
ფრანჩესკო ბართოლომეო რასტრელი	バルトロメオ・ラストレッリ
ტომაშ ჰუბშმანი	トマーシュ・ヒューブシュマン
აბდ ალ-ქარიმ კასიმი	アブドルカリーム・カーシム
ტომაშ ნეციდი	トマーシュ・ネツィド
ტომაშ შივოკი	トマーシュ・シヴォク
სალვატორე სირიგუ	サルヴァトーレ・シリグ
ჰელფორდ ჯონ მაკინდერი	ハルフォード・マッキンダー
რალფ ელისონი	ラルフ・エリソン
ევროპის ჩემპიონთა თასი ფრენბურთში	バレーボール欧州チャンピオンズリーグ
მსოფლიოს თასი ფრენბურთში ვაჟთა და ქალთა შორის	バレーボールワールドカップ
მსოფლიოს ლიგა ფრენბურთში ვაჟთა შორის	バレーボール・ワールドリーグ
მსოფლიოს დიდი პრიზი ფრენბურთში ქალთა შორის	バレーボール・ワールドグランプリ
A Bigger Bang	ア・ビガー・バン
A Broken Frame	ア・ブロークン・フレイム
მეფეთა ჯახი	王狼たちの戦旗
A Collection of Beatles Oldies	オールディーズ (アルバム)
A Collection of Great Dance Songs	時空の舞踏
A Day in the Life	ア・デイ・イン・ザ・ライフ
A Dramatic Turn of Events	ア・ドラマティック・ターン・オブ・イベンツ
A Kind of Magic	カインド・オブ・マジック
A Kind of Magic (სიმღერა)	カインド・オブ・マジック (曲)
A Northern Soul	ア・ノーザン・ソウル
A Perfect Circle	ア・パーフェクト・サークル
A Pillow of Winds	ピロウ・オブ・ウインズ
A Quick One	ア・クイック・ワン
A Storm in Heaven	ア・ストーム・イン・ヘヴン
A Taste of Honey (სიმღერა)	蜜の味
A Tribe Called Quest	ア・トライブ・コールド・クエスト
A Trick of the Tail	トリック・オブ・ザ・テイル
აა (მდინარე)	アー川
ერზაცი	代用品
Blood on the Tracks	血の轍
AirBaltic	エア・バルティック
ატლანტური ზუთხი	バルチックチョウザメ
აალტოს უნივერსიტეტი	アールト大学
კამპუჩიის გიბონი	ボウシテナガザル
კონოლოფი	ガラパゴスリクイグアナ
Aardman Animations	アードマン・アニメーションズ
ორჰუსი (საფეხბურთო კლუბი)	オーフスGF
ბრანდიუაინის ბრძოლა	ブランディワインの戦い
ტონი იეიო	トニー・イエイヨー
Iron Mask	アイアン・マスク
კაზანლიკის თრაკიული აკლდამა	カザンラクのトラキア人の墳墓
Elysium	エリシオン:理想郷
გემის ქიმი	船首
მხეცი (პერსონაჟი)	ビースト (X-メン)
Barrett (ალბომი)	その名はバレット
ლოლო ფერარი	ロロ・フェラーリ
მისია (ფილმი)	ミッション (映画)
Yessongs	イエスソングス
გილერმო კაბრერა ინფანტე	ギリェルモ・カブレラ＝インファンテ
ჰალ-ინ-ტიროლი	ハル・イン・チロル
ორდონიო IV (ლეონი)	オルドーニョ4世
ოსაკის მეტროპოლიტენი	大阪市営地下鉄
უპერნავიკი	ウペルナビク
ჰულოკი	フーロックテナガザル
გალისიის სამეფო	ガリシア王国
ლეშიჭამიასებრნი	シデムシ
ნოვგოროდის წმინდა სოფიას საკათედრო ტაძარი	聖ソフィア大聖堂 (ノヴゴロド)
აავასაკსა	アーバサクサ
კატაპიტნა	イヌハッカ属
მალაკნები	モロカン派
ჭამე ილოცე შეიყვარე	食べて、祈って、恋をして
მუხტის შენახვის კანონი	電荷保存則
მამის სახელით	父の祈りを
ოდრი ტოტუ	オドレイ・トトゥ
სტივი უანდერის დისკოგრაფია	スティーヴィー・ワンダーの作品
Abacab	アバカブ
წმინდა ძრავები	ホーリー・モーターズ
ამერი (მდინარე)	アメル川
კრის სკუაირი	クリス・スクワイア
აბაიანგი	アベイアン
გლენ მედეიროსი	グレン・メデイロス
დეცემვირი	十人委員会
პაჰარპურეს ბიჰარა	パハルプールの仏教寺院遺跡群
ლოს-კატიოსის ეროვნული პარკი	ロス・カティオス国立公園
სეიდი	サイイド
Good Day Sunshine	グッド・デイ・サンシャイン
ქვიდიჩი	クィディッチ
აბასირი	網走市
IGoogle	IGoogle
Pwd	Pwd
Cp	Cp (UNIX)
Tcpdump	Tcpdump
ბენზპირენი	ベンゾピレン
Chgrp	Chgrp
Netcat	Netcat
ჯეიმზ ფრანკო	ジェームズ・フランコ
აფხაზეთის ავტონომიური საბჭოთა სოციალისტური რესპუბლიკა	アブハズ自治ソビエト社会主義共和国
აფხაზეთის სსრ	アブハジア社会主義ソビエト共和国
აბდ ალ-რაჰმან II	アブド・アッラフマーン2世
აბდულ სალამ არეფი	アブドッサラーム・アーリフ
აბდულ-ფათაჰ ალ-სისი	アブドルファッターフ・アッ＝シーシー
ჯუდი დეივისი	ジュディ・デイヴィス
ევროპის საფეხბურთო ჩემპიონატი 2012: ფინალი	UEFA EURO 2012決勝
გობლინები	ゴブリン
France Football	フランス・フットボール
ბურგთეატრი	ブルク劇場
ჯეიმზ განდოლფინი	ジェームズ・ギャンドルフィーニ
მირაჟი	蜃気楼
ჰერცოგი და დე მერონი	ヘルツォーク&ド・ムーロン
Achtung Baby	アクトン・ベイビー
იუნგანი	雲崗石窟
ტადრარტ-აკაკუსი	タドラルト・アカクス
ჟან-კლოდ ვან დამი	ジャン＝クロード・ヴァン・ダム
მიზოგინია	ミソジニー
მაზანდარანის ოსტანი	マーザンダラーン州
ქვადები	クァディ族
ტოკიოს სპეციალური რაიონები	東京都区部
გარამბის ეროვნული პარკი	ガランバ国立公園
ევროპის კავშირის საბჭოს თავმჯდომარე სახელმწიფოები	欧州連合理事会議長国
საერთაშორისო ლენინური პრემია "ხალხთა შორის მშვიდობის განმტკიცებისათვის"	レーニン平和賞
Mozilla Public License	Mozilla Public License
ბურჟუაზიის მოკრძალებული ხიბლი	ブルジョワジーの秘かな愉しみ
იურგენ კოლერი	ユルゲン・コーラー
სალამანკის უნივერსიტეტი	サラマンカ大学
ენკაუსტიკა	エンカウスティーク
რისკის ფრაზების სია	リスクフレーズ
დაუსრულებელი მოთხრობები	終わらざりし物語
News of the World (ალბომი)	世界に捧ぐ
სევილიის მეტროპოლიტენი	セビリア・メトロ
კინგ კონგი (1933 წლის ფილმი)	キングコング (1933年の映画)
გლასტონბერის ფესტივალი	グラストンベリー・フェスティバル
მკვლელობის ლიცენზია	007 消されたライセンス
ტიბესტი	ティベスティ山地
კორიერე დელა სერა	コリエーレ・デラ・セラ
საფართესლოვანები	グネツム綱
ალან ბეიტსი	アラン・ベイツ
კვაჯალეინი	クェゼリン環礁
სუ-34	Su-34 (航空機)
ბრეტონელები	ブルトン人
საიმირი	リスザル
კემპ-დევიდის შეთანხმება	キャンプ・デービッド合意
ნორმან ჯუისონი	ノーマン・ジュイソン
ფუნდურა	センチコガネ科
ლოლიკონი	ロリータ・コンプレックス
მოტოციკლისტის დღიურები (ფილმი)	モーターサイクル・ダイアリーズ
გარდაცვლილთა დღე	死者の日 (メキシコ)
ზღვისპირა ალპები	アルペス・マリティマエ
მავრეტანია	マウレタニア
მამაკაცი ოქროს პისტოლეტით	007 黄金銃を持つ男
მუსა I	マンサ・ムーサ
ჩრდილოდასავლეთის უნივერსიტეტი	ノースウェスタン大学
ჩრდილოეთის ალიანსი	北部同盟 (アフガニスタン)
ბულონი (საფეხბურთო კლუბი)	USブローニュ
კასუბის საფლავი	カスビのブガンダ歴代国王の墓
სლოვაკეთის პრეზიდენტი	スロバキアの大統領の一覧
მაიკლ სკოფილდი	マイケル・スコフィールド
აით-ბენ-ჰადუ	アイット＝ベン＝ハドゥの集落
პაისანდუ	パイサンドゥー
ლუქსემბურგის ბაღი	リュクサンブール公園
ალ-ჯაზირის შტატი	ジャジーラ州
ალ-ქადარიფის შტატი	ガダーレフ州
სეზარ პელი	シーザー・ペリ
მარტინ ფრიმენი	マーティン・フリーマン
ცისფერი ნილოსის შტატი	青ナイル州
ტრიქომონასი	トリコモナス
თოხთამიში	トクタミシュ
ჯორჯო მორანდი	ジョルジョ・モランディ
ზოროს ნიღაბი	マスク・オブ・ゾロ
We Can't Dance	ウィ・キャント・ダンス
მიშელ ბიუტორი	ミシェル・ビュトール
ლუკა ანტონინი	ルカ・アントニーニ
იან ჰენდრიკ ოორტი	ヤン・オールト
Fat Joe	ファット・ジョー
პიტერ გალაგერი	ピーター・ギャラガー
ხილდერიკ II	キルデリク2世
ხლოდვიგ II	クロヴィス2世
ხლოტარ III	クロタール3世
ლემი კილმისტერი	レミー・キルミスター
გვიდო III სპოლეტო	グイード・ダ・スポレート
ხლოდვიგ IV	クロヴィス4世
Ice-T	アイス-T
რურის უნივერსიტეტი ბოხუმში	ルール大学ボーフム
სოჰეი იმამურა	今村昌平
ბერნდ ლენო	ベルント・レノ
ზღვის ციცინათელა	ヤコウチュウ
პედრო ლეონი	ペドロ・レオン
სიმონ დე მონფორი	シモン・ド・モンフォール
ჩრდილოეთი ხარტუმი	アル・ハルツーム・バフリ
ჩრდილოეთის შტატი	北部州 (スーダン)
პავლე (სერბეთის პატრიარქი)	パヴレ (セルビア総主教)
წითელი ზღვის შტატი	紅海州
ჟანიუ კუადროსი	ジャニオ・クアドロス
სალმანასარ I	シャルマネセル1世
ჯორჯ ბალანჩინი	ジョージ・バランシン
ნორმან შვარცკოპფი	ノーマン・シュワルツコフ
ტობინ ბელი	トビン・ベル
მუჰამედ დაუდი	ムハンマド・ダーウード
ტიმოთი ჰატონი	ティモシー・ハットン
ანტუან დე ბურბონი	アントワーヌ (ヴァンドーム公)
ჯებელ-ახდარი	アフダル山地
პავლე სუხოი	パーヴェル・スホーイ
Coolio	クーリオ
ელ-ხუმსი	フムス (リビア)
ხარტუმის შტატი	ハルツーム州
მეგათერიუმი	メガテリウム
ალან ალდა	アラン・アルダ
კრისტიან ელდიაურნი	クリスチャン・エルジャン
ჯერალდ დარელი	ジェラルド・ダレル
ხუან I (კასტილია)	フアン1世 (カスティーリャ王)
გიგანტოპითეკი	ギガントピテクス
ლუდვიგ III უსინათლო	ルイ3世 (プロヴァンス王)
ჯორჯ ფოქსი	ジョージ・フォックス
სტივ დეივისი	スティーブ・デイビス
ფრანც ქსავერ ზიუსმაირი	フランツ・クサーヴァー・ジュースマイヤー
ვიქტორ ონოპკო	ヴィクトル・オノプコ
კვეტ მასირე	クェット・マシーレ
Dd	Dd (UNIX)
მატისიაუ	マティスヤフ
ბრენდან როჯერსი	ブレンダン・ロジャーズ
მარკ ბარტრა	マルク・バルトラ
ტრიბონიანე	トリボニアヌス
სალმანასარ V	シャルマネセル5世
H ინდექსი	H指数
დომინიკ ადია	ドミニク・アディアー
დიონისე არეოპაგელი	アレオパゴスのディオニシオ
იაკობ პოულსენი	ヤコブ・ポウルセン
ბრედე ჰანგელანდი	ブレデ・ハンゲラン
დონ ეირი	ドン・エイリー
ისიმანგალისოს პარკი	イシマンガリソ湿地公園
ტომას სევერი	トーマス・セイヴァリ
გლენ ჰიუზი	グレン・ヒューズ
შაგი	シャギー (歌手)
ჟან-კლოდ დიუვალიე	ジャン＝クロード・デュヴァリエ
მიგელ I	ミゲル1世 (ポルトガル王)
ჯეიმზ შერმანი	ジェームズ・S・シャーマン
ჟოზეფ მარი ჟაკარი	ジョゼフ・マリー・ジャカール
უილიამ უილერი	ウィリアム・A・ウィーラー
ედლაი სტივენსონი I	アドレー・E・スティーブンソン
გარეტ ჰობარტი	ギャレット・A・ホーバート
ტომას ჰენდრიკსი	トーマス・A・ヘンドリックス
ჯორჯ დალასი	ジョージ・ダラス
შაილერ კოლფაქსი	スカイラー・コルファクス
დავიდ დაკო	ダヴィド・ダッコ
სეთ-პერიბსენი	セト・ペルイブセン
ინტეფ I	アンテフ1世
ანდრე კოლინგბა	アンドレ・コリンバ
ჰისენ ჰაბრე	イッセン・ハブレ
ნიკო ფიროსმანი	ニコ・ピロスマニ
ნილ დეგრას ტაისონი	ニール・ドグラース・タイソン
თიკ ნათ ჰანი	ティク・ナット・ハン
ენრიკე IV	エンリケ4世 (カスティーリャ王)
პიტერ დინკლიჯი	ピーター・ディンクレイジ
მიხაელ კისკე	マイケル・キスク
ნიკოლოზ გილაური	ニコロス・ギラウリ
რასმუს კრისტიან რასკი	ラスムス・ラスク
პედრო I მრისხანე	ペドロ1世 (カスティーリャ王)
რობერტ მაილზი	ロバート・マイルズ
პატრიკ ჰილერი	パトリック・ヒラリー
ბორის ბერეზოვსკი (ბიზნესმენი)	ボリス・ベレゾフスキー
ალფ რამზი	アルフ・ラムゼイ
ურბი ემანუელსონი	ウルビー・エマヌエルソン
ბორის I	ボリス1世
არტურ ბერნანდესი	アルトゥール・ベルナルデス
ალფონსო III (ასტურია)	アルフォンソ3世 (アストゥリアス王)
კუტბ ად-დინ აიბაკი	クトゥブッディーン・アイバク
ფერი კორსტენი	フェリー・コーステン
ფრანჩესკო რედი	フランチェスコ・レディ
ჯერი უესტი	ジェリー・ウェスト
ვაშინგტონ ლუისი	ワシントン・ルイス
დანიელ ბარლი ვულფოლი	ダニエル・ウールフォール
ნოსტოკი	ネンジュモ
ტიტუს ლაბიენუსი	ティトゥス・ラビエヌス
პოლ ბროკა	ピエール・ポール・ブローカ
სერგო ფარაჯანოვი	セルゲイ・パラジャーノフ
ისააკ შტერნი	アイザック・スターン
დავიდ ნ’გოგი	ダビド・ヌゴグ
თეთრი ნილოსის შტატი	白ナイル州
რობ რენსენბრინკი	ロブ・レンセンブリンク
იგორ ბელანოვი	イーゴリ・ベラノフ
ტუპაკ ინკა იუპანკი	トゥパック・インカ・ユパンキ
გვადალუპე ვიქტორია	グアダルーペ・ビクトリア
ხუან ველასკო ალვარადო	フアン・ベラスコ・アルバラード
უაინა კაპაკი	ワイナ・カパック
ხუან მანუელ დე როსასი	フアン・マヌエル・デ・ロサス
ლუის კაბრალი	ルイス・カブラル
ვავა	エジバウド・イジディオ・ネト
ფრანსისკო მირანდა	フランシスコ・デ・ミランダ
რონან კიტინგი	ローナン・キーティング
ანტუან ფრანსუა პრევო	アントワーヌ・フランソワ・プレヴォ
მელიქ-შაჰი	マリク・シャー
ხორლოგიინ ჩოიბალსანი	ホルローギーン・チョイバルサン
მარიო ზაგალო	マリオ・ザガロ
ალფრედ კრებერი	アルフレッド・L・クローバー
ანტონიო კალდარა	アントニオ・カルダーラ
ადად-ნირარი II	アダド・ニラリ2世
სვიატოპოლკ I	スヴャトポルク1世
ნიკოლა ლეგროტალიე	ニコラ・レグロッターリエ
ერიკ ჯონსონი	エリック・ジョンソン
იცხაკ ნავონი	イツハク・ナヴォン
ჰასდრუბალი (ჰამილკარ ბარკას სიძე)	ハスドルバル (ハミルカルの娘婿)
მუვათალი II	ムワタリ
ჯონ დეივისი	ジョン・デイヴィス (探検家)
ჰასდრუბალი	ハスドルバル
Misfits	ミスフィッツ
სტივ ფოსეტი	スティーヴ・フォセット
ჯაფარ ნიმეირი	モハメド・アン＝ヌメイリ
როლანდო ბიანკი	ロランド・ビアンキ
გასტონ მასპერო	ガストン・マスペロ
უოტ ტაილერი	ワット・タイラー
გერმანიის წლის ფეხბურთელი	年間最優秀サッカー選手賞 (ドイツ)
პეტრე მეუდაბნოე	隠者ピエール
ოგიუსტ მარიეტი	オギュスト・マリエット
პოლ ვიდალ დე ლა ბლაში	ポール・ヴィダル・ドゥ・ラ・ブラーシュ
ფელიპე კოუტინიო	フィリペ・コウチーニョ
უდეი ჰუსეინი	ウダイ・サッダーム・フセイン
ილარიონი (ალფეევი)	イラリオン (アルフェエフ)
დანიელ არანსუბია	ダニエル・アランスビア
შლიახტა	シュラフタ
ინდონეზიის ქალაქების სია	インドネシアの都市の一覧
ისააკ ზინგერი	アイザック・メリット・シンガー
ელიელ საარინენი	エリエル・サーリネン
რიკ უეიკმენი	リック・ウェイクマン
გიგანტური ირემი	オオツノシカ
ვიქტორ პას ესტენსორო	ビクトル・パス・エステンソロ
ვინს კლარკი	ヴィンス・クラーク
დენი გებიდონი	ダニー・ガビドン
გუნარ ასპლუნდი	グンナール・アスプルンド
გერი ბიუზი	ゲイリー・ビジー
მელვინ დაგლასი	メルヴィン・ダグラス
მაიკ ნიუელი	マイク・ニューウェル
კოდექს ალიმენტარიუსი	国際食品規格委員会
ენრიკე III	エンリケ3世 (カスティーリャ王)
თედორე აპრაქსინი	フョードル・アプラクシン
სანჩო IV	サンチョ4世 (カスティーリャ王)
ტომ შტარკე	トム・シュターケ
სარდონის ტექტონიკური ზონა	スイスの活発な地殻変動地域サルドナ
Stan (სიმღერა)	スタン (曲)
რიჩარდ პლანტაგენეტი	リチャード・プランタジネット (第3代ヨーク公)
რაჰიმ სტერლინგი	ラヒーム・スターリング
ალენ ჟირესი	アラン・ジレス
ნერდლინგენის ბრძოლა (1634)	ネルトリンゲンの戦い (1634年)
მოლდოვის პრეზიდენტი	モルドバの大統領
სვენ ნიკვისტი	スヴェン・ニクヴィスト
კოზიმო II მედიჩი	コジモ2世
ალფონსო V (არაგონი)	アルフォンソ5世 (アラゴン王)
ელ-აზიზია (ლიბია)	アジージーヤ
ყაზახეთის ქალაქები	カザフスタンの都市の一覧
პედრო III (არაგონი)	ペドロ3世 (アラゴン王)
აგათოკლე	シュラクサイのアガトクレス
ხუან II (არაგონი)	フアン2世 (アラゴン王)
შინგეტი	シンゲッティ
ჰენრი სტიუარტი (დარნლის ლორდი)	ヘンリー・ステュアート (ダーンリー卿)
მეტ სმითი	マット・スミス
ეჟი კუკუჩკა	イェジ・ククチカ
იდენ პარკი	イーデン・パーク
ანჯელო სეკი	アンジェロ・セッキ
ბეროსე ბაბილონელი	ベロッソス
გუსტავო სანტაოლალა	グスターボ・サンタオラヤ
აბდ-ორ-რაჰმან ჯამი	ジャーミー
БТР-152	BTR-152
სექცია (გეოლოგია)	世
ლეონიდ გაიდაი	レオニード・ガイダイ
ევროპის თასების მფლობელთა თასი 1980-1981	UEFAカップウィナーズカップ 1980-81
ვიაჩესლავ ტიხონოვი	ヴャチェスラフ・チーホノフ
ტერორისტული ორგანიზაციები	テロ組織と認定された組織の一覧
ზურაბ ჟვანია	ズラブ・ジワニア
კარლ მიკაელ ბელმანი	カール・ミカエル・ベルマン
ნიკოლოზ მიკლუხო-მაკლაი	ニコラス・ミクルーホ＝マクライ
ჰეროფილე	ヘロフィロス
ასა ბატერფილდი	エイサ・バターフィールド
კონსტანტინოს მიტროღლუ	コンスタンティノス・ミトログル
ჯეიმზ მაკფერსონი	ジェイムズ・マクファーソン (詩人)
კლაივ გრენჯერი	クライヴ・グレンジャー
ედვარდ პრესკოტი	エドワード・プレスコット
კლოდ ლუი ბერთოლე	クロード・ルイ・ベルトレー
შემცვლელი საქონელი	代替財
ანასტასიო სომოსა გარსია	アナスタシオ・ソモサ・ガルシア
მარკო ტარდელი	マルコ・タルデッリ
ნილს ლიდჰოლმი	ニルス・リードホルム
რობერტ ადამი	ロバート・アダム
ჰანს რუდოლფ გიგერი	H・R・ギーガー
ბობ ქასი	ボブ・クージー
რუდოლფ უილიამ სელდრეიერსი	ルドルフ・ジルドライヤー
ართურ დრიური	アーサー・ドルリー
სილვანუს ოლიმპიო	シルバヌス・オリンピオ
კარლო ემანუელე III (სარდინია)	カルロ・エマヌエーレ3世
ტეტრიკუს I	テトリクス1世
ოგიუსტ მარმონი	オーギュスト・マルモン
ვიტორიო ამადეო III (სარდინია)	ヴィットーリオ・アメデーオ3世
კარლო ფელიჩე I (სარდინია)	カルロ・フェリーチェ・ディ・サヴォイア
სტივ ჰაუ	スティーヴ・ハウ (ギタリスト)
რობერტ უაიეტი	ロバート・ワイアット
მეჰერ ბაბა	メヘル・バーバー
დაუდა კაირიბა ჯავარა	ダウダ・ジャワラ
ელ-მაჰალა-ელ-ქუბრა	エル＝マハッラ・エル＝コブラ
ხაიმე II (არაგონი)	ハイメ2世 (アラゴン王)
ჩარლი კაუფმანი	チャーリー・カウフマン
ვისენტე იანიეს პინსონი	ビセンテ・ヤーニェス・ピンソン
ალფონსო VII (კასტილია)	アルフォンソ7世 (カスティーリャ王)
ფრედი (ფეხბურთელი)	フレデリコ・シャヴェス・ゲデス
ჯოშუა ბელი	ジョシュア・ベル
ბილ ბრუფორდი	ビル・ブルーフォード
კოანი	孝安天皇
მაკი ფუმიჰიკო	槇文彦
კრისტიან დე პორტზამპარკი	クリスチャン・ド・ポルザンパルク
კოსიო	孝昭天皇
თომ მეინი	トム・メイン
პაულუ მენდეს და როშა	パウロ・メンデス・ダ・ロシャ
მათიას სინდელარი	マティアス・シンデラー
ანტოფალია	アントファジャ山
სერგი რადონეჟელი	ラドネジのセルギイ
