ཨ་ཧྥེ་རི་ཁ།	アフリカ
རྒྱུན་འཇགས་བརྗོད་ཚིག	熟語
རྒྱ་རིགས་ཀྱི་མཚན་ཉིད་རིག་པ།	中国哲学
༄༅།། གཟུགས་འགྱུར་བའི་གཏམ་རྒྱུད།	変身物語
ཨེ་དོའི་དུས་སྐབས།	江戸時代
ལིན་ཙེ་ཞིའུ།	林則徐
པར་ན་པཱ།	バルナバ
ཨ་ཡོ་དྷི་ཡ།	アヨーディヤー
སྒང་ཐོག	ガントク
རྡ་རམ་ས་ལ།	ダラムシャーラー
གཉན།	アルガリ
ཁོ་བོ་ཨ་བེ།	安部公房
སྨན་གཡོག	看護師
ལེབ་ཤྭ།	ヒラタケ
ལུའོ་དབྱང་།	洛陽市
ཨོ་ནོ་རེ་དོ་མི་ཡེ།	オノレ・ドーミエ
སྒར་ཉེའི་ཟློས་གར་ཁང་།	ガルニエ宮
ཁུ་ནུ་རི་རྒྱུད།	崑崙山脈
བོད་མི།	チベット系民族
ཧ་ནུ་མན།	ハヌマーン
རི་གྷོ་བྷེར་ཏ་མེན་ཆུ་ཏུམ།	リゴベルタ・メンチュウ
ཇིང་ཏ་ལིང་ཏ།	ブランコ
མིག་སེར།	妬み
རོ་ཌེ་ཛི།	ロデーズ
ཁོར་ཡུག་རིག་པ།	環境学
TED	TED (カンファレンス)
རོ་ཀ་ཧྥོར། (ཆུར་བ།)	ロックフォール (チーズ)
སྐེ་རྒྱལ།	ネックレス
ཁོ་རོར།	コロール (都市)
ཧའེ་ཁོའུ་གྲོང་ཁྱེར།	海口市
ཐག་རྒུལ་འདྲ་གཟུགས།	マリオネット
ཨི་ནུའི་ཏི་མི།	イヌイット
མོ་གཅུས། (ལག་ཆ།)	ナット
སྐེ་དཀྲིས།	襟巻き
ལེ་ཉིན་གྱི་བང་སོ།	レーニン廟
བླ་མ།	ラマ (チベット)
དོ་མེ་ནི་ཀོ་གིར་ལན་ད་ཡོ།	ドメニコ・ギルランダイオ
དཀྱིལ་འཁོར།	曼荼羅
མིག་མངས།	シャンチー
ཨོ་ཝུན་ཁེ་མི།	エヴェンキ
ཁྱིམ་ཐབ་མེད་པར་གནས་པའི་མི་ཚེ།	不淫
ནའེ་ཐི།	ネイト (エジプト神話)
ཀོ་མེ་དི་ཡ་དེལ་ཨར་ཏེ།	コンメディア・デッラルテ
ཨུ་སུག་རིང་མོ།	ストッキング
གདུགས་མཆོང་ལུས་རྩེད།	スカイダイビング
མི་ཡ་མོ་ཏོ་མུ་ས་ཤི།	宮本武蔵
འབྲུག་མིག	リュウガン
རྒྱལ་བ་བྱམས་པ།	弥勒菩薩
ར་རྒྱ།	ターキン
སིལ་རྔ།	タンブリン
སྤྱན་རས་གཟིགས།	聖観音
རྒས་མེད་ཚེ་རིང་།	不老不死
དགེ་འདུན་དཀོན་མཆོག	僧伽
རི་བོ་ཨ་ཝུན་ཏི་ཉི།	アヴェンティーノ
སྒྲིག་མཁན།	編集
ས་རཱ།	サラ
འཕང་འབྲས།	クコ
བྲག་གཡབ་རྫོང་།	ダクヤプ県
གྲ་ནང་རྫོང་།	ダナン県
ཀྲང་ཧྥེ།	張飛
ཀྲང་ཧེང་།	張衡 (科学者)
ཀྲའོ་མེང་ཀྲའོ།	趙孟フ
འབྲོང་པ་རྫོང་།	ドンパ県
ཀྲུའུ་ཀོ་ལིའང་།	諸葛亮
ཞུས་ཀྲོའུ།	株洲市
ཨོ་ནོ་ནོ་ཁོ་མ་ཆི།	小野小町
འཛམ་གླིང་རྒྱལ་རབས་	世界の歴史
ཡ་ཕེད།	ヤペテ
པོལ་ཝ་ལེ་རི།	ポール・ヴァレリー
རི་བོ་ཕ་ལ་ཏི་ཉི།	パラティーノ
ལ་དྭགས	ラダック
སྤྱི་མཐུན་རྒྱལ་ཁབ་ཨང་ལྔ་པ།	フランス第五共和政
ཤེམ།	セム
མཚོ་སྔོན	青海湖
ལག་གདུབ།	ブレスレット
སྤྱི་ཚོགས་རང་མོས་རེང་ལུགས།	社会自由主義
སུར་པན།	トウガラシ属
པོ་ཐང་མ།	ポー平原
ཁར་པེན་ཏྲ།	カルパントラ
ཇ་དམར།	紅茶
ལི་ཧྲང་དབྱིན།	李商隠
སེན་གོའི་དུས་མཚམས་	戦国時代 (日本)
ཚའོ་ཚའོ།	曹操
ཚི་ཕོ་རཱ།	チッポラ
ར་བཟི་བ།	急性アルコール中毒
སྐར་རེའི་འཁོར་ཚད།	Rpm (単位)
ཨེ་ལི་ཤ།	エリシャ
ཨ་ཌོལ་ཧྥོ་པེ་རེ་ཛུ།	アドルフォ・ペレス・エスキベル
ཤེད་འཕྲུལ་འགྲོས་ཁྲ།	タコメーター
བསིལ་ལྦུ།	スプライト (炭酸飲料)
ཅཱོན་བུ་རི་ཞིང་ཆེན།	チョンブリー県
མཚན་སྙན།	名誉
ཝུའུ་དབྱི་རི་བོ།	武夷山
ལུས་བསྲུངས་མཐའ་འཁྱོལ།	純潔
རི་བོ་ཁུའེ་ལི་ན་ཨེར།	クイリナーレ
དཀོན་མཆོག་གསུམ།	三宝
ཐག་སོག	チェーンソー
ཉ་རྡོ་གཟན་ཐོད་ཞེང་ཅན།	シュモクザメ
བསམ་པའི་དགའ་རོགས།	プラトニック・ラブ
གོར་གོན་ཟོ་ལ། (ཆུར་བ།)	ゴルゴンゾーラ
ཕུག་རོན།	鳩
སི་རོ་སི།	シロス島
རི་བོ་ཨའེ་སི་ཁུའེ་ལི་ཉི།	エスクイリーノ
ཇོ་ཌེ་ཝེ་ལེམ།	ジョディ・ウィリアムズ
ཡིན་ཁྲོའོན་གྲོང་ཁྱེར།	銀川市
ཀ་ཡ་ཕཱ།	カイアファ
མ་ཡ་མིའི་ཡི་གེ	マヤ文字
འཕར་ལེན།	ショックアブソーバー
ཨོ་སེལ་ཏཱ་མི་ཝིར།	オセルタミビル
པོ་ཨ་ཟི།	ボアズ
རོ་ནིན།	浪人
ཧྥ་རན་སི་ཡི་གྲོང་ཁྱེར་ཆེན་པོ།	フランス・メトロポリテーヌ
ཐི་མོ་ཐེ།	テモテ
མེ་ཏོག་བྲག་སྤོས།	ツバキ属
སེམས་ཁམས་རིག་པ་བ།	心理学者
ཧེ་ནོག	エノク
ཞི་ལིན།	シリング
སྤྱོད་ལམ་སྒྱུ་རྩལ་ཐོག	パフォーマンスアート
དྲིལ་ཁྲུ།	メジャー (測定機器)
ཁའོ་ཕན།	コパン
སྦུལ་ཆེན།	ボアコンストリクター
༄༅།། ས་ག་ཟླ་བ།	ウェーサーカ祭
ཐའེ་ཧྲན་རི་བོ།	泰山
སེ་བ། (གསུང་རབ།)	シバ王国
ཞུན་ཙི།	荀子
ཅིའུ་ཅང་།	九江市
ཏུང་ཐིང་མཚེའུ།	洞庭湖
རི་བོ་ཝེ་སྨི་ན་ཨེར།	ヴィミナーレ
ལུ་ཡི་སེ་མི་ཤེལ།	ルイーズ・ミシェル
ཏུང་མི།	トン族
རི་བོ་ཁ་ཨའེ་ལི་ཨན།	チェリオ (イタリア)
བྱང་སྣེའི་སྤྱང་ཀི	ホッキョクオオカミ
རི་ཀོ་ཏ། (ཆུར་བ།)	リコッタ
ཏ་ཝོར་མི།	ダウール族
མཛོ་སྒང་རྫོང་།	ゾガン県
མཛོད་དགེ་རྫོང༌།	若爾蓋県
སྒྲ་གཅན་འཛིན།	羅ご羅
ཚ་ལུ་མའི་ཁུ་བ།	オレンジジュース
མི་རྟག་པ།	無常
སི་མོ་ནེ་མར་ཏི་ནི།	シモーネ・マルティーニ
རྐྱང་།	チベットノロバ
སྦྲེལ་མདའ།	コネクティングロッド
འདོད་ཕྱོགས་ཀྱི་ཚོང་ཁང་།	アダルトグッズショップ
ཡན་ནིག་ནོ་ཨ།	ヤニック・ノア
ཀོན་ཡུས།	関羽
རུས་སྤལ་	カメ
རྒྱལ་པོ་ཟས་གཙང་།	浄飯王
ཝུའུ་ཁྲེང་ཨེན།	呉承恩
གླ་བ།	ジャコウジカ
གངས་རིན་པོ་ཆེ།	カイラス山
ཚའེ་ལུན།	蔡倫
ཁུ་རའེ།	キュリー
ཧམ།	ハム (聖書)
པདྨ་འབྱུང་གནས།	パドマサンバヴァ
ཇ་ཝུའུ་ལུང་།	烏龍茶
ཧྲའོ་ལིན་དགོན་པ།	嵩山少林寺
ས་ལོ་མེ།	サロメ (イエスの弟子)
ཆེང་མྰེ་ཞིང་ཆེན།	チエンマイ県
འགྲུལ་བྱི།	レミング
ར་ལྦ་ན།	ラーヴァナ
སོང་ཁ་ལ་ཞིང་ཆེན།	ソンクラー県
ཨོ་ལི་ཝེར་.རྒོ་རྡི་སིམ་སི།	オリヴァー・ゴールドスミス
འོད་དཔག་མེད།	阿弥陀如来
ས་ཊུན་ཞིང་ཆེན།	サトゥーン県
ཆེང་རཱེ་ཞིང་ཆེན།	チエンラーイ県
པ་ཊ་ནི་ཞིང་ཆེན།	パッターニー県
ར་ནོང་ཞིང་ཆེན།	ラノーン県
༩༠ (གྲངས་ཀ།)	90
མེ་ཏོག་ཧོང་ཀྲང་།	アンスリウム属
ན་ཁཱོན་ས་ཝན་ཞིང་ཆེན།	ナコーンサワン県
རྣམ་པར་སྣང་མཛད།	大日如来
སུ་ར་ཊི་ཐ་ནི་ཞིང་ཆེན།	スラートターニー県
ལམ་པང་ཞིང་ཆེན།	ラムパーン県
ཨོཾ་མ་ཎི་པ་དྨེ་ཧཱུྃ།	六字大明呪
༥༨ (གྲངས་ཀ།)	58
འབྲས་སྤུངས་དགོན།	デプン寺
དི་ནོ་བུ་ཟ་ཏི།	ディーノ・ブッツァーティ
འབྲ་གོ་དམར་པོ།	ナツメ
བུན་ར་ཀུ།	文楽
༧༢ (གྲངས་ཀ།)	72
ཐག་མཆོང་།	縄跳び
སྲམ།	コツメカワウソ
ན་ཁཱོན་སི་ཐམ་མ་ར་ཊི་ཞིང་ཆེན།	ナコーンシータンマラート県
ཅུམ་ཕཱོན་ཞིང་ཆེན།	チュムポーン県
པེ་སོ།	ペソ
ནཱན་ཞིང་ཆེན།	ナーン県
ཕེ་ཊི་ཅ་བུ་རི་ཞིང་ཆེན།	ペッチャブリー県
སན་ཇོ་སེ།རྒྱ་ནག	サンホセ・チナンテキリア
ཁམ་ནག་གི	マルーン (色)
ལིའུ་པེ།	劉備
བུ་མོ་རའོ་ཟི།	ルーシー (アウストラロピテクス)
༄༅།། ས་ཐེར་ཁོན།	サテュリコン
ཞིག་ཀྲུའུ།	新竹市
ཆུ་སྦུག་བཟོ་གྲ།	配管工
ངང་པ།	ガチョウ
མིང་གི་གོ་རིམ།	語順
ཁྲེ།	雑穀
ལུའོ་ཀོན་ཀྲུང་།	羅貫中
ན་ཁཱོན་ར་ཊི་ཅ་སི་མ་ཞིང་ཆེན།	ナコーンラーチャシーマー県
གཙོད།	チルー
སྦུག་ཚལ།	ヨウサイ
པང་གདན།	エプロン
ལུང་མོན་བྲག་ཕུག	龍門洞窟
ཅའི་ཡ་ཕུམ་ཞིང་ཆེན།	チャイヤプーム県
ལོའི་ཞིང་ཆེན།	ルーイ県
པའེ་མི།	ペー族
ཀཱན་ཅ་ན་བུ་རི་ཞིང་ཆེན།	カーンチャナブリー県
ཕི་ཊི་ཙ་ནུ་ལོཀ་ཞིང་ཆེན།	ピッサヌローク県
ཨུ་སུག་སྲབ་མོ།	パンティストッキング
ཕ་སི་ཁལ་ལ་མི།	パスカル・ラミー
༩༢ (གྲངས་ཀ།)	92
༨༤ (གྲངས་ཀ།)	84
༩༦ (གྲངས་ཀ།)	96
ཅང་ཝེ།	姜維
༤༣ (གྲངས་ཀ།)	43
ས་ཀའེ་ཨོ་སུ་གི	大杉栄
ཡུ་དཱ། (གསུང་རབ།)	ユダ (ヤコブの子)
༨༧ (གྲངས་ཀ།)	87
ཡ་ཀོབ།	ヤコブ (旧約聖書)
༥༤ (གྲངས་ཀ།)	54
ལོ་ལོ་ཧྥེ་ར་རི།	ロロ・フェラーリ
ཨ་ལན་ཟླ་བ་སྒྲོལ་མ།	Alan
ལི་མི།	リー族
ཕྱོགས་མདའ།	ドライブシャフト
ཀེན་ཤིན་ཨུའེ་སུ་གི	上杉謙信
པི་ས་ནེལ་ལོ།	ピサネロ
ནུའུ་ཨར་ཧ་ཁྲི།	ヌルハチ
དབྱང་མེ།	ヤマモモ
ཏཱ་མིན་རོས་སེ།	ダミアン・ライス
ཁོ་བ་ཡ་ཤི་ཨི་ས།	小林一茶
རོའོ་པེར་ཐ་འཛོ་ལི་ཀ།	ロバート・ゼーリック
པའེ་ཅུས་དབྱི།	白居易
སུན་ཆོན།	孫権
ཆུས་ཡོན།	屈原
པར་ཨབ་པཱ།	バラバ
ཝང་ཝེ་ཡི། (ཐང་རྒྱལ་རབས།)	王維
ཏུན་ཧོང་གྲོང་ཁྱེར།	敦煌市
དགེ་ལུགས་པ།	ゲルク派
སན་ཡ་གྲོང་ཁྱེར།	三亜市
དོ་མེ་ནི་ཀི་ནོ།	ドメニキーノ
སྲོང་བཙན་སྒམ་པོ།	ソンツェン・ガンポ
མི་ཧྥུ།	米フツ
ནེར་ཁུ་སི།	ネアルコス
ཐེ་ཏུ།	テトス
བཟེ་རུ་པ་པེལ། (གསུང་རབ།)	ゼルバベル
ཤཱ་རིའི་བུ།	舎利弗
ཇོ་བོ་རྗོ།	アティーシャ
པ་ར་ཅིན་བུ་རི་ཞིང་ཆེན།	プラーチーンブリー県
ཨབ་ཡཱ་ཐར།	アビアタル
རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ་	ツォンカパ
བལ་ཏུ་སི།	バルテュス
བཙན་བྱོལ་བོད་གཞུང་།	ガンデンポタン
ཅཱན་ཐ་བུ་རི་ཞིང་ཆེན།	チャンタブリー県
ནོང་ཁའི་ཞིང་ཆེན།	ノーンカーイ県
མཐུད་རྒྱུགས།	リレー走
རྡོ་བཟོ་བ།	石工
དབུས་གཙང་	ウー・ツァン
ཉ་པ།	漁師
ཏུའུ་མུའུ།	杜牧
ཨོ་དབྱང་ཞིའུ།	欧陽脩
གློག་བརྙན་པར་ཆས།	映画用カメラ
པེ་ཅིང་གི་ཁྲང་ཞི།	京劇
གསེར་མོ།	キンケイ
མུཀ་ད་ཧཱན་ཞིང་ཆེན།	ムックダーハーン県
རེ་ཡོང་ཞིང་ཆེན།	ラヨーン県
གསོར་འབིགས།	ドリル (工具)
འོད་སྲུང་།	大迦葉
ཁྲུར་སི་ཐན་དང་ཨེ་སོལ་རྡེ།	トリスタンとイゾルデ
ས་ལར་མི།	サラール族
མི་གཡོ་བ།	不動明王
པའོ་ཀུང་།	包拯
པང་ཏ།	ポンド (通貨)
༨༨ (གྲངས་ཀ།)	88
དང་པོའི་སངས་རྒྱས།	法身普賢
ཇི་ཡོ་ཝ་ནི་བོལ་དི་ནི།	ジョヴァンニ・ボルディーニ
ས་སེ་ཏ།	サセッタ
ཨེ་ལི། (གསུང་རབ།)	エリ (祭司)
ཁྲི་སྲོང་ལྡེ་བཙན།	ティソン・デツェン
ཆེད་ཚན།	短期大学
ཆུ་ཤུར་རྫོང་	チュシュル県
ཡའོ་མི།	ヤオ族
ཡང་ཧྲང་ཁུན།	楊尚昆
ཝང་ཞི་ཀྲི།	王羲之
མོའུ་འགལ་བུ།	目連
རྗེ་བཙུན་ཐོགས་མེད།	無著
ཏོའུ་ཨེར་ཏུན།	ドルゴン
ཨུ་ཌོན་ཐ་ནི་ཞིང་ཆེན།	ウドーンターニー県
ཧྥན་ཀྲུང་ཡན།	范仲淹
ས་ཀཱོན་ན་ཁཱོན་ཞིང་ཆེན།	サコンナコーン県
འབའ་ཐང་།	巴塘県
ཨོས་ཏྲལིཨན་ཕྱི་རྒྱལ་ཞབས་ཞུ་ཁང་	オーストリア海外奉仕
ལྷུན་གྲུབ་རྫོང་།	ルンドゥプ県
ལྗི་བ།	ノミ
དབུགས་སྒོའི་རྡེག་ངར།	ロッカーアーム
༄༅།། མད་ཐཱ་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	マタイによる福音書
ཨག་རི་ནིའོ།	アグリニオ
བེང་ག་ལི་ཡི་མི།	ベンガル人
པེ་ཅིང་གི་བྱ་གག་སྲེག་མ།	北京ダック
ནུབ་ཕྱོགས་རྒྱལ་ཁབ་ཀྱི་སྒྱུ་རྩལ།	西洋美術史
ནམ་མཁའི་སྙིང་པོ།	虚空蔵菩薩
ཞུས་ཀོང་ཆི།	徐光啓
ཨ་མདོ	アムド
༨༥ (གྲངས་ཀ།)	85
མུ་མེན།	菫色
ཁ་ཀུབ།	ツルレイシ
ཟིང་སྐྱ །	ピンク
༢༧ (གྲངས་ཀ།)	27
༣༥ (གྲངས་ཀ།)	35
༦༤ (གྲངས་ཀ།)	64
༩༩ (གྲངས་ཀ།)	99
༡༠༡ (གྲངས་ཀ།)	101
ཨ་མདོ་རྫོང་།	アムド県
བེན་ཡ་མིན། (གསུང་རབ།)	ベニヤミン
དབྱི་མི།	イ族
ཧོང་ཧོ་ཐོག་ཁང་།	黄鶴楼
ཧན་ཧུང།	韓紅
ལྷ་ས་དེ་སེ་ལ།	ラサ・デ・セラ
ཡོ་ས་ནོ་ཨ་ཁི་ཀོ།	与謝野晶子
ཨེ་ཝ་ཇོའོ་ལི།	エヴァ・ジョリ
ལི་ཆིང་ཀྲའོ།	李清照
པའེ་ལིང་།	バイ・リン
དབང་ཧྥེའི།	王菲
གྲགས་འཛིན་མ།	耶輸陀羅
ཨིག་ཁྱུ་སོ་ཇུན།	一休宗純
ཨ་རའི་ཧ་ཀུ་སེ་གི	新井白石
ན་ཁཱོན་ཕ་ནོམ་ཞིང་ཆེན།	ナコーンパノム県
བཀའ་བརྒྱུད་པ།	カギュ派
འཇམ་དཔལ་དབྱངས།	文殊菩薩
དཀྱིལ་ཀྲུང་།	結跏趺坐
ཧ་ཉི་མི།	ハニ族
ཧ་མི་ཀུབ།	カンタロープ
ནུབ་ཕྱོགས་རྒྱལ་ཁབ་ཀྱི་རིག་གནས།	西洋文明
ཤ་རི་ཡ།	シャリーア
རྡུལ་ཕྲན་སྤུས་ཚད་རྩི་གཞི།	統一原子質量単位
རི་མོ་བ།	美術家
ཝལ་མར།	ウォルマート
མཆོངས་རྒྱུག	パルクール
བོད་བརྒྱུད་ནང་བསྟན།	チベット仏教
ཇ་ལྗང་།	緑茶
ལུ་མེན།	ルーメン
སྲན་ལྗང་།	リョクトウ
སྐད་ཀྱི་མཚན་ཉིད་རིག་པ།	言語哲学
མགོ་མཁྲེགས་གཞུང་ལུག	キュニコス派
བདག་མ་མཆིས་པ།	無我
དེབ་འཛེར་ཆས།	ステープラー
ས་མུ་ཨེལ་ཝལ་ཏོན།	サム・ウォルトン
ཁ་ཁུ་སིམ་པོ།	無音
ཨེ་པེར།	エベル (聖書)
ལམ་སྒྲོན།	街灯
འབར་མའི་མི།	ビルマ族
ཧོ་ཀྲེ་མི།	ナナイ
ཝེ་ཟོང་ལ་རོ་མེ་ནེ།	ヴェゾン＝ラ＝ロメーヌ
མཚོ་བྱང་བོད་རིགས་རང་སྐྱོང་ཁུལ་	海北チベット族自治州
ཁོ་ལོ་ཉི་ཡ། (མའི་ཀོ་རོ་ནེ་ཤི་ཡ།)	コロニア (ポンペイ州)
ཡན་ཨན།	延安市
ང་ཕོད་ངག་དབང་འཇིགས་མེད་	ンガプー・ンガワン・ジクメ
ཉིང་ཁྲི་ས་རྫོང་།	ニンティ県
བོད་ཀྱི་རྒྱལ་རབས་	チベットの歴史
༥༦ (གྲངས་ཀ།)	56
འཛུལ་སྒོ།	マンホール
༨༩ (གྲངས་ཀ།)	89
སྨར་ཁམས་རྫོང་།	マルカム県
མཁར་སྔོན་གྲོང་ཁྱེར།	フフホト市
དཀར་ཆག་གི་ཨང་གྲངས།	数に関する記事の一覧
༧༦ (གྲངས་ཀ།)	76
༢༩ (གྲངས་ཀ།)	29
ཆོས་རྒྱམ་དྲུང་པ་རིན་པོ་ཆེ།	チョギャム・トゥルンパ
དན། (གསུང་རབ།)	ダン (ヤコブの子)
ཤུ་སུའི་ཀོ་ཏོ་ཀུ།	幸徳秋水
དར་མ་འུ་དུམ་བཙན།	ラン・ダルマ
ཕོགས་ཀྱི་གླང་པོ།	陳那
འཕགས་པའི་ལྷ།	提婆 (僧)
ཧ་ཡ་ཤི་ར་ཟན།	林羅山
ཧོང་ཀའེ།	黄蓋
གླང་རྔ།	ステムレタス
མངའ་རིས་ས་ཁུལ།	ガリ地区
ཐེ་རཱ།	テラ (聖書)
༧༡ (གྲངས་ཀ།)	71
༢༨ (གྲངས་ཀ།)	28
ཐུའུ་ཅ་མི།	トゥチャ族
༥༩ (གྲངས་ཀ།)	59
ཀོ་རི་ཡའི་ནང་ཆོས།	朝鮮の仏教
༦༢ (གྲངས་ཀ།)	62
༩༥ (གྲངས་ཀ།)	95
དོན་གྲུབ།	不空成就如来
༄༅།། བར་དོ་ཐོས་གྲོལ།	チベット死者の書
སི་ནོ་པེ། (ཏུར་ཀི།)	スィノプ
འཇོལ་མོ།	モリツグミ
༣༨ (གྲངས་ཀ།)	38
༧༥ (གྲངས་ཀ།)	75
ཡུལ་ཤུལ་བོད་རིགས་རང་སྐྱོང་ཁུལ།	玉樹チベット族自治州
རི་པིན་གྱི་སྒྱུ་རྩལ།	日本美術史
དམར་སྨུག་གི	モーブ (色)
ས་ཡི་སྙིང་པོ།	地蔵菩薩
ལག་སྒག	パーキングブレーキ
ཕུན་ཚོགས་དབང་རྒྱལ་	プンツォク・ワンギャル
མལ་གྲོ་གུང་དཀར་རྫོང་།	メルド・グンカル県
ཐ་བུ་ལོན།	ゼブルン
ཏུའུ་ལུང་མི།	トーロン族
ཤུ་ཟོ་ཀུ་ཀི།	九鬼周造
གདང་ལ་།	タンラ山脈
རིན་ཆེན་སྡེ་	般若心経
ཆིག་རྡང་།	鉄棒
རུ་བེན། (གསུང་རབ།)	ルベン
༤༥ (གྲངས་ཀ།)	45
ནག་ཉེས།	罪悪感
ཨུ་བཱོན་ར་ཊི་ཅ་ཐ་ནི་ཞིང་ཆེན།	ウボンラーチャターニー県
བོད་ཡིག་གི་ཆ་འཕྲིན	インド考古調査局
མེ་གསོད་ཆུ་སྒོ།	消火栓
བོད་ཀྱི་ལོ་ཐོ།	チベット暦
ཧིན་ཧྲན་རི་བོ།	衡山
༦༥ (གྲངས་ཀ།)	65
ས་སྐྱ་པ།	サキャ派
ཡི་ས་གར།	イッサカル
སྤྲུལ་སྐུ།	化身ラマ
ཏ་ཙུའུ་རྡོ་བརྐོས།	大足石刻
གནམ་མཚོ་ཕྱུག་མོ།	ナムツォ
ཀུབ་དཀར།	トウガン
བཀྲ་ཤིས་སྒང་གི་ས་ཁོངས།	タシガン県
ཧྥུ་ཇི་ཝ་ར་སེའི་ཀཱ།	藤原惺窩
རིན་སྤུངས་རྫོང་།	リンプン県
༦༨ (གྲངས་ཀ།)	68
འཀོར་ལོ།	法輪
སྒྱུ་རྩལ་གྱི་འགྲེམས་སྟོན།	展覧会
རྭ་སྒྲེང་དགོན།	レティン寺
ཨི་སཱག	イサク
པུའུ་དབྱི་མི།	プイ族
༩༧ (གྲངས་ཀ།)	97
མ་ཆོ་པེ་ཆོ།	マチュ・ピチュ
སྤོས་ཤེལ་མདོག་གི	橙色
ཨེ་ནོ་ཟི། (གསུང་རབ།)	エノス
༩༤ (གྲངས་ཀ།)	94
པི་པི་ལིང་།	ヒハツ
ཆུ་གསུམ་རྫོང་།	チュスム県
༥༥ (གྲངས་ཀ།)	55
༩༡ (གྲངས་ཀ།)	91
ཉིས་རྡང་།	平行棒
རྡོ་རྗེ།	金剛杵
༨༠ (གྲངས་ཀ།)	80
༢༡ (གྲངས་ཀ།)	21
༢༢ (གྲངས་ཀ།)	22
༧༠ (གྲངས་ཀ།)	70
༥༠ (གྲངས་ཀ།)	50
༤༡ (གྲངས་ཀ།)	41
༣༤ (གྲངས་ཀ།)	34
༣༣ (གྲངས་ཀ།)	33
༤༧ (གྲངས་ཀ།)	47
༣༡ (གྲངས་ཀ།)	31
༣༢ (གྲངས་ཀ།)	32
༤༤ (གྲངས་ཀ།)	44
༤༦ (གྲངས་ཀ།)	46
༤༩ (གྲངས་ཀ།)	49
༤༨ (གྲངས་ཀ།)	48
༣༧ (གྲངས་ཀ།)	37
༣༩ (གྲངས་ཀ།)	39
༣༦ (གྲངས་ཀ།)	36
༥༣ (གྲངས་ཀ།)	53
༨༡ (གྲངས་ཀ།)	81
༦༦ (གྲངས་ཀ།)	66
༦༣ (གྲངས་ཀ།)	63
༥༢ (གྲངས་ཀ།)	52
༦༩ (གྲངས་ཀ།)	69
༧༣ (གྲངས་ཀ།)	73
༥༧ (གྲངས་ཀ།)	57
༧༤ (གྲངས་ཀ།)	74
༧༩ (གྲངས་ཀ།)	79
༦༧ (གྲངས་ཀ།)	67
༧༧ (གྲངས་ཀ།)	77
༨༣ (གྲངས་ཀ།)	83
༨༢ (གྲངས་ཀ།)	82
༨༦ (གྲངས་ཀ།)	86
༧༨ (གྲངས་ཀ།)	78
༩༨ (གྲངས་ཀ།)	98
ལི་ཁུའེ།	李克
ཝང་ཡིས་རོང་།	王懿栄
ཡུས་ཧྲན་རི་བོ།	玉山山脈
ཀའོ་ཆིའུ།	高キュウ
ཉི་ཟླ་མཚོ་མོ།	日月潭
སུང་ཡིང་ཞིང་།	宋応星
རི་བོ་པོ་ཏ་ལ།	普陀山
སུང་ཅང་།	宋江
ལི་ཁྲེང་།	李成
ལིའི་ཀུང་ལིན།	李公麟
ཨ་ལེ་ཧྲན་རི་བོ།	阿里山山脈
ལིའུ་ཀུང་ཆོན།	柳公権
སྤྲེའུ་ས་ལག	ハヌマンラングール
སྡུག་བསྔལ་བརྒྱད།	苦 (仏教)
བརྒྱངས་དཀྲོལ།	古筝
པི་ཝང་།	二胡
ར་རྒོད།	ヒマラヤタール
ཤྭ་བ་མཆུ་དཀར།	クチジロジカ
སྟེང་ཆེན་རྫོང་།	テンチェン県
ཀུའོ་ཧྲོའུ་ཅིང་།	郭守敬
ཧྲེ་མི།	シェ族
ཇོ་ཁང་།	トゥルナン寺
ཉི་ཧུང་གི་ནང་ཆོས།	日本の仏教
༄༅།། ཏིན་ཏིན་གྱི་དཔའ་རྩལ།	タンタンの冒険
ས་དགའ་རྫོང་།	サガ県
སྣ་དཀར་རྩེ་རྫོང་།	ナンカルツェ県
འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།	多羅菩薩
ཀརྨ་པ་	カルマパ
ཏུང་ཞང་མི།	ドンシャン族
ལ་ཧུའུ་མི།	ラフ族
ཤེར་ཕྱིན།	般若経
ལུས་འབྲེལ་གྱི་ཕོག་ཐུག་བཟོ་བ།	セクシャルハラスメント
ཨ་ཝེ་རོང་གཙང་པོ།	アヴェロン川
བྱིའུ་སེར།	キイロアメリカムシクイ
མི་འཁྲུགས་པ།	阿しゅく如来
རྒྱ་ནག་གི་སྒྱུ་རྩལ།	中国美術
ཡན་ཀྲེན་ཆིན།	顔真卿
མཚོ་གཉིས་དོན་གཅོད་ཁྲུའུ།	双湖県
འདམ་གཞུང་རྫོང་།	ダムシュン県
༦༡ (གྲངས་ཀ།)	61
ལྷོ་ཁ་ས་ཁུལ།	山南地区
ཆབ་མདོ་རྫོང་།	カルプ区
པ་སྣམ་རྫོང་།	パナム県
ཁོར་ཡུག་སྒྱུ་རྩལ།	環境アート
ལྡུམ་སྒོང་ཁུ་བ།	トマトジュース
དཔལ་མགོན་རྫོང་།	パングン県
དཔལ་འབར་རྫོང་།	バンバル県
འབར་ཁམས་	馬爾康県
དཔའ་ཤོད་རྫོང་།	パシュー県
ཧྲིན་ཐོ།	神道
༤༢ (གྲངས་ཀ།)	42
