អាហ្វ្រិក	アフリカ
ចំណាត់ថ្នាក់ក្រុម:Flag templates	Category:旗のテンプレート
ទំព័រគំរូ:((	Template:((
ទំព័រគំរូ:))	Template:))
ទំព័រគំរូ:=	Template:=
ទំព័រគំរូ:Navbar	Template:Tnavbar
ទំព័រគំរូ:Loop	Template:Loop
ទំព័រគំរូ:Void	Template:Void
ទំព័រគំរូ:Key press	Template:Keypress
ទំព័រគំរូ:Okina	Template:オキナ
ទំព័រគំរូ:Transclude	Template:Transclude
ទំព័រគំរូ:Sc	Template:Smallcaps
ទំព័រគំរូ:Small	Template:Small
ទំព័រគំរូ:Clear	Template:Clear
ទំព័រគំរូ:Col-break	Template:Col-break
ទំព័រគំរូ:Col-begin	Template:Col-begin
ទំព័រគំរូ:Col-end	Template:Col-end
ទំព័រគំរូ:Trim	Template:Str trim
ទំព័រគំរូ:Color	Template:Color
ទំព័រគំរូ:Nowrap	Template:Nowrap
ទំព័រគំរូ:Bots	Template:Bots
ទំព័រគំរូ:Abbr	Template:Abbr
វិគីភីឌា:វិគីគម្រោង ទំព័រគំរូ	プロジェクト:テンプレート
ទ្រឹស្តីបទមុំក្រៅ	外角定理
ចំណាត់ថ្នាក់ក្រុម:ខ្សែកោង	Category:曲線
ទំព័រគំរូ:Babel	Template:Babel
ទំព័រគំរូ:Commons	Template:Commons
ទំព័រគំរូ:Link GA	Template:Link GA
ទំព័រគំរូ:Reflist	Template:Reflist
ទំព័រគំរូ:NavPeriodicTable	Template:NavPeriodicTable
វិគីភីឌា:Citing sources	Wikipedia:出典を明記する
ទំព័រគំរូ:អត្ថបទខ្លីមិនពេញលេញ	Template:Stub
ទំព័រគំរូ:User af-1	Template:User af-1
ទំព័រគំរូ:User als-1	Template:User als-1
ទំព័រគំរូ:User az	Template:User az
ទំព័រគំរូ:See also	Template:See also
ទំព័រគំរូ:User de	Template:User de
ទំព័រគំរូ:User de-1	Template:User de-1
ទំព័រគំរូ:User et-1	Template:User et-1
ទំព័រគំរូ:User el	Template:User el
ទំព័រគំរូ:User es	Template:User es
ទំព័រគំរូ:User de-3	Template:User de-3
ទំព័រគំរូ:User en-3	Template:User en-3
ទំព័រគំរូ:User en-1	Template:User en-1
ទំព័រគំរូ:User en-2	Template:User en-2
ទំព័រគំរូ:User en-4	Template:User en-4
ទំព័រគំរូ:User fi	Template:User fi
ទំព័រគំរូ:User en-0	Template:User en-0
ទំព័រគំរូ:User es-4	Template:User es-4
ទំព័រគំរូ:User en	Template:User en
ទំព័រគំរូ:User de-2	Template:User de-2
ទំព័រគំរូ:User es-1	Template:User es-1
ទំព័រគំរូ:User fa	Template:User fa
ទំព័រគំរូ:User fr-1	Template:User fr-1
ទំព័រគំរូ:User id-3	Template:User id-3
ទំព័រគំរូ:User it-3	Template:User it-3
ទំព័រគំរូ:User tr-2	Template:User tr-2
ទំព័រគំរូ:User fr-2	Template:User fr-2
ទំព័រគំរូ:User tr	Template:User tr
ទំព័រគំរូ:User ja	Template:User ja
ទំព័រគំរូ:User ja-1	Template:User ja-1
ទំព័រគំរូ:User it-1	Template:User it-1
ទំព័រគំរូ:User fr	Template:User fr
ទំព័រគំរូ:Location map/Info	Template:Location map/Info
ចំណាត់ថ្នាក់ក្រុម:Navigational boxes	Category:ナビゲーションテンプレート
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសតាជីគីស្ថាន	Template:Country data Tajikistan
ចំណាត់ថ្នាក់ក្រុម:អាស៊ី	Category:アジア
ចំណាត់ថ្នាក់ក្រុម:User uk-N	Category:User uk-N
ទំព័រគំរូ:Intricate template	Template:複雑なテンプレート
ទំព័រគំរូ:Lang-ja	Template:Lang-ja
ទំព័រគំរូ:Football squad player	Template:サッカークラブチーム選手一覧 開始
ទំព័រគំរូ:ទិន្នន័យប្រទេស គុយវ៉ែត	Template:Country data Kuwait
ទំព័រគំរូ:Mod	Template:Mod
ទំព័រគំរូ:Now Commons	Template:NowCommons
ទំព័រគំរូ:User it	Template:User it
ទំព័រគំរូ:User uk	Template:User uk
ទំព័រគំរូ:User es-2	Template:User es-2
ទំព័រគំរូ:ស្វាគមន៍	Template:Welcome
ទំព័រគំរូ:គម្រោងវិគីជាបងប្អូន	Template:WikipediaSister
ចំណាត់ថ្នាក់ក្រុម:External link templates	Category:外部リンク用テンプレート
ទំព័រគំរូ:ទិន្នន័យប្រទេស ស្លូវ៉ាគី	Template:Country data Slovakia
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូសំរាប់កូអរដោនេ	Category:座標関連のテンプレート
ទំព័រគំរូ:Country flagnavy	Template:Country flagnavy
ទំព័រគំរូ:USA	Template:USA
ទំព័រគំរូ:ទិន្នន័យប្រទេស អេត្យូពី	Template:Country data Ethiopia
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឆេក	Template:Country data Czech Republic
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសថៃ	Template:Country data Thailand
ទំព័រគំរូ:Scinote	Template:Scinote
ទំព័រគំរូ:ទិន្នន័យប្រទេស គុយបា	Template:Country data Cuba
ទំព័រគំរូ:Lang-km	Template:Lang-km
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាល់បានី	Template:Country data Albania
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉េរូ	Template:Country data Peru
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាកាវ	Template:Country data Macau
ទំព័រគំរូ:User wikipedia	Template:User wikipedian
ទំព័រគំរូ:ទិន្នន័យប្រទេស សាធារណរដ្ឋចិន	Template:Country data Republic of China
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ូបេគីស្ថាន	Template:Country data Uzbekistan
ចំណាត់ថ្នាក់ក្រុម:User ms	Category:User ms
ទំព័រគំរូ:Continent-based templates	Template:Continent-based templates
ទំព័រគំរូ:Months	Template:1年の月と日
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឡាតវី	Template:Country data Latvia
ទំព័រគំរូ:Football kit	Template:Football kit
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាល់តា	Template:Country data Malta
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ូណាកូ	Template:Country data Monaco
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសដាណឺម៉ាក	Template:Country data Denmark
ទំព័រគំរូ:Wikiatlas	Template:Wikiatlas
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉ូឡូញ	Template:Country data Poland
ទំព័រគំរូ:Wikipedia policies and guidelines	Template:Wikipediaの方針とガイドライン
ចំណាត់ថ្នាក់ក្រុម:User fr-1	Category:User fr-1
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសណ័រវ៉េ	Template:Country data Norway
ទំព័រគំរូ:ទិន្នន័យប្រទេស ហ្សកហ៊្សី	Template:Country data Georgia
ទំព័រគំរូ:Navbox suite	Template:Navbox suite
ទំព័រគំរូ:Wikiquote	Template:Wikiquote
ទំព័រគំរូ:Country showdata	Template:Country showdata
ទំព័រគំរូ:Image label	Template:Image label
ទំព័រគំរូ:Cat handler	Template:Category handler
ទំព័រគំរូ:ទិន្នន័យប្រទេស ស្រីលង្កា	Template:Country data Sri Lanka
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសមិចសិច	Template:Country data Mexico
ទំព័រគំរូ:ទិន្នន័យប្រទេស ក្រិច	Template:Country data Greece
ទំព័រគំរូ:Infobox dot-com company	Template:Infobox dotcom company
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអារ៉ាប៊ីសាអូឌីត	Template:Country data Saudi Arabia
ទំព័រគំរូ:Category tree	Template:Categorytree
ទំព័រគំរូ:ទិន្នន័យប្រទេស ក្រូអាត	Template:Country data Croatia
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អ្នកនិពន្ធ	Template:Infobox 作家
ទំព័រគំរូ:Stub category	Template:Stub Category
ទំព័រគំរូ:Ja icon	Template:Ja icon
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសសហភាពអារ៉ាប់អេមីរ៉េត	Template:Country data United Arab Emirates
ទំព័រគំរូ:Infobox television	Template:Infobox television
ទំព័រគំរូ:Geographic location	Template:Geographic Location
ទំព័រគំរូ:Infobox musical artist	Template:Infobox Musician
ទំព័រគំរូ:Finance	Template:金融のサイドバー
ទំព័រគំរូ:ទិន្នន័យប្រទេស Serbia	Template:Country data Serbia
ទំព័រគំរូ:Collapsible list	Template:Collapsible list
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូស្រ្តាលី	Template:Country data Australia
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប៉ាឡេស្ទីន	Template:PSE
ទំព័រគំរូ:Subatomic particle	Template:粒子の記号
ទំព័រគំរូ:Sidebar	Template:Sidebar
ទំព័រគំរូ:In use	Template:Inuse
ទំព័រគំរូ:Es icon	Template:Es icon
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសបារាំង	Template:Country data France
ទំព័រគំរូ:Ambox	Template:Ambox
ទំព័រគំរូ:Multiple issues/message	Template:DatedAI
ទំព័រគំរូ:Update	Template:更新
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន មន្ទីរពេទ្យ	Template:Infobox hospital
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ទស្សនាវដ្ដី	Template:基礎情報 雑誌
ទំព័រគំរូ:Image requested	Template:画像提供依頼
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភ្លេងជាតិ	Template:Infobox anthem
ទំព័រគំរូ:Navigation templates	Template:Navigational templates
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសគាហ្គីស្ថាន	Template:KGZ
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាលារៀន	Template:Infobox school2
ទំព័រគំរូ:Fossil range/bar	Template:Fossil range/bar
ទំព័រគំរូ:Userboxbottom	Template:Boxboxbottom
ទំព័រគំរូ:Copy to Wikimedia Commons	Template:Copy to Wikimedia Commons
ទំព័រគំរូ:Rnd	Template:Rnd
ទំព័រគំរូ:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូ	Template:Template category
ទំព័រគំរូ:Font color	Template:Font color
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រទេស	Template:基礎情報 国
ទំព័រគំរូ:Max	Template:Max
ទំព័រគំរូ:Infobox software	Template:Infobox Software
ទំព័រគំរូ:Column-count	Template:Column-count
ទំព័រគំរូ:Commons&cat	Template:Commons&cat
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឡាវ	Template:Country data Laos
ទំព័រគំរូ:Infobox airline	Template:航空会社情報ボックス
ទំព័រគំរូ:Wide image	Template:Wide image
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូទ្រីស	Template:Country data Austria
ទំព័រគំរូ:Collapsible option	Template:Collapsible option
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ជម្លោះយោធា	Template:Infobox Military Conflict
វិគីភីឌា:សំណួរ	Wikipedia:質問
ទំព័រគំរូ:Redirect4	Template:Str left
ទំព័រគំរូ:Cat more	Template:Catmore2
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសនេប៉ាល់	Template:Country data Nepal
ទំព័រគំរូ:Px	Template:Px
ទំព័រគំរូ:Resolved	Template:済
ទំព័រគំរូ:Str sub long	Template:Str sub
ទំព័រគំរូ:Documentation/docname	Template:Documentation/docname
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វាំងឡង់	Template:Country data Finland
ទំព័រគំរូ:Selfref	Template:Selfref
ទំព័រគំរូ:Flatlist	Template:Flatlist
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហ្វីលីពីន	Template:PHL
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអេស៊ីប	Template:Country data Egypt
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសលីថូនី	Template:Country data Lithuania
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន គណបក្សនយោបាយ	Template:政党
ទំព័រគំរូ:ទិន្នន័យប្រទេស ជប៉ុន	Template:Country data Japan
ទំព័រគំរូ:Endflatlist	Template:Endflatlist
ទំព័រគំរូ:Expand section	Template:節スタブ
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហូឡង់	Template:Country data Netherlands
ទំព័រគំរូ:Tmbox	Template:Tmbox
ទំព័រគំរូ:Navbox with columns	Template:Navbox with columns
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ល្បែងវីដេអូ	Template:コンピュータゲーム
ទំព័រគំរូ:S-start	Template:S-start
ទំព័រគំរូ:IsLeapYear	Template:Is-leap-year
ទំព័រគំរូ:Age in years and days	Template:Age in years and days
ទំព័រគំរូ:Nom	Template:Nom
ទំព័រគំរូ:Facebook	Template:Facebook
ទំព័រគំរូ:Cleanup	Template:Cleanup
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាកលវិទ្យាល័យ	Template:Infobox University
ទំព័រគំរូ:Cite journal	Template:Cite journal
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាស៊ែបៃហ្សង់	Template:Country data Azerbaijan
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប្រ៊ុយណេ	Template:BRN
ទំព័រគំរូ:វិគីសៀវភៅ	Template:Wikibooks
ទំព័រគំរូ:Hatnote	Template:Dablink
ទំព័រគំរូ:Image	Template:Image2
ទំព័រគំរូ:User browser:Firefox	Template:User browser:Firefox
ទំព័រគំរូ:Xpd	Template:Xpd
ទំព័រគំរូ:User es-0	Template:User es-0
ទំព័រគំរូ:Time ago	Template:Time ago
ទំព័រគំរូ:Familytree	Template:Familytree
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាម	Template:Country data Vietnam
ទំព័រគំរូ:S-aft	Template:S-aft
ទំព័រគំរូ:Featured article	Template:Featured article
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសរុស្ស៊ី	Template:Country data Russia
ទំព័រគំរូ:Infobox monarch	Template:基礎情報 君主
ទំព័រគំរូ:Decdeg	Template:Decdeg
ចំណាត់ថ្នាក់ក្រុម:User en-4	Category:User en-4
ចំណាត់ថ្នាក់ក្រុម:User en	Category:User en
ចំណាត់ថ្នាក់ក្រុម:User zh	Category:User zh
ចំណាត់ថ្នាក់ក្រុម:User zh-N	Category:User zh-N
ចំណាត់ថ្នាក់ក្រុម:User en-2	Category:User en-2
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន	Template:Infobox
ទំព័រគំរូ:Infobox instrument	Template:Infobox 楽器
ទំព័រគំរូ:TOC right	Template:TOCright
ទំព័រគំរូ:Main other	Template:Main other
ទំព័រគំរូ:RankedMedalTable	Template:RankedMedalTable
ទំព័រគំរូ:User zh	Template:User zh
ទំព័រគំរូ:Lang-kk	Template:Lang-kk
ទំព័រគំរូ:Navbox/core	Template:Navbox/core
ទំព័រគំរូ:Documentation/start box	Template:Documentation/start box
ទំព័រគំរូ:Documentation/end box2	Template:Documentation/end box2
ទំព័រគំរូ:Documentation/start box2	Template:Documentation/start box2
ទំព័រគំរូ:Template other	Template:Template other
ទំព័រគំរូ:Legend	Template:Legend
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន បណ្ណាល័យ	Template:Infobox Library
ទំព័រគំរូ:Cite web	Template:Cite web
ទំព័រគំរូ:YouTube	Template:YouTube
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ីតាលី	Template:Country data Italy
ទំព័រគំរូ:Current	Template:最新の出来事
ទំព័រគំរូ:Ombox	Template:Ombox
ទំព័រគំរូ:ទិន្នន័យប្រទេស	Template:Country data
ទំព័រគំរូ:Won	Template:Won
ទំព័រគំរូ:Tnavbar-collapsible	Template:Tnavbar-collapsible
ទំព័រគំរូ:Coor URL	Template:座標URL
ទំព័រគំរូ:Pp-template	Template:Pp-template
ទំព័រគំរូ:Min	Template:Min
ទំព័រគំរូ:Wiktionary	Template:Wiktionary
ទំព័រគំរូ:Mbox templates	Template:Mbox templates
ទំព័រគំរូ:Multi-listen start	Template:Multi-listen start
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស៊ុយអែត	Template:Country data Sweden
ទំព័រគំរូ:Bar box	Template:Bar box
ទំព័រគំរូ:Chem	Template:Chem
ទំព័រគំរូ:Language icon	Template:Languageicon
ទំព័រគំរូ:Lang-sr	Template:Lang-sr
ទំព័រគំរូ:Infobox settlement	Template:Infobox Settlement
ទំព័រគំរូ:User ru	Template:User ru
ទំព័រគំរូ:Admin	Template:Admin
ទំព័រគំរូ:IPA	Template:IPA2
ទំព័រគំរូ:អត្ថន័យដទៃទៀត	Template:Otheruses
ទំព័រគំរូ:ទិន្នន័យប្រទេស សហភាពសូវៀត	Template:Country data Soviet Union
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឥណ្ឌា	Template:Country data India
ទំព័រគំរូ:Language with name	Template:LangWithName
ទំព័រគំរូ:Imbox	Template:Imbox
ទំព័រគំរូ:Rellink	Template:Rellink
ទំព័រគំរូ:Navbox subgroup	Template:Navbox subgroup
ទំព័រគំរូ:Birth year and age	Template:生年月日と年齢
ទំព័រគំរូ:List of African capitals	Template:アフリカの首都
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ក្រុមជនជាតិ	Template:Infobox 民族
ទំព័រគំរូ:Archive box	Template:Archive box
ទំព័រគំរូ:MONTHNAME	Template:MONTHNAME
វិគីភីឌា:Text of GNU Free Documentation License	Wikipedia:Text of GNU Free Documentation License
ទំព័រគំរូ:Commons category-inline	Template:Commonscat-inline
ទំព័រគំរូ:រង្វាន់ណូបែល	Template:NobelPrizes
ទំព័រគំរូ:Sisterlinks	Template:Sisterlinks
ទំព័រគំរូ:ទិន្នន័យប្រទេស អង់ដូរ៉ា	Template:Country data Andorra
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន តំបន់ការពារ	Template:Infobox Protected area
ទំព័រគំរូ:Border	Template:Border
ទំព័រគំរូ:ទិន្នន័យប្រទេស ព័រទុយហ្គាល់	Template:Country data Portugal
ទំព័រគំរូ:Death date and age	Template:死亡年月日と没年齢
ទំព័រគំរូ:MONTHNUMBER	Template:MONTHNUMBER
ចំណាត់ថ្នាក់ក្រុម:People stubs	Category:人物関連のスタブ項目
ទំព័រគំរូ:ទិន្នន័យប្រទេស បុរីវ៉ាទីកង់	Template:Country data Vatican City
ទំព័រគំរូ:Top icon	Template:Top icon
ទំព័រគំរូ:Icon	Template:CI
ចំណាត់ថ្នាក់ក្រុម:Template:Country data templates	Category:Country dataテンプレート
ទំព័រគំរូ:Namespace detect	Template:Namespace detect
ចំណាត់ថ្នាក់ក្រុម:ជ័យលាភីរង្វាន់ណូបែល ផ្នែករូបវិទ្យា	Category:ノーベル物理学賞受賞者
ចំណាត់ថ្នាក់ក្រុម:ជ័យលាភីរង្វាន់ណូបែល ផ្នែកគីមីវិទ្យា	Category:ノーベル化学賞受賞者
ទំព័រគំរូ:Fmbox	Template:Fmbox
ទំព័រគំរូ:Navbox with collapsible groups	Template:Navbox with collapsible groups
ទំព័រគំរូ:GeoGroup	Template:座標一覧
ទំព័រគំរូ:ទិន្នន័យប្រទេស ចិន	Template:Country data China
ទំព័រគំរូ:Wikify	Template:Wikify
ទំព័រគំរូ:ទិន្នន័យ នៃ ប្រទេស អង់គ្លេស	Template:Country data England
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអៀរឡង់	Template:Country data Republic of Ireland
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសទួរគី	Template:Country data Turkey
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស្វីស	Template:Country data Switzerland
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វីលីពីន	Template:Country data Philippines
ទំព័រគំរូ:Hidden begin	Template:Hidden begin
ទំព័រគំរូ:ParmPart	Template:ParmPart
ទំព័រគំរូ:Army	Template:Army
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាឡេស៊ី	Template:Country data Malaysia
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាមេនី	Template:Country data Armenia
ទំព័រគំរូ:Infobox OS	Template:Infobox OS
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសតៃវ៉ាន់	Template:Country data Taiwan
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាមខាងត្បូង	Template:Country data South Vietnam
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសភូមា	Template:Country data Myanmar
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឈីលី	Template:Country data Chile
ទំព័រគំរូ:ទិន្នន័យប្រទេស លីបង់	Template:Country data Lebanon
ទំព័រគំរូ:ទិន្នន័យប្រទេស ចិនតៃប៉ិ	Template:Country data Chinese Taipei
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សៀវភៅ	Template:基礎情報 書籍
ទំព័រគំរូ:Tlc	Template:Tlc
ទំព័រគំរូ:Compact periodic table	Template:元素周期表
ទំព័រគំរូ:Lang-fa	Template:Lang-fa
ទំព័រគំរូ:ICD10	Template:ICD10
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ាឡេស៊ី	Template:MYS
ទំព័រគំរូ:Infobox website	Template:Infobox Website
ទំព័រគំរូ:Globalize	Template:国際化
ទំព័រគំរូ:Image label end	Template:Image label end
ទំព័រគំរូ:Navboxes	Template:Navboxes
ទំព័រគំរូ:Documentation subpage	Template:Documentation subpage
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសឥណ្ឌូនេស៊ី	Template:INA
ទំព័រគំរូ:Talk header for guidelines	Template:Talkheader
ទំព័រគំរូ:Quote box	Template:Quote box
ទំព័រគំរូ:Navbox years	Template:NavboxYears
ទំព័រគំរូ:CcTLD	Template:CcTLD
ទំព័រគំរូ:Cc-by-2.0	Template:Cc-by-2.0
ទំព័រគំរូ:Lang-my-fonts	Template:My
ទំព័រគំរូ:Oldid	Template:Revision
ទំព័រគំរូ:Rtl-lang	Template:Rtl-lang
ទំព័រគំរូ:List of Asian capitals by region	Template:アジアの首都
ទំព័រគំរូ:Bquote	Template:Bquote
ទំព័រគំរូ:ប្រអប់ព័ត៌មានទីកន្លែងកេរដំណែលពិភពលោក	Template:世界遺産概要表
ទំព័រគំរូ:Str len	Template:Str len
ទំព័រគំរូ:Purge	Template:Purge
ទំព័រគំរូ:Lang-de	Template:Lang-de
ទំព័រគំរូ:Empty category	Template:Empty category
ទំព័រគំរូ:Ifempty	Template:Ifempty
ទំព័រគំរូ:Pre2	Template:Pre2
ទំព័រគំរូ:Lang-la	Template:Lang-la
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អាគារ	Template:Infobox building
ទំព័រគំរូ:'	Template:'
ទំព័រគំរូ:Location map USA	Template:Location map USA
ទំព័រគំរូ:Lang-el	Template:Lang-el
ទំព័រគំរូ:Chessgames player	Template:Chessgames player
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអារ៉ាប៊ីសាអូឌីត	Template:KSA
ទំព័រគំរូ:User page	Template:Userpage
ទំព័រគំរូ:DE	Template:DEU
ទំព័រគំរូ:Lang-my	Template:Lang-my
ទំព័រគំរូ:Stack	Template:Imagestack
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ព្រះវិហារគ្រិស្ដសាសនា	Template:Infobox church
ទំព័រគំរូ:Infobox Christian leader	Template:Infobox Christian leader
ទំព័រគំរូ:User	Template:User
ទំព័រគំរូ:Spoken Wikipedia	Template:Spoken Wikipedia
ទំព័រគំរូ:University-stub	Template:Univ-stub
ទំព័រគំរូ:វិគីភីឌាភាសា	Template:ウィキペディア各言語版
ទំព័រគំរូ:Clarify	Template:要説明
ទំព័រគំរូ:Refimprove	Template:出典の明記
ទំព័រគំរូ:Lorem ipsum	Template:Lorem ipsum
ទំព័រគំរូ:ស្នើសុំប្ដូរឈ្មោះ	Template:利用者名変更
ទំព័រគំរូ:CIA World Factbook link	Template:CIA World Factbook link
ទំព័រគំរូ:Image label small	Template:Image label small
ទំព័រគំរូ:អឺរ៉ុប និង សមុទ្រ	Template:ヨーロッパ地図
ទំព័រគំរូ:User fr-3	Template:User fr-3
ទំព័រគំរូ:PD-because	Template:PD-because
ទំព័រគំរូ:Th icon	Template:Th icon
ទំព័រគំរូ:Cc-by	Template:Cc-by
ទំព័រគំរូ:Failed verification	Template:出典無効
ទំព័រគំរូ:Tag	Template:Tag
ទំព័រគំរូ:Sec link auto	Template:Sec link auto
ទំព័រគំរូ:Pp-meta	Template:Pp-meta
ទំព័រគំរូ:Notelist	Template:Notelist
ទំព័រគំរូ:S-ttl	Template:S-ttl
ទំព័រគំរូ:Infobox former country	Template:基礎情報 過去の国
ទំព័រគំរូ:IPA-en	Template:IPA-en
ទំព័រគំរូ:JPN	Template:JPN
ទំព័រគំរូ:ភូមិភាគទាំង៩របស់ជប៉ុន	Template:日本の都道府県
ទំព័រគំរូ:Merge from	Template:Mergefrom
ទំព័រគំរូ:Cmbox	Template:Cmbox
ទំព័រគំរូ:ASIN	Template:ASIN
ជំនួយ:តារាង	Help:表の作り方
ទំព័រគំរូ:Precision	Template:Precision
ទំព័រគំរូ:End date	Template:End date
ទំព័រគំរូ:Gbmapping	Template:Gbmappingsmall
ទំព័រគំរូ:User wikipedia/Checkuser	Template:User wikipedia/Checkuser
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប៉ាគីស្ថាន	Template:PAK
ទំព័រគំរូ:Age in days nts	Template:Age in days
ទំព័រគំរូ:S-bef	Template:S-bef
ទំព័រគំរូ:Nations at the 2008 Summer Olympics	Template:北京オリンピック選手団
ទំព័រគំរូ:Guideline	Template:Guideline
ទំព័រគំរូ:JULIANDAY	Template:JULIANDAY
ទំព័រគំរូ:Xpd0	Template:Xpd0
ទំព័រគំរូ:Xpd3	Template:Xpd3
ទំព័រគំរូ:Mbox	Template:Mbox
ទំព័រគំរូ:Disagree	Template:反対
ទំព័រគំរូ:DNB portal	Template:DNB-Portal
ទំព័រគំរូ:Talkarchive	Template:Talkarchive
ទំព័រគំរូ:Lt	Template:Lt icon
ទំព័រគំរូ:Pagetype	Template:Pagetype
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអ៊ីរ៉ង់	Template:IRN
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហ្សកដង់	Template:JOR
ទំព័រគំរូ:Bibleverse	Template:Bibleverse
ទំព័រគំរូ:Infobox historical event	Template:Infobox Historical Event
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហុងកុង	Template:HKG
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសកូរ៉េខាងជើង	Template:PRK
ទំព័រគំរូ:Infobox continent	Template:Infobox Continent
ទំព័រគំរូ:Date	Template:Date
ទំព័រគំរូ:BHU	Template:BTN
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសសិង្ហបុរី	Template:SGP
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសឥណ្ឌា	Template:IND
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ាកាវ	Template:MAC
ទំព័រគំរូ:សបា្ដហ៍	Template:曜日
ទំព័រគំរូ:To do	Template:Todo
ទំព័រគំរូ:Colors	Template:Colors
ទំព័រគំរូ:CURRENTJULIANDAY	Template:CURRENTJULIANDAY
ទំព័រគំរូ:Nobold	Template:Nobold
ចំណាត់ថ្នាក់ក្រុម:User ja-N	Category:User ja-N
ទំព័រគំរូ:Multicol-break	Template:Multicol-break
ទំព័រគំរូ:Interwiki-all	Template:Interwiki-all
ទំព័រគំរូ:PDFlink	Template:PDFlink
ទំព័រគំរូ:Ca icon	Template:Ca icon
