阿非利加洲	アフリカ
毌丘儉	カン丘倹
房玄齡	房玄齢
盤庚	盤庚
法正	法正
馬良	馬良
陸抗	陸抗
平知盛	平知盛
士燮	士燮 (交阯太守)
梁武帝	蕭衍
馬謖	馬謖
魯	魯
蓬金鐵	ポーン・キングピッチ
倫敦東隅	イーストエンド・オブ・ロンドン
夏侯尚	夏侯尚
程普	程普
申 (地支)	申
歐羅巴	ヨーロッパ (曖昧さ回避)
性	人間性
八元數	八元数
廉頗	廉頗
結合代數	結合多元環
春秋	春秋
地級市	地級市
泰北	タイ北部
黃巾之亂	黄巾の乱
迴文數	回文数
水墨畫	水墨画
威爾斯親王島	プリンスオブウェールズ島 (オーストラリア)
銀魂	銀魂
沖繩縣	沖縄県
大城銀行	アユタヤ銀行
善通寺	善通寺
香港城市大學	香港城市大学
崇明縣	崇明県
三國志人物列表	三国志演義の人物の一覧
嶺南 (釋義)	嶺南 (曖昧さ回避)
楚王負芻	負芻
百度大典	百度百科
盤谷銀行	バンコク銀行
基 (拓撲)	基底 (位相空間論)
本草綱目	本草綱目
帝堯	堯
二虎歌	フレール・ジャック
南越	南越国
赤壁之戰	赤壁の戦い
庾信	ユ信
天元術	天元術
崇禎	崇禎
永樂	永楽 (明)
嘉義	嘉義
和製漢語	和製漢語
正德	正徳 (明)
張籍	張籍
秦郡縣	秦朝の行政区分
子路	子路
宰予	宰我
反間計	反間計
望夫石	望夫石
建元 (釋義)	建元
天下通言	国際補助語
京 (釋義)	京
宮刑	宮刑
正月初三	1月3日 (旧暦)
七月初七	7月7日 (旧暦)
太初	太初
洪熙	洪熙
何承天	何承天
景泰	景泰
冉有	冉有
天順	天順 (明)
常羲	常羲
永徽	永徽
粟裕	粟裕
程知節	程知節
炎漢年號表	永憙
正統	正統 (明)
建文	建文
韶山一型電力機車	中国国鉄韶山1型電気機関車
步闡	歩闡
孫慮	孫慮
吳魯王霸	孫覇
殺	殺害
孫奮	孫奮
古雅典	アテナイ
藤原清河	藤原清河
史彌遠	史弥遠
漢傳佛教	中国の仏教
孫羌	孫羌
士匡	士匡
灌嬰	灌嬰
孫秀	孫秀
渭水	渭水
濮陽興	濮陽興
盧綸	盧綸
阿巴諾湖	アルバーノ湖
康熙字典	康熙字典
證明論	証明論
牽招	牽招
關隴集團	武川鎮軍閥
顯慶	顕慶
呂虔	呂虔
彭羕	彭ヨウ
袁隗	袁隗
石	石 (単位)
坂出市	坂出市
盧仝	盧仝
族 (數學)	族 (数学)
李賀	李賀
天命 (清太祖)	天命 (後金)
銅雀臺	銅雀台
隆慶	隆慶 (明)
宣德	宣徳
劉琨	劉コン
泰昌	泰昌
天啟	天啓 (明)
單雄信	単雄信
冉耕	冉伯牛
仡佬族	コーラオ族
光圈	F値
禮記	礼記
內點	内部 (位相空間論)
胡綜	胡綜
陸瑁	陸瑁
孫奐	孫奐
州際三十五號公路大橋	ミネアポリス高速道路崩落事故
朱績	朱績
鍾離牧	鍾離牧
萬葉假名	万葉仮名
會計等式	会計等式
干寶	干宝
姣童	美少年
元朗區	元朗区
錦衣親軍都指揮使司	錦衣衛
虞汜	虞シ
北魏	北魏
尚書	書経
雲隙光	薄明光線
喃字	チュノム
常用漢字	常用漢字
天命	天命
全尚	全尚
樓玄	楼玄
周界	境界 (位相空間論)
弘治	弘治 (明)
漢水	漢江 (中国)
高昌	高昌
窮奇	窮奇
文丁	文武丁
太甲	太甲
武乙	武乙
中華民國總統	中華民国総統
東亞文向	縦書きと横書き
正月初二	1月2日 (旧暦)
正月初一	1月1日 (旧暦)
國字標準字體	国字標準字体
二簡字	第二次漢字簡化方案
尚穆王	尚穆王
尚德王	尚徳王
尚元王	尚元王
尚永王	尚永王
尚寧王	尚寧王
陸奧國	陸奥国
東方計劃	東方Project
分液漏斗	分液漏斗
建元 (西漢)	建元 (漢)
晉國	晋 (春秋)
魏	魏 (戦国)
單連通	単連結空間
吳	呉 (春秋)
藁人之謬	ストローマン
顧譚	顧譚
京津城際鐵路	京津都市間鉄道
海瑞	海瑞
地球之年歲	地球の年齢
弗林德斯島 (塔斯曼尼亞)	フリンダース島
坂上田村麻呂	坂上田村麻呂
前涼	前涼
蘇洵	蘇洵
曼谷大橋	クルンテープ橋
天下	天下
泰京銀行	クルンタイ銀行
呂岱	呂岱
階乘質數	階乗素数
陸上風帆	ランドセーリング
伊尹	伊尹
孫峻	孫峻
呂範	呂範
董襲	董襲
孫叔敖	孫叔敖
蔣欽	蒋欽
董允	董允
許冠英	リッキー・ホイ
司馬穎	司馬穎
司馬越	司馬越
大來皇女	大来皇女
司馬顒	司馬顒
九章律	九章律
廣成子	広成子
匡衡	匡衡
聶政	聶政
浙江工業大學	浙江工業大学
兼六園	兼六園
代數 (代數)	体上の多元環
儋州市	ダン州市
汶川縣	ブン川県
江陰市	江陰市
固始縣	固始県
臨安市	臨安市
的盧	的盧
周公劉	公劉
戈羅芙代爾官立中學	グローヴデイル・カレッジ
康定情歌	康定情歌
褚令璩	チョ令キョ
越秀	越秀区
新會區	新会区
黃巖區	黄岩区
大都	大都
蛟	蛟
倉頡輸入法	倉頡輸入法
倉頡	蒼頡
甲 (釋義)	甲 (曖昧さ回避)
司馬元顯	司馬元顕
子貢	子貢
朱桓	朱桓
益州	益州
士壹	士壱
魏豹	魏豹
工尺	工尺譜
禪讓	禅譲
尚豐王	尚豊王
尚貞王	尚貞王
尚敬王	尚敬王
武德	武徳
陸績	陸績
貞觀	貞観 (唐)
伊籍	伊籍
卡羅萊納箱龜	カロリナハコガメ
連環計	連環計
凌遲	凌遅刑
三國殺	三国殺
陸胤	陸胤
比干	比干
周公季	季歴
美洲殖民	アメリカ合衆国の植民地時代
廖立	廖立
嚴畯	厳シュン
嘉靖	嘉靖
萬曆	万暦
城崎溫泉驛	城崎温泉駅
冀州	冀州
項伯	項伯
蒙古文字	モンゴル文字
燕	燕 (春秋)
日本新字體	新字体
朱鳥	朱雀
陸皓東	陸皓東
尚溫王	尚温王
周武王	武王 (周)
成化	成化
單于	単于
泉鏡花	泉鏡花
去衣馳騁	ストリーキング (パフォーマンス)
宋	宋 (春秋)
頌聖歌	タイの王室歌
燭線	ローソク足チャート
邙山之戰	ボウ山の戦い
陳	陳 (春秋)
後漢	後漢 (五代)
吾粲	吾粲
加藤清正	加藤清正
泰南	タイ南部
五刑	五刑
南梁	梁 (南朝)
大學	大学 (書物)
玉篇	玉篇
成漢	成漢
陸游	陸游
田橫	田横
縣級市	県級市
夢蓮湖	モレーン湖
說文解字	説文解字
白虎	白虎
祁連山	祁連山脈
隸書	隷書体
尚圓王	尚円王
南華經	荘子 (書物)
貞觀 (釋義)	貞観 (日本)
中國共產黨中央政治局	中国共産党中央政治局
順治	順治
乾隆	乾隆
田齊	田斉
嘉慶	嘉慶 (清)
士徽	士徽
崇德	崇徳
虞翻	虞翻
厓山海戰	崖山の戦い
武漢大學	武漢大学
歐陽紇	欧陽コツ
韓國	韓国 (曖昧さ回避)
三垣二十八宿	三垣
馮道	馮道
洪武	洪武
楊鎬	楊鎬
尚灝王	尚コウ王
亞米利加蝲蛄	アメリカザリガニ
朱據	朱拠
孫桓	孫桓
董和	董和
道光	道光
同治	同治
咸豐	咸豊
光緒	光緒
賀齊	賀斉
華表	華表
程秉	程秉
宣統	宣統
天聰	天聡
桓玄	桓玄
公羊傳	春秋公羊伝
穀梁傳	春秋穀梁伝
源義仲	源義仲
尚泰久王	尚泰久王
己酉倭亂	琉球征伐
魏文侯	文侯 (魏)
藏學	チベット学
秦穆公	穆公 (秦)
南宋	南宋
少皞	少昊
立秋	立秋
天子	天子
燕文成帝	馮跋
訓讀	訓読み
中華人民共和國元帥	中華人民共和国元帥
大暑	大暑
闞澤	カン沢
向秀	向秀
霜降	霜降
子思	子思
則天文字	則天文字
孫翊	孫翊
簡雍	簡雍
太史享	太史享
處暑	処暑
芒種	芒種
焚書坑儒	焚書坑儒
衛	衛
奈良女子大學	奈良女子大学
吳武忠王	楊行密
燕昭成帝	馮弘
三淸	三清
香港電台	香港電台
人民公社	人民公社
伊多文維基大典	イド語版ウィキペディア
蘇轍	蘇轍
麻貴	麻貴
顏回	顔回
孫匡	孫匡
孫皎	孫皎
西施	西施
辛棄疾	辛棄疾
中國茉莉花革命	中国ジャスミン革命
全琮	全ソウ
大日本史	大日本史
桓階	桓階
劉巴	劉巴
甲	甲
何晏	何晏
樂綝	楽チン
孟郊	孟郊
竹島 (釋義)	竹島
丁先皇	丁部領
周景王	景王 (周)
駱統	駱統
康熙	康熙
近衛前久	近衛前久
和字	和製漢字
笏	笏
孫紹	孫紹
費詩	費詩
霍弋	霍弋
薛綜	薛綜
孫輔	孫輔
向朗	向朗
六書	六書
東巴文	トンパ文字
文選	文選 (書物)
東方朔	東方朔
藤原定子	藤原定子
小暑	小暑
小雪	小雪
小寒	小寒
節氣	二十四節気
小滿	小満
白露	白露
立夏	立夏
立冬	立冬
五穀	五穀
譚嗣同	譚嗣同
蘇我馬子	蘇我馬子
共形場論	共形場理論
寒露	寒露
霍光	霍光
周幽王	幽王 (周)
鰲拜	オボイ
黎太祖	黎利
吳文帝	孫和
孟姜女	孟姜女
零號元素	ニュートロニウム
范增	范増
逢紀	逢紀
段部	段部
後周恭帝	柴宗訓
他彼河	ターピー川
文聘	文聘
零零七島	ピンカン島
臧霸	臧覇
九錫	九錫
唐律疏議	唐律疏義
長平之戰	長平の戦い
吳宣太子	孫登
周魴	周魴
楷書	楷書体
朱然	朱然
吐谷渾	吐谷渾
關門大橋	関門橋
五畿七道	五畿七道
六朝	魏晋南北朝時代
京口	京口区
維基大典:大使館	Wikipedia:大使館
華嚴宗	華厳宗
慶元縣	慶元県
太鼓達人	太鼓の達人
秋分	秋分
板橋	板橋
江西 (釋義)	江西 (曖昧さ回避)
周后稷	后稷
孫瑜	孫瑜
四大文明古國	世界四大文明
孫綝	孫チン
平將門	平将門
山濤	山濤
曾子	曾子
歐陽詢	欧陽詢
爾雅	爾雅
旺角	旺角
靖難之役	靖難の変
荊州	荊州
董昭	董昭
叉燒包	叉焼包
孫靜	孫静
郭嘉	郭嘉
國分寺	国分寺
儀禮	儀礼
楊儀	楊儀
孫賁	孫賁
田豫	田豫
呂據	呂拠
朱異	朱異
分數	有理数
南匯區	南匯区
千字文	千字文
營山縣	営山県
鄴	ギョウ
韋昭	韋昭
宰相	中国の宰相
荀彧	荀イク
王勃	王勃
程昱	程イク
顧雍	顧雍
姚崇	姚崇
曾鞏	曾鞏
戰國七雄	戦国七雄
周赧王	赧王 (周)
劍	中国剣
梁宣帝	蕭サツ
蔡襄	蔡襄
陶侃	陶侃
蘇我蝦夷	蘇我蝦夷
翹傳	金雲翹
五官	五官
芙蓉	芙蓉
新竹	新竹
色情男女	夢翔る人/色情男女
驚蟄	啓蟄
申 (釋義)	申 (曖昧さ回避)
徐琨	徐コン
PSYCHO-PASS	PSYCHO-PASS
陸凱	陸凱
黎大行	黎桓
泰國日報	タイ・ラット
胡季犛	胡季リ
梁末帝	朱友貞
後周世宗	柴栄
龜甲萬	キッコーマン
恆山	恒山
洞爺湖	洞爺湖
諸葛尚	諸葛尚
穀雨	穀雨
荀攸	荀攸
大寒	大寒
明昭宗	永暦帝
古丁尼柏國家公園	クッティニルパーク国立公園
漢服	漢服
秦莊襄王	荘襄王 (秦)
泰王國股票交易所	タイ証券取引所
乾燥氣候	乾燥帯
齊東昏侯	蕭宝巻
漢衛思皇后	衛子夫
陳友諒	陳友諒
田豐	田豊
竹林七賢	竹林の七賢
傅肜	傅トウ
章邯	章邯
廖化	廖化
項梁	項梁
孫乾	孫乾
琉球列王表	琉球国王
開福區	開福区
春分	春分
未央區	未央区
吾父甘地	ガンジー、わが父
內閣情報調查室	内閣情報調査室
下城區	下城区
立春	立春
雨水	雨水
溫庭筠	温庭イン
武穴市	武穴市
野比大雄	野比のび太
霍峻	霍峻
周禮	周礼
行書	行書体
戟	戟
步騭	歩隲
嶺南	嶺南 (中国)
蕭何	蕭何
孝經	孝経
拾穗	落穂拾い (絵画)
孫韶	孫韶
海安縣	海安県
秦孝文王	孝文王 (秦)
尚泰王	尚泰王
西夏文	西夏文字
范蠡	范レイ
泰和縣	泰和県
神位	位牌
麋竺	糜竺
妲己	妲己
後樂園	後楽園
首都圈新都市鐵道筑波快線	首都圏新都市鉄道つくばエクスプレス
四書五經	四書五経
文言維基大典	漢文版ウィキペディア
徐庶	徐庶
徐錫麟	徐錫麟
動物莊園	動物農場
藤原忠平	藤原忠平
Category:德國史	Category:ドイツ
Category:俄羅斯聯邦書	Category:ロシア
士族	貴族 (中国)
華爾	フレデリック・タウンゼント・ウォード
Category:大韓民國書	Category:大韓民国
Category:羅馬帝國書	Category:ローマ帝国
Category:鳥	Category:鳥類
Category:植物	Category:植物
Category:物理	Category:物理学
Category:自然科學	Category:自然科学
Category:化學	Category:化学
Category:史部	Category:歴史
Category:群	Category:社会
Category:宗教	Category:宗教
Category:運動	Category:スポーツ
Category:經部	Category:科学
Category:聯合國	Category:国際連合
Category:地球	Category:地球
玉龍雪山	玉龍雪山
維曼默宮	ウィマーンメーク宮殿
道路連通	連結空間
泰國軍人銀行	TMB銀行
眼鏡娘	眼鏡キャラクター
韓	韓 (戦国)
昂船洲大橋	ストーンカッターズ橋
一條兼良	一条兼良
精	精 (中医)
羅伯特·赫德	ロバート・ハート
桂宮宜仁親王	桂宮宜仁親王
古羅馬	古代ローマ
政令指定都市	政令指定都市
物部氏	物部氏
古今圖書集成	古今図書集成
聖火降魔錄	ファイアーエムブレム
夏侯氏	夏侯氏
清談	清談
表裡	ダブルスピーク
二十四孝	二十四孝
不寐	不眠症
閩越	ビン越
余氏	余
Category:釋義	Category:曖昧さ回避
Category:哲學	Category:哲学
Category:心理	Category:心理学
Category:佛教	Category:仏教
Category:基督教	Category:キリスト教
Category:回教	Category:イスラム教
Category:猶太教	Category:ユダヤ教
反氦	反ヘリウム
洋油貓弔詭	バター猫のパラドックス
嘉當矩陣	カルタン行列
華東師範大學	華東師範大学
泰國商業銀行	サイアム商業銀行
汝有二牯	君は牛を二頭持っている
閩嗣王	王延翰
閩惠宗	王延鈞
吳 (釋義)	呉
小豆島	小豆島
彌敦道	ネイザンロード
廣韻	広韻
唐寅	唐寅
平敦盛	平敦盛
大悲咒	大悲心陀羅尼
支謙	支謙
陸機	陸機
淡水河	淡水河
物部守屋	物部守屋
兒島明子	児島明子
吐蕃	吐蕃
丁亥中國雪災	2008年の中国雪害
鄰域	近傍 (位相空間論)
桓溫	桓温
滿偉	満偉
顧邵	顧邵
顧承	顧承
香囊	匂い袋
夏 (釋義)	夏 (曖昧さ回避)
占婆列王表	チャンパ王の一覧
水筆仔	メヒルギ
脫脫	トクト
將軍澳	将軍澳
陸秀夫	陸秀夫
丹羽長秀	丹羽長秀
燒賣	焼売
豆腐乳	腐乳
Category:殘章	Category:スタブ
Category:維基分類	Category:カテゴリ関連
Category:維基事	Category:プロジェクト関連文書
Category:行星	Category:惑星
Category:地質	Category:地質学
中江兆民	中江兆民
大喬	大喬
每日新聞 (泰國)	デイリー・ニュース (タイの新聞)
華覈	華覈
藺相如	藺相如
未央宮	未央宮
靜御前	静御前
明治	明治
穆天子傳	穆天子伝
維基大典:陳年今誌	Wikipedia:今日は何の日
羅伯特議事規則	ロバート議事規則
Template:太陽系	Template:太陽系
太古城	太古城
霍英東	霍英東
江淹	江淹
長平公主	朱徽セ
汲水門大橋	汲水門大橋
閩南語維基大典	ビン南語版ウィキペディア
海南雞飯	海南鶏飯
陸定一	陸定一
庾亮	ユ亮
司馬冏	司馬冏
韋小寶	韋小宝
阮咸仲容	阮咸
桓沖	桓沖
司馬亮	司馬亮
王蕃	王蕃
麥兜	マクダル
史可法	史可法
寇准	寇準
南京中華門	中華門
彭越	彭越
狄青	狄青
井上多樂	井上トロ
董賢	董賢
王導	王導
周循	周循
滕胤	滕胤
春運	春運
天工開物	天工開物
司馬瑋	司馬イ
司馬道子	司馬道子
司馬乂	司馬乂
祖逖	祖逖
薛瑩	薛瑩
門:子	Portal:哲学
趙文子	趙武
球陽記事	球陽
聶友	聶友
白馬非馬	白馬非馬
陸耽	陸耽
孫基	孫基
法 (釋義)	法
羊侃	羊侃
大阪	大阪 (曖昧さ回避)
門:集	Portal:美術
Category:小行星帶天體	Category:メインベルトの小惑星
Category:美國列傳	Category:アメリカ合衆国の人物
Template:Tl	Template:Tl
Template:Userbox	Template:Userbox
Category:網頁瀏覽器	Category:ウェブブラウザ
Template:世事	Template:最近の出来事
Category:律法	Category:法
Category:計學	Category:経済学
維基大典:有秩選舉	Wikipedia:管理者への立候補
Category:醫學	Category:医学
天津武備學堂	天津武備学堂
Category:政治	Category:政治
Category:教育	Category:教育
Category:藝術	Category:芸術
會計	会計
密思兒	エジプト
國務院總理	国務院総理
Category:統計	Category:統計学
Template:Bot	Template:Bot
加拿大	カナダ
許渾	許渾
暹羅京都銀行	サイアム・シティ銀行
Category:卓著	Category:秀逸な記事
孫泰	孫泰 (呉)
維	次元 (数学)
Category:遊戲	Category:ゲーム
門:經	Portal:自然科学
Category:幫助文檔	Category:ヘルプ
維基大典:世事	Portal:最近の出来事
Template:Documentation	Template:Documentation
Category:有秩	Category:ウィキペディアの管理者
維基大典:簿之權限	Wikipedia:利用者
Category:半保護	Category:編集半保護中の記事
Category:維基提案	Category:草案
維基大典:聯繫	Wikipedia:連絡先
維基大典:市集	Wikipedia:コミュニティ・ポータル
Category:維基社群	Category:ウィキペディアのコミュニティ
Category:維基人	Category:言語別の利用者
Category:維基人 (地方)	Category:地域別ウィキペディアン
維基大典:忽略規則	Wikipedia:ルールすべてを無視しなさい
維基大典:五柱	Wikipedia:五本の柱
成在基	成在基
紅皮鞋	赤い靴
企業	企業
Template:Softredirect	Template:Softredirect
Template:刪	Template:即時削除
Category:技術	Category:技術
周處	周処
Category:語言	Category:諸言語
Category:語法	Category:文法
Category:維基大典	Category:ウィキペディア
Category:諸語維基大典	Category:各言語のウィキペディア
Category:未索之頁	Category:検索エンジンに収集されないページ
Category:帶壞檔之頁	Category:壊れたファイルへのリンクがあるページ
小喬	小喬
Template:Navbox	Template:Navbox
Template:捷徑	Template:ショートカット
朝陽科技大學	朝陽科技大学
成蟜	成キョウ
Category:時區	Category:標準時
日曜無神	神さまのいない日曜日
Category:維基大典維護	Category:ウィキペディアのメンテナンス
社稷	社稷
顏氏家訓	顔氏家訓
貞觀政要	貞観政要
門:美國史	Portal:アメリカ合衆国
義寧	義寧
大業	大業
皇泰	皇泰
開國 (朝鮮)	開国 (李氏朝鮮)
袁逢	袁逢
全懌	全懌
諸葛融	諸葛融
Template:!	Template:!
Template:Navbar	Template:Tnavbar
Template:Unicode	Template:Unicode
Category:格式模板	Category:レイアウト用テンプレート
Template:Transclude	Template:Transclude
Template:Clear	Template:Clear
Template:Nowrap	Template:Nowrap
阮氏	阮
維基大典:當有之文	Wikipedia:すべての言語版にあるべき項目の一覧
Category:數	Category:数
Category:書籍	Category:書物
Template:Wikisource	Template:Wikisource
Template:Babel	Template:Babel
Template:共享	Template:Commons
Template:Link GA	Template:Link GA
Template:Reflist	Template:Reflist
維基大典:掃興警示	Wikipedia:ネタバレ
Template:芻文	Template:Stub
Template:See also	Template:See also
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User es-2	Template:User es
Template:User en-3	Template:User en-3
Template:User en-1	Template:User en-1
Template:User en-2	Template:User en-2
Template:User en-4	Template:User en-4
Template:User en	Template:User en
Template:User de-2	Template:User de-2
Template:User es-1	Template:User es-1
Template:User fr-1	Template:User fr-1
Category:香港大專院校	Category:香港の大学
Template:User he-2	Template:User he-2
Template:User id-3	Template:User id-3
Template:User sk	Template:User sk
Template:User fr-2	Template:User fr-2
Template:User ja	Template:User ja
Template:User ja-1	Template:User ja-1
Template:User fr	Template:User fr
Category:智利	Category:チリ
Category:廿一世紀	Category:21世紀
Category:維護模板	Category:ウィキペディアのメンテナンス用テンプレート
Category:User uk	Category:User uk
Category:User uk-N	Category:User uk-N
Template:Esoteric	Template:複雑なテンプレート
Template:Mod	Template:Mod
Template:User uk	Template:User uk
Category:百科全書	Category:百科事典
Template:歡迎	Template:Welcome
Category:User ms	Category:User ms
Template:Edit	Template:Edit
Template:Ref	Template:Ref
Template:Click	Template:Click
Category:連結模板	Category:リンク支援テンプレート
Template:Userbox-2	Template:Userbox-2
Category:User fr-1	Category:User fr-1
Template:Wikiquote	Template:Wikiquote
Template:Image label	Template:Image label
Template:Category handler	Template:Category handler
Template:Ja	Template:Ja icon
Template:維基諸策	Template:Wikimedia Foundation
Template:醫	Template:Medical disclaimer
Template:大修	Template:Inuse
Template:Es	Template:Es icon
Template:Ambox	Template:Ambox
Template:Disputed	Template:正確性
Template:官能團	Template:官能基
Template:二十四節氣	Template:節気
Template:Hide in print	Template:Hide in print
Category:美國史	Category:アメリカ合衆国の歴史
Template:國	Template:基礎情報 国
Template:Infobox software	Template:Infobox Software
Template:Wide image	Template:Wide image
Template:Military Conflict	Template:Infobox Military Conflict
Template:Audio	Template:Audio
Template:電玩訊欄	Template:コンピュータゲーム
Template:Dablink	Template:Dablink
Template:卓著	Template:Featured article
Category:User en-4	Category:User en-4
Category:User en	Category:User en
Category:User zh	Category:User zh
Category:User zh-N	Category:User zh-N
Category:User en-2	Category:User en-2
Category:曲	Category:楽曲
Template:Infobox	Template:Infobox
Template:User zh	Template:User zh
Template:Documentation/start box	Template:Documentation/start box
Template:Template other	Template:Template other
Template:Legend	Template:Legend
Template:引網	Template:Cite web
Template:Ombox	Template:Ombox
Category:食	Category:飲食
Template:未已之作	Template:予定
Template:Coor URL	Template:座標URL
Template:Pp-template	Template:Pp-template
Category:史書	Category:歴史書
Template:維基爾雅	Template:Wiktionary
Template:Multi-listen start	Template:Multi-listen start
Template:MongolUnicode	Template:MongolUnicode
Template:Languageicon	Template:Languageicon
Category:農業	Category:農業
Template:R	Template:R
Category:User ms-N	Category:User ms-N
Template:User ru	Template:User ru
Category:二十世紀	Category:20世紀
Template:IPA	Template:IPA2
Template:釋義二	Template:Otheruses
Category:東羅馬史	Category:東ローマ帝国
Template:LangWithName	Template:LangWithName
Template:Navbox subgroup	Template:Navbox subgroup
Template:Archive box	Template:Archive box
Template:Namespace detect	Template:Namespace detect
Template:KIA	Template:KIA
Template:Fmbox	Template:Fmbox
Template:Navbox with collapsible groups	Template:Navbox with collapsible groups
Template:Copyvio	Template:Copyrights
Template:元素週期表	Template:元素周期表
Template:天下觀	Template:国際化
矛	矛
Template:Image label end	Template:Image label end
Template:澳大利亞地方	Template:オーストラリアの地方行政区画
洪承疇	洪承疇
Template:Purge	Template:Purge
Template:土星之衛星	Template:土星の衛星
Template:User IE	Template:User browser:Microsoft Internet Explorer
Template:敗興	Template:ネタバレ冒頭
Template:中華人民共和國地方	Template:中華人民共和国の行政区画
Template:齋	Template:Userpage
Template:Math.ceil	Template:Ceil
孫英	孫英
知襄子	智瑶
Template:Userboxbreak	Template:Boxboxbreak
Template:User	Template:User
沈有容	沈有容
元載	元載
非標準實數	超実数
深衣	深衣
盧思道	盧思道
孫異	孫異
虞允文	虞允文
李華	李華
孫魯班	孫魯班
Template:User language-4	Template:User language-4
Category:中學	Category:高等学校
Template:Note	Template:Note
Category:公司	Category:企業
Template:User language-0	Template:User language-0
Template:User fr-3	Template:User fr-3
Template:Move	Template:改名提案
Template:Th	Template:Th icon
無量壽經	無量寿経
Template:Redirect	Template:Redirect
Template:ASIN	Template:ASIN
Category:日本地方志	Category:日本の地方区分
Category:電腦	Category:パーソナルコンピュータ
Category:器	Category:機器
Template:Mbox	Template:Mbox
Template:非也	Template:反対
石上麻呂	石上麻呂
Template:SUL Box	Template:User SUL
Category:複分析	Category:複素解析
Category:User ja-N	Category:User ja-N
史萬歲	史万歳
Category:茶	Category:茶
賀邵	賀邵
Template:Interwiki-all	Template:Interwiki-all
牛僧孺	牛僧孺
廷尉	廷尉
Template:物質狀態	Template:物質の状態
Template:釋義	Template:Aimai
獐子島	ショウ子鎮
五石散	五石散
胡林翼	胡林翼
林文察	林文察
龐淯	ホウイク
隆武	隆武
弘光	弘光
戴潮春	戴潮春
卜式	卜式
蔣壹	蒋壱
劉光第	劉光第
棗祗	棗祗
藤堂明保	藤堂明保
陸雲	陸雲
張尚	張尚
王文韶	王文韶
程咨	程咨
Category:攝影	Category:写真
Category:天皇本紀	Category:日本の天皇
Category:德意志第三帝國書	Category:ナチス・ドイツ
Category:朝鮮史	Category:朝鮮の歴史
Category:礦冶	Category:鉱業
Template:Legend inline	Template:Legend inline
Template:User nan	Template:User zh-min-nan
Template:User nan-1	Template:User zh-min-nan-1
Template:User yue-3	Template:User zh-yue-3
Template:User yue-1	Template:User zh-yue-1
Template:Lang-en	Template:Lang-en
Category:佳品	Category:記事の選考
Category:廣州	Category:広州
Category:建築	Category:建築
Template:Period end	Template:Period end
Category:生物	Category:生物
Template:De	Template:De icon
Template:Infobox person	Template:Infobox 人物
Category:鐵路	Category:鉄道
Template:洲	Template:大州横
Template:InterWiki	Template:Wikipedia
Template:LSR	Template:LSR
大韓民國大統領	大統領 (大韓民国)
Template:User th-1	Template:User th-1
Category:金蘭之模	Category:インターウィキリンク用テンプレート
Template:User bg	Template:User bg
Template:User la-1	Template:User la-1
Template:APEC	Template:アジア太平洋経済協力
Template:歐洲	Template:ヨーロッパ
Category:User yue	Category:User zh-yue
Category:User zh-wuu	Category:User zh-wuu
Category:User sk	Category:User sk
Category:User fr	Category:User fr
Category:User id	Category:User id
Category:User ja	Category:User ja
Category:User la	Category:User la
Category:User th	Category:User th
Category:User fr-3	Category:User fr-3
Category:User fr-2	Category:User fr-2
Category:User ja-2	Category:User ja-2
Category:User wuu-N	Category:User zh-wuu-N
Category:User ko-N	Category:User ko-N
Category:User fr-N	Category:User fr-N
Category:User ru-N	Category:User ru-N
Category:娛樂	Category:娯楽
Category:商學	Category:ビジネス
Template:User yue	Template:User zh-yue
Category:文字	Category:文字
Category:圖像模板	Category:画像関連のテンプレート
維基大典:公告	Wikipedia:お知らせ
Category:User bg	Category:User bg
Category:輕小說	Category:ライトノベル
Category:道教	Category:道教
Category:User bg-N	Category:User bg-N
Category:User sk-N	Category:User sk-N
Category:User de	Category:User de
Category:User de-2	Category:User de-2
Category:User de-N	Category:User de-N
Category:User en-3	Category:User en-3
Category:User en-N	Category:User en-N
Category:User es	Category:User es
Category:User es-1	Category:User es-1
Category:User id-3	Category:User id-3
孫壹	孫壱
Category:匈奴書	Category:匈奴
Template:Three Kingdoms Wars	Template:Campaignbox 三国時代 (中国)
Template:User ryu-1	Template:User ryu-1
Category:User ryu	Category:User ryu
Category:韓語	Category:朝鮮語
Category:幾何	Category:幾何学
Category:User ja-1	Category:User ja-1
Category:User ko	Category:User ko
Category:User ko-1	Category:User ko-1
Category:User ko-2	Category:User ko-2
Category:User ksh	Category:User ksh
Category:User la-3	Category:User la-3
Category:斯巴達書	Category:スパルタ
Template:Translating	Template:翻訳中途
Template:辨	Template:混同
Category:User ru-1	Category:User ru-1
維基大典:巴别	Wikipedia:バベル
Template:木星之衛星	Template:木星の衛星
Category:大洋洲史	Category:オセアニア史
Category:User ms-1	Category:User ms-1
長安	長安
Template:Math.floor	Template:Floor
Category:以嗜好類之維基人	Wikipedia:ウィキペディアン/分野別
Category:朝鮮本紀	Category:朝鮮国王
Category:花	Category:花
Category:江原道	Category:江原道
Category:慶尚北道	Category:慶尚北道
Category:廣東省	Category:広東省
Category:四川省	Category:四川省
Category:遼寧省	Category:遼寧省
Category:陝西省	Category:陝西省
Category:安徽省	Category:安徽省
Category:江西省	Category:江西省
Category:江蘇省	Category:江蘇省
Category:吉林省	Category:吉林省
Category:福建省	Category:福建省
Category:海南省	Category:海南省
