Aphrika	アフリカ
Guiyang	貴陽市
Pancho Villa	パンチョ・ビリャ
Awaq	織り
Qillqana phuru	万年筆
Wampurushu	マーゲイ
1530 watakuna	1530年代
Ngô Đình Diệm	ゴ・ディン・ジエム
Mengistu Haile Mariam	メンギスツ・ハイレ・マリアム
Waka aycha	牛肉
Ñawpa pacha	過去
Ronald Koeman	ロナルド・クーマン
Dejan Stanković	デヤン・スタンコビッチ
Chuqi challwa	カタクチイワシ科
Pampa kuntur	トキイロコンドル
Charles Barkley	チャールズ・バークレー
Just Fontaine	ジュスト・フォンテーヌ
Saimaa	サイマー湖
Barbara Nikomidyamanta	バルバラ (聖人)
Shannon	シャノン川
Phidiyu	麺
Juan Román Riquelme	フアン・ロマン・リケルメ
Phutuy raphi	子葉
Sergio Badilla Castillo	セルヒオ・バディーリャ・カスティーリョ
Érd	エールド
Chutuchupa ukucha	キヌゲネズミ科
Raúl Alfonsín	ラウル・アルフォンシン
Kunan pacha	現在
1550 watakuna	1550年代
Ikitus	イキトス
Inti lluqsiy	天体の出没
Kiya	ミヤマオウム
Wislla	お玉杓子
Phu Cat antanka pampa	フーカット空港
Yura kurku	樹幹
Sayakuq rumi	メンヒル
1560 watakuna	1560年代
Marcel Desailly	マルセル・デサイー
Carlos Saavedra	カルロス・サアベドラ・ラマス
1570 watakuna	1570年代
Fidelio	フィデリオ
Iñuku hawa	電子殻
Tiqni	股関節
Amanka	ハンモック
Phutuy	発芽
Kayma	モデル (自然科学)
Buenos Aires Yachay Suntur	ブエノスアイレス大学
Sirimavo Bandaranaike	シリマヴォ・バンダラナイケ
Billy Joel	ビリー・ジョエル
Milan Kučan	ミラン・クーチャン
Hurkay	給与
Cantinflas	カンティンフラス
160 watakuna kñ	紀元前160年代
1620 watakuna	1620年代
Stefan de Vrij	ステファン・デ・フライ
1630 watakuna	1630年代
1640 watakuna	1640年代
1650 watakuna	1650年代
1660 watakuna	1660年代
1670 watakuna	1670年代
1690 watakuna	1690年代
Millmaqara	毛皮
Zheng Zhi	鄭智
170 watakuna kñ	紀元前170年代
1710 watakuna	1710年代
1720 watakuna	1720年代
Mexicali	メヒカリ (バハ・カリフォルニア州)
Huwan VI	ヨハネス6世 (ローマ教皇)
Huwan IV	ヨハネス4世 (ローマ教皇)
Huwan VII	ヨハネス7世 (ローマ教皇)
Huwan V	ヨハネス5世 (ローマ教皇)
1760 watakuna	1760年代
Siqsiy	痒み
Ñawiriy	読書
Warak'a	投石器
Sach'a-sach'amanta Qillqa	ジャングル・ブック (映画)
Yakumuksi	水酸化物イオン
Kumamoto	熊本市
Taupo Qucha	タウポ湖
Magdalena suyu	マグダレーナ県
1790 watakuna	1790年代
Concepción Yachay Suntur	コンセプシオン大学
Awriq mayu	マラニョン川
Biwa qucha	琵琶湖
Morelia	モレリア
Saqina	相続
Maria Gaetana Agnesi	マリア・ガエターナ・アニェージ
180 watakuna kñ	紀元前180年代
180 watakuna	180年代
24 ñiqin pachakwata kñ	紀元前24世紀
Piruwanu Puntifisya Kathuliku Yachay Suntur	ペルー・カトリカ大学
Juan Rulfo	フアン・ルルフォ
Tim Howard	ティム・ハワード
Aguascalientes	アグアスカリエンテス
Deodoro da Fonseca	デオドロ・ダ・フォンセカ
Waskaran rashtaq	ワスカラン
Luritu suyu	ロレート県
Swindon	スウィンドン
Ukayali	ウカヤリ川
Villarrica (Chili)	ビジャリカ (チリ)
Lana Turner	ラナ・ターナー
Isanka	籠
Yaracuy suyu	ヤラクイ州
Delta Amacuro suyu	デルタアマクロ州
Kachapuwal pruwinsya	カチャポアル県
Amarumayu suyu	アマソナス県 (ペルー)
Cardenal Caro pruwinsya	カルデナル・カロ県
Chinkirma	デンキウナギ
Kulchawa pruwinsya	コルチャグア県
Francisco de Quevedo	フランシスコ・デ・ケベード
Flórián Albert	アルベルト・フローリアーン
AEK FC	AEKアテネFC
Kichka	棘 (植物)
Puma sunkaru	タイガーショベルノーズキャットフィッシュ
Rüştü Reçber	リュシュテュ・レチベル
Uchu	トウガラシ属
Olusẹgun Ọbasanjọ	オルシェグン・オバサンジョ
Kunkalla	単音
Truhillu suyu	トルヒージョ州
Falcón suyu	ファルコン州
Guárico suyu	グアリコ州
Juditpa qillqasqan	ユディト記
Yachaymanta qillqasqa	知恵の書
Landon Donovan	ランドン・ドノバン
Bill Haley	ビル・ヘイリー
Achi Tayta kimsa ñiqin piti	ゴッドファーザー PART III
23 ñiqin pachakwata kñ	紀元前23世紀
22 ñiqin pachakwata kñ	紀元前22世紀
Qispichiqkuna Kangurusuyupi	ビアンカの大冒険 ゴールデン・イーグルを救え!
Pukaq'illu	金髪
Emre Belözoğlu	エムレ・ベロゾール
Lansana Conté	ランサナ・コンテ
Zilda Arns	ジウダ・アルンス
Kuchipillan	オオアリクイ
Tripanosomiasis africana	アフリカ睡眠病
Yunta	くびき
Baja	バヤ
Poole	プール (イングランド)
Saint John (New Brunswick)	セントジョン (ニューブランズウィック州)
Pedro de Valdivia	ペドロ・デ・バルディビア
Mati upyana	マテ茶
Luton	ルートン
Southend-on-Sea	サウスエンド＝オン＝シー
Akay	排便
Carlos Valderrama	カルロス・バルデラマ
Laqha	闇
Cuernavaca	クエルナバカ
San Luis Potosí	サン・ルイス・ポトシ
Zinho	ジーニョ
Sulis	ヌエボ・ソル
Rumipi Khillaychuki (kuyuchisqa siq'isqa)	王様の剣
Waqracha	触角
Bebeto	ジョゼ・ロベルト・ガマ・デ・オリベイラ
Hunt'a tullu challwa	真骨類
Nueva Esparta suyu	ヌエバ・エスパルタ州
Aragun qhapaq suyu	アラゴン連合王国
Qusqu suyu	クスコ県
Ariqipa suyu	アレキパ県
Kashamarka suyu	カハマルカ県
Anqash suyu	アンカシュ県
Punu suyu	プーノ県
Ayakuchu suyu	アヤクーチョ県
Kashamarka	カハマルカ
Qispi Kay suyu	ラ・リベルタ県 (ペルー)
Puhuyu	アマゾンカワイルカ
Cojedes suyu	コヘデス州
Q'illu wakamayu	ルリコンゴウインコ
21 ñiqin pachakwata kñ	紀元前21世紀
Fernando Hierro	フェルナンド・イエロ
Eleftherios Venizelos	エレフテリオス・ヴェニゼロス
Monagas suyu	モナガス州
Portuguesa suyu	ポルトゥゲサ州
Lara suyu (Winisuyla)	ララ州
Sucre suyu (Winisuyla)	スクレ州
Vargas suyu	バルガス州
Hayk'a ñiqin p'unchaw	日付
Tirika	ジャガーネコ
Phaway	飛翔
190 watakuna	190年代
190 watakuna kñ	紀元前190年代
26 ñiqin pachakwata kñ	紀元前26世紀
Pukyumanta willay	引用
Adolfo Pérez	アドルフォ・ペレス・エスキベル
Pillan	オオアリクイ科
Ajka	アイカ (ハンガリー)
Qispichiy yaya yachay	解放の神学
Neagh qucha	ネイ湖
Cheltenham	チェルトナム
Laqa	粘板岩
Zizinho	ジジーニョ
Þjórsá	ショウルス川
Lisboa distritu	リスボン県
Sveinn Björnsson	スヴェイン・ビョルンソン
Kurumama	成虫
Tokushima	徳島市
Yana amaru	オオアナコンダ
Club Social y Deportivo Colo-Colo	CSDコロコロ
Zsa Zsa Gabor	ザ・ザ・ガボール
Mosonmagyaróvár	モションマジャローヴァール
Elano	エラーノ・ブルメル
Vác	ヴァーチ
Così fan tutte	コジ・ファン・トゥッテ
Taqna suyu	タクナ県
Bartolomé de Las Casas	バルトロメ・デ・ラス・カサス
Tunkurawa	トゥングラワ
Ukayali suyu	ウカヤリ県
Alejandro Toledo	アレハンドロ・トレド
Tuxtla Gutiérrez	トゥストラ・グティエレス
Chandrika Kumaratunga	チャンドリカ・クマーラトゥンガ
Cuauhtémoc Blanco	クアウテモク・ブランコ
Diego de Almagro	ディエゴ・デ・アルマグロ
Poyang qucha	ハ陽湖
Mohammad Najibullah	ムハンマド・ナジーブッラー
Qachu-qachu	芝
K'anchaq Ñan	センデロ・ルミノソ
Chilpancingo de los Bravo	チルパンシンゴ
Panpa suyu	形態
Tepic	テピク
Sunin suyu	フニン県
Jonás Gutiérrez	ホナス・グティエレス
Xabi Alonso	シャビ・アロンソ
Chakra kamay allinchay	農地改革
Muqiwa suyu	モケグア県
Piwra suyu	ピウラ県
Apurimaq suyu	アプリマク県
Ika suyu	イカ県
Muchi	モチェ文化
Salsa taki	サルサ (音楽)
Eastbourne	イーストボーン
Khalid bin Abdul-Aziz	ハーリド・ビン・アブドゥルアズィーズ
Hatun Chaku	グランチャコ
28 ñiqin pachakwata kñ	紀元前28世紀
Milla	嫌悪
Tansu Çiller	タンス・チルレル
27 ñiqin pachakwata kñ	紀元前27世紀
Pau Casals	パブロ・カザルス
Sardina	イワシ
Tarzan (kuyuchisqa siq'isqa)	ターザン (アニメ映画)
Chipika	ギョウギシバ
Saint-Omer	サントメール (パ＝ド＝カレー県)
Santa Marta (Kulumbya)	サンタ・マルタ (コロンビア)
Toluca de Lerdo	トルーカ
José de Espronceda	ホセ・デ・エスプロンセダ
Pitu	フルート
Willkamayu	ウルバンバ川
Wamanripa	キオン属
Tumpis suyu	トゥンベス県
Wallqanqacha usa	カイガラムシ
Qun Tiksi Wiraqucha	ビラコチャ
Francisco de Zurbarán	フランシスコ・デ・スルバラン
Jean-Bertrand Aristide	ジャン＝ベルトラン・アリスティド
Khasay	げっぷ
Arinki	ニシン属
Gödöllő	ゲデレー
Lampalliqi suyu	ランバイエケ県
Milton Obote	ミルトン・オボテ
Enzo Francescoli	エンツォ・フランチェスコリ
Jairzinho	ジャイルジーニョ
Ampatu llaqta	アンバート
Usqhullu	コロコロ (哺乳類)
Aveiro distritu	アヴェイロ県
Villahermosa	ビヤエルモサ
Amaru suyu	マードレ・デ・ディオス県
Pedro de Alvarado	ペドロ・デ・アルバラード
Piruwpi pacha kuyuy (2007)	ペルー地震 (2007年)
Pasqu suyu	パスコ県
Piruw Harushakay	ペルー副王領
Emmeline Pankhurst	エメリン・パンクハースト
30 ñiqin pachakwata kñ	紀元前30世紀
RBD	RBD
Millp'uy	摂食・嚥下
Baruqpa qillqasqan	バルク書
Culiacán	クリアカン
200 watakuna	200年代
San Martin suyu	サン・マルティン県
Lima suyu	リマ県
David Robinson	デビッド・ロビンソン
Napu marka	ナポ県
Mývatn	ミーヴァトン湖
Roger Ebert	ロジャー・イーバート
Valdiviapi pacha kuyuy (1960)	チリ地震 (1960年)
Joseph Estrada	ジョセフ・エストラーダ
Brian Laudrup	ブライアン・ラウドルップ
20 watakuna kñ	紀元前20年代
Usqullu	アンデスネコ
Tabla	タブラ
New Age	ニューエイジ・ミュージック
Mana Iñinakuna	Mr.インクレディブル
Mayu khuchi	カバ科
Yana suwaq'ara	クロコンドル
Apasanka	オオツチグモ科
Waranway yura rikch'aq ayllu	ノウゼンカズラ科
210 watakuna kñ	紀元前210年代
210 watakuna	210年代
Maria Reiche	マリア・ライヒェ
Augusto César Sandino	アウグスト・セサル・サンディーノ
Waskar	ワスカル
Aymuray	収穫
Robert FitzRoy	ロバート・フィッツロイ
Pachakutiq Inka Yupanki	パチャクテク
Puchka	紡錘
Bearn	ベアルン
Päijänne	パイエンネ湖
Tayta Inti	インティ
Sinta ruqyay yuyana	テープレコーダー
Putumayu	プトゥマヨ川
Tayu	アブラヨタカ
Parispi Qullananchikpa Qhupuyuqnin (kuyuchisqa siq'isqa)	ノートルダムの鐘
Dudley	ダドリー (イングランド)
Gordon Banks	ゴードン・バンクス
Sinru qillqa:Pulitika rakiy (Buliwya)	ボリビアの地方行政区画
Truhillu	トルヒーリョ (ペルー)
La Paz (Baja California Sur)	ラパス (バハ・カリフォルニア・スル州)
Adolfo Suárez	アドルフォ・スアレス
Puñuy wayaqa	シュラフザック
Qunta	酸化マグネシウム
220 watakuna	220年代
220 watakuna kñ	紀元前220年代
Pastasa marka	パスタサ県
Kachina	硫酸鉄(II)
Leticia	レティシア
Yuyayyaku	ユーヤイヤコ
Apurimaq mayu	アプリマック川
Cegléd	ツェグレード
CA Independiente	CAインデペンディエンテ
Machala	マチャラ
Camagüey pruwinsya	カマグエイ州
Wanuku suyu	ワヌコ県
Awankay	アバンカイ
Fidel Ramos	フィデル・ラモス
Ukumari Wawqi	ブラザー・ベア
Hiki p'anqa yura	ヒカゲノカズラ植物門
Pakasu	グリーンイグアナ
Kusituy	バンド (音楽)
T'inki k'allampa	接合菌門
Illawi	ボアコンストリクター
Huckleberry Finn	ハックルベリー・フィンの冒険
Phusuqu	泡
Aladdin (kuyuchisqa siq'isqa)	アラジン (映画)
Qhatuq	商人
Kichkarusachamanta (kuyuchisqa siq'isqa)	眠れる森の美女 (アニメ映画)
Sadi Carnot	マリー・フランソワ・サディ・カルノー
Harrogate	ハロゲイト
230 watakuna	230年代
Dunga	ドゥンガ
Stanley Matthews	スタンリー・マシューズ
Añayllup Kawsaynin	バグズ・ライフ
Mercedes Sosa	メルセデス・ソーサ
Alejo Carpentier	アレホ・カルペンティエル
Paul Anka	ポール・アンカ
Francisco Madero	フランシスコ・マデロ
Cúcuta	ククタ
T'ikrasqa yupay	逆数
Tuqti yura rikch'aq ayllu	クルミ科
240 watakuna	240年代
Quyllurchawwan qallarisqa wakllanwata	水曜日から始まる閏年
Illapachawwan qallarisqa wakllanwata	木曜日から始まる閏年
240 watakuna kñ	紀元前240年代
Killachawwan qallarisqa wakllanwata	月曜日から始まる閏年
K'uychichawwan qallarisqa wakllanwata	土曜日から始まる閏年
Atipachawwan qallarisqa wakllanwata	火曜日から始まる閏年
Ch'askachawwan qallarisqa wakllanwata	金曜日から始まる閏年
Intichawwan qallarisqa wakllanwata	日曜日から始まる閏年
Pukallpa	プカルバ
Bocas del Toro pruwinsya	ボカス・デル・トーロ県
Faisal bin Abdul-Aziz	ファイサル (サウジアラビア王)
Jaber III	ジャービル・アル＝アフマド・アッ＝サバーハ
David Letterman	デイヴィッド・レターマン
Youri Djorkaeff	ユーリ・ジョルカエフ
Alvaro Obregón	アルバロ・オブレゴン
Alfredo Palacio	アルフレド・パラシオ
Piwin yura rikch'aq ayllu	ナンヨウスギ科
250 watakuna	250年代
CA San Lorenzo de Almagro	CAサン・ロレンソ
Pocahontas (kuyuchisqa siq'isqa)	ポカホンタス (映画)
Kaspian awki	カスピアン王子のつのぶえ
Karal	カラル遺跡
260 watakuna kñ	紀元前260年代
260 watakuna	260年代
Ian Rush	イアン・ラッシュ
Giacinto Facchetti	ジャチント・ファッケッティ
Hat'alliykuy	持続可能性
Valparaíso suyu	バルパライソ州
Naucalpan de Juárez	ナウカルパン
270 watakuna	270年代
270 watakuna kñ	紀元前270年代
Samora Machel	サモラ・マシェル
Seretse Khama	セレツェ・カーマ
Chirimuyu yura rikch'aq ayllu	バンレイシ科
Resident Evil	バイオハザードシリーズ
Pampa sach'awaka	アメリカバク
Roberto Rivelino	ロベルト・リベリーノ
Grand Canyon mamallaqta parki	グランド・キャニオン国立公園
Ahmed Nazif	アフマド・ナズィーフ
Asway marka	アスアイ県
Ciego de Ávila pruwinsya	シエゴ・デ・アビラ州
Umar Siiwuri ( Sívori)	オマール・シボリ
280 watakuna	280年代
Yuri	シュート (植物)
Girija Prasad Koirala	ギリジャ・プラサド・コイララ
Xalapa-Enríquez	ハラパ
DuPont	デュポン
Antonios Nikopolidis	アントニス・ニコポリディス
Angelos Basinas	アンゲロス・バシナス
Anggun	アングン
Win Kok	ウィム・コック
Raphi k'allampa	ハラタケ目
290 watakuna	290年代
Itapúa suyu	イタプア県
Nacional Autónoma de México Yachay Suntur	メキシコ国立自治大学
Asamoah Gyan	アサモア・ギャン
Ibagué	イバゲ
Luis Enrique Martínez	ルイス・エンリケ
Jumanji	ジュマンジ
Qarapara	カメ
Josef Masopust	ヨゼフ・マソプスト
Rinri nanay	中耳炎
300 watakuna	300年代
300 watakuna kñ	紀元前300年代
Urqu sach'awaka	ヤマバク
Antoine Laurent de Jussieu	アントワーヌ・ローラン・ド・ジュシュー
Piwra	ピウラ
Arches mamallaqta parki	アーチーズ国立公園
Achi tayta	代父母
Patranka	フンボルトペンギン
30 watakuna kñ	紀元前30年代
31 ñiqin pachakwata kñ	紀元前31世紀
310 watakuna kñ	紀元前310年代
310 watakuna	310年代
32 ñiqin pachakwata kñ	紀元前32世紀
Portalegre distritu	ポルタレグレ県
320 watakuna	320年代
320 watakuna kñ	紀元前320年代
33 ñiqin pachakwata kñ	紀元前33世紀
330 watakuna	330年代
330 watakuna kñ	紀元前330年代
Freddy Rincón	フレディ・リンコン
34 ñiqin pachakwata kñ	紀元前34世紀
340 watakuna	340年代
340 watakuna kñ	紀元前340年代
35 ñiqin pachakwata kñ	紀元前35世紀
350 watakuna kñ	紀元前350年代
36 ñiqin pachakwata kñ	紀元前36世紀
360 watakuna kñ	紀元前360年代
37 ñiqin pachakwata kñ	紀元前37世紀
Champiñun	マッシュルーム
Griguryu XII	グレゴリウス12世 (ローマ教皇)
370 watakuna kñ	紀元前370年代
Alessandro Nesta	アレッサンドロ・ネスタ
Huwan IX	ヨハネス9世 (ローマ教皇)
Huwan XVII	ヨハネス17世 (ローマ教皇)
Liyun VIII	レオ8世 (ローマ教皇)
Huwan XIV	ヨハネス14世 (ローマ教皇)
Huwan X	ヨハネス10世 (ローマ教皇)
Huwan XIX	ヨハネス19世 (ローマ教皇)
Griguryu VI	グレゴリウス6世 (ローマ教皇)
Wichq'ana	錠前
38 ñiqin pachakwata kñ	紀元前38世紀
380 watakuna kñ	紀元前380年代
Liyun IV	レオ4世 (ローマ教皇)
Tak'a	アブ科
Huwan XV	ヨハネス15世 (ローマ教皇)
39 ñiqin pachakwata kñ	紀元前39世紀
390 watakuna kñ	紀元前390年代
Apaxco	アパスコ
Caterina da Siena	シエナのカタリナ
San Miyil	サン・ミゲル
Cicero	キケロ (曖昧さ回避)
Veronica	ヴェロニカ
Sierra	シエラ
Santa Ana	サンタアナ
Salinas	サリナス
Iberia	イベリア
San Siwastyan	サン・セバスティアン (曖昧さ回避)
Casablanca	カサブランカ (曖昧さ回避)
Bolívar	ボリバル
Sucre	スクレ
Carlos Gardel	カルロス・ガルデル
Gianni Rivera	ジャンニ・リベラ
Qallu watana	早口言葉
Nariñu suyu	ナリーニョ県
Arauca suyu	アラウカ県
Rachina waqachina	撥弦楽器
Caravaca de la Cruz	カラバカ・デ・ラ・クルス
Irene Papas	イレーネ・パパス
Chocó suyu	チョコ県
Bolívar suyu (Kulumbya)	ボリーバル県 (コロンビア)
Cauca suyu	カウカ県
Caldas suyu	カルダス県
Anita Ekberg	アニタ・エクバーグ
Atlántico suyu	アトランティコ県
Llika rump'u	ネットボール
María de León Bello y Delgado	マリア・デ・レオン
40 ñiqin pachakwata kñ	紀元前40世紀
Dakota	ダコタ
400 watakuna	400年代
Chili Yachay Suntur	チリ大学
40 watakuna kñ	紀元前40年代
Anku	腱
410 watakuna	410年代
Cundinamarca suyu	クンディナマルカ県
Punu	プーノ
Sintiru	ペッカリー
Putumayu suyu	プトゥマヨ県
Uralan Santander suyu	ノルテ・デ・サンタンデール県
420 watakuna	420年代
Beni suyu	ベニ県
Denis Law	デニス・ロー
Johan Neeskens	ヨハン・ニースケンス
Ojos del Salado	オホス・デル・サラード
430 watakuna	430年代
Quchapampa suyu	コチャバンバ県
Tarija suyu	タリハ県
Severo Ochoa	セベロ・オチョア
Lê Ðức Thọ	レ・ドゥク・ト
Santiago de Cuba pruwinsya	サンティアーゴ・デ・クーバ州
Wasanchay	姦通罪
440 watakuna	440年代
Tolima suyu	トリマ県
Vaupés suyu	バウペス県
Waylla quncha	ハラタケ
Qallapurina	荷車
Baruj Benacerraf	バルフ・ベナセラフ
Córdoba suyu (Kulumbya)	コルドバ県 (コロンビア)
Cesar suyu	セサール県
Huila suyu	ウイラ県
450 watakuna	450年代
Willka Chakana suyu	サンタクルス県
Chuqichaka suyu	チュキサカ県
Killki	天使
María Zambrano	マリア・サンブラノ
Wamanpallpa	ノスリ属
Giuseppe Bergomi	ジュゼッペ・ベルゴミ
Santander suyu	サンタンデール県 (コロンビア)
Sucre suyu (Kulumbya)	スクレ県
Manizales	マニサレス
Chakra yura	農産物
Pando suyu	パンド県
460 watakuna	460年代
Rapa	炎
Qillqana pirqa	黒板
Iwana	イグアナ科
Carlos Antonio López	カルロス・アントニオ・ロペス
Intichawwan qallarisqa chhasku wata	日曜日から始まる平年
K'uychichawwan qallarisqa chhasku wata	土曜日から始まる平年
Quyllurchawwan qallarisqa chhasku wata	水曜日から始まる平年
Ch'askachawwan qallarisqa chhasku wata	金曜日から始まる平年
Atipachawwan qallarisqa chhasku wata	火曜日から始まる平年
Killachawwan qallarisqa chhasku wata	月曜日から始まる平年
Illapachawwan qallarisqa chhasku wata	木曜日から始まる平年
Yura saywa	垣根
Alicia Alonso	アリシア・アロンソ
Jiang Qing	江青
Luísa Diogo	ルイサ・ディオゴ
Libertad Lamarque	リベルタ・ラマルケ
470 watakuna	470年代
Mallki-mallki	果樹園
Tunja	トゥンハ
480 watakuna	480年代
Bernardo Houssay	バーナード・ウッセイ
490 watakuna	490年代
René Higuita	レネ・イギータ
Lubin	ルビン (ドルヌィ・シロンスク県)
Sanka tullu	口蓋骨
Boris Trajkovski	ボリス・トライコフスキ
Douglas Hyde	ダグラス・ハイド
P'utuqsi suyu	ポトシ県
Chimpurasu marka	チンボラソ県
Meta suyu	メタ県
Guainía suyu	グアイニア県
Ima Sumaq	イマ・スマック
Edmondo De Amicis	エドモンド・デ・アミーチス
500 watakuna	500年代
Kutupaksi marka	コトパクシ県
Martine Carol	マルティーヌ・キャロル
50 watakuna kñ	紀元前50年代
510 watakuna	510年代
Plasencia	プラセンシア
Carmen Amaya	カルメン・アマヤ
520 watakuna	520年代
Roh Tae-woo	盧泰愚
530 watakuna	530年代
540 watakuna	540年代
550 watakuna	550年代
Uchu wakamayu	コンゴウインコ (種名)
Bucaramanga	ブカラマンガ
Antonio Machado	アントニオ・マチャード
Runa warkhuna	絞首台
Hump'i ch'añan	汗腺
Jean-Marie Vianney	ジャン＝マリー・ヴィアンネ
Tapyapillan	ヒメアリクイ
560 watakuna	560年代
Madagaskar 3	マダガスカル3
Ortès	オルテズ
Khuchinilla	コチニールカイガラムシ
Champira chichiku	ピグミーマーモセット
Santa Rosa Limamanta	リマのローザ
570 watakuna	570年代
Pete Seeger	ピート・シーガー
Santarém distritu	サンタレン県
Coimbra distritu	コインブラ県
Faro distritu	ファーロ県
Lichi hilli	ラテックス
580 watakuna	580年代
Wirriy	副王
Musuq T'aypik	新北市
590 watakuna	590年代
T'aychun	台中市
Puka uma suyuntu	ヒメコンドル
Akwa hirinka	注射
600 watakuna	600年代
Pantu	タイラ
60 watakuna kñ	紀元前60年代
610 watakuna	610年代
620 watakuna	620年代
800 watakuna	800年代
Álvar Núñez Cabeza de Vaca	アルバル・ヌニェス・カベサ・デ・バカ
630 watakuna	630年代
Ángel Labruna	アンヘル・ラブルナ
Halloween	ハロウィン
Tamarugal pruwinsya	エル・タマルガル県
640 watakuna	640年代
Emir Spahić	エミル・スパヒッチ
650 watakuna	650年代
Loretta Young	ロレッタ・ヤング
660 watakuna	660年代
Parina Quta (Buliwya-Chili)	パリナコータ山
670 watakuna	670年代
La Higuera	イゲラ
Gilmar	ジウマール・ドス・サントス・ネヴェス
Shapumpa	ワラビ中毒
690 watakuna	690年代
Diego Simeone	ディエゴ・シメオネ
Granada suyu	グラナダ県 (ニカラグア)
Bon Jovi	ボン・ジョヴィ
Yusof bin Ishak	ユソフ・ビン・イサーク
Layqa	ウィッチクラフト
Sinru qillqa: Llaqtakuna (Buliwya)	ボリビアの都市の一覧
Manawa suyu	マナグア県
Chiklayu	チクラーヨ
Bolívar marka	ボリーバル県 (エクアドル)
Gamitana	コロソマ
700 watakuna	700年代
Diego Forlán	ディエゴ・フォルラン
Intibucá suyu	インティブカ県
Chinkasqa Churi	放蕩息子のたとえ話
70 watakuna	70年代
70 watakuna kñ	紀元前70年代
710 watakuna	710年代
Hilderaldo Bellini	イルデラウド・ルイス・ベリーニ
Suqtawask'a	直方体
720 watakuna	720年代
730 watakuna	730年代
740 watakuna	740年代
Alqamari	アンデスカラカラ
Raimundo Orsi	ライムンド・オルシ
Tullu	骨
750 watakuna	750年代
Pachamama	パチャママ
José María Arguedas	ホセ・マリア・アルゲダス
760 watakuna	760年代
Pinchikilla pila	電池
770 watakuna	770年代
Ch'amanaku	労働
Tiha	瓦
Isqhayllu	アトピー性皮膚炎
Vichada suyu	ビチャーダ県
780 watakuna	780年代
Hugo Banzer	ウゴ・バンセル・スアレス
790 watakuna	790年代
Emmanuel Petit	エマニュエル・プティ
Mama Llaqtap San Markus Hatun Yachay Sunturnin	国立サンマルコス大学
Luis Suárez Miramontes	ルイス・スアレス・ミラモンテス
Carlos Pellegrini	カルロス・ペレグリーニ
Pantimayu	ベルメホ川
Pillku Mayu	ピルコマジョ川
Piruwpa umalliqnin	ペルーの大統領
CA Mineiro	アトレチコ・ミネイロ
Hercules (kuyuchisqa siq'isqa)	ヘラクレス (1997年の映画)
80 watakuna	80年代
80 watakuna kñ	紀元前80年代
810 watakuna	810年代
820 watakuna	820年代
830 watakuna	830年代
840 watakuna	840年代
Gibson ch'in pacha	ギブソン砂漠
Juvénal Habyarimana	ジュベナール・ハビャリマナ
Yuraq lagartu	メガネカイマン
Pichincha marka	ピチンチャ県
Abdullah Ahmad Badawi	アブドラ・バダウィ
Daddy Yankee	ダディー・ヤンキー
Sajama	サハマ山
850 watakuna	850年代
La Guajira suyu	ラ・グアヒーラ県
Calakmul	カラクムル
Chuqiyapu suyu	ラパス県 (ボリビア)
Taqna	タクナ
Fernando Botero	フェルナンド・ボテロ
Guaviare suyu	グアビアーレ県
Pirqaq	組積造
Machina k'arachiq	ハコクラゲ
Lluklluy	変性
Viseu distritu	ヴィゼウ県
Castelo Branco distritu	カステロ・ブランコ県
Guarda distritu	グアルダ県
Setúbal distritu	セトゥーバル県
La Habana pruwinsya	ハバナ州
Everglades mamallaqta parki	エバーグレーズ国立公園
Emerson Leao	エメルソン・レオン
Saramuyu	バンレイシ
Anunas	バンレイシ属
900 watakuna	900年代
Luigi Riva	ルイジ・リーヴァ
Ch'iki qachu	シバムギ
90 watakuna	90年代
910 watakuna	910年代
Suphullu	水疱
Henkel	ヘンケル
Racing Club	ラシン・クラブ
Chan Chan	チャン・チャン
José Antonio Chang	ホセ・アントニオ・チャン
Canindeyú suyu	カニンデジュ県
Gérson	ジェルソン・デ・オリヴェイラ・ヌーネス
Boaco suyu	ボアコ県
Allin simi	ポライトネス
Ukumpi	ニジボア
Michel Micombero	ミシェル・ミコンベロ
Wasqar q'inti	オオハチドリ
Atawallpa Yupanki	アタウアルパ・ユパンキ
Quwi	テンジクネズミ
Christian Karembeu	クリスティアン・カランブー
Parinaquta pruwinsya	パリナコータ県
Chunkara qucha	チュンガラ湖
Qhipaq maqanakuy	さいごの戦い
Awqa	敵
Urin Atlantiku Awtunumu suyu	南アトランティコ自治地域
Óscar Córdoba	オスカル・コルドバ
Óscar Romero	オスカル・ロメロ
Brett Emerton	ブレット・エマートン
Rinat Dasajev	リナト・ダサエフ
Martin Landau	マーティン・ランドー
Carlos Alberto	カルロス・アウベルト
Sándor Kocsis	シャーンドル・コチシュ
Alfonso VIII	アルフォンソ8世 (カスティーリャ王)
Jefferson Farfán	ジェフェルソン・ファルファン
Fernando Redondo	フェルナンド・レドンド
Carlos Gamarra	カルロス・ガマーラ
Tirso de Molina	ティルソ・デ・モリーナ
László Kubala	ラディスラオ・クバラ
Cláudio Taffarel	クラウディオ・タファレル
Samuel Richardson	サミュエル・リチャードソン
Jules Grévy	ジュール・グレヴィ
Tupaq Amaru	トゥパク・アマル (初代)
Abdul Rahman	トゥンク・アブドゥル・ラーマン
Bryan Robson	ブライアン・ロブソン
Lázaro Cárdenas	ラサロ・カルデナス
Enrique Peña	エンリケ・ペーニャ・ニエト
